iteration,mean,best,worst,bsf,bsfAdj,div,branch
00000001,00035539,00030056,00044241,00030056,00030056,0.88,0.00
00000002,00031415,00026084,00038738,00026084,00026084,0.85,0.00
00000003,00030115,00024932,00036912,00024932,00024932,0.79,0.00
00000004,00029093,00024623,00037220,00024580,00024580,0.82,0.00
00000005,00029127,00024922,00037678,00024522,00024522,0.83,0.00
00000006,00029091,00024366,00037045,00024311,00024311,0.78,0.00
00000007,00027748,00023358,00034989,00023332,00023332,0.70,0.00
00000008,00026278,00023110,00033021,00023110,00023110,0.61,0.00
00000009,00025417,00023095,00032356,00023061,00023061,0.54,0.00
00000010,00024524,00023040,00030198,00023007,00023007,0.40,0.00
00000011,00024418,00022939,00030772,00022851,00022851,0.37,0.00
00000012,00024072,00022939,00030410,00022851,00022851,0.24,0.00
00000013,00023933,00022939,00028857,00022851,00022851,0.27,0.00
00000014,00024119,00022939,00028811,00022851,00022851,0.22,0.00
00000015,00024746,00022880,00030030,00022847,00022847,0.39,0.00
00000016,00024089,00022846,00028571,00022813,00022813,0.25,0.00
00000017,00023368,00022796,00026562,00022763,00022763,0.16,0.00
00000018,00023420,00022796,00029060,00022763,00022763,0.25,0.00
00000019,00023108,00022796,00025641,00022763,00022763,0.09,0.00
00000020,00024156,00022763,00029428,00022730,00022730,0.25,0.00
00000021,00024049,00022875,00028320,00022730,00022730,0.28,0.00
00000022,00023441,00022736,00028330,00022702,00022702,0.20,0.00
00000023,00023284,00022736,00026073,00022702,00022702,0.18,0.00
00000024,00023136,00022702,00028277,00022702,00022702,0.14,0.00
00000025,00023067,00022702,00024413,00022702,00022702,0.06,0.00
00000026,00023483,00022702,00029050,00022702,00022702,0.16,0.00
00000027,00023686,00022689,00029243,00022689,00022689,0.16,0.00
00000028,00023315,00022689,00027316,00022689,00022689,0.13,0.00
00000029,00023416,00022689,00027712,00022689,00022689,0.16,0.00
00000030,00023222,00022689,00027086,00022689,00022689,0.13,0.00
00000031,00022876,00022689,00026945,00022689,00022689,0.05,0.00
00000032,00022819,00022689,00026649,00022689,00022689,0.03,0.00
00000033,00022709,00022689,00023698,00022689,00022689,0.01,0.00
00000034,00022901,00022689,00027968,00022689,00022689,0.05,0.00
00000035,00024043,00022689,00029977,00022689,00022689,0.17,0.00
00000036,00022707,00022572,00023716,00022572,00022572,0.01,0.00
00000037,00023498,00022572,00027228,00022572,00022572,0.15,0.00
00000038,00022735,00022657,00023936,00022572,00022572,0.05,0.00
00000039,00022755,00022657,00025394,00022572,00022572,0.04,0.00
00000040,00022752,00022657,00025517,00022572,00022572,0.02,0.00
00000041,00022769,00022657,00027154,00022572,00022572,0.04,0.00
00000042,00022740,00022572,00024331,00022572,00022572,0.04,0.00
00000043,00022740,00022572,00025773,00022572,00022572,0.06,0.00
00000044,00023305,00022613,00026936,00022572,00022572,0.15,0.00
00000045,00022796,00022572,00027665,00022572,00022572,0.12,0.00
00000046,00022707,00022572,00024464,00022572,00022572,0.06,0.00
00000047,00023116,00022572,00027767,00022572,00022572,0.17,0.00
00000048,00022674,00022572,00024299,00022572,00022572,0.10,0.00
00000049,00022938,00022542,00025762,00022542,00022542,0.09,0.00
00000050,00023068,00022542,00026362,00022542,00022542,0.14,0.00
00000051,00023387,00022542,00025324,00022542,00022542,0.05,0.00
00000052,00022665,00022542,00024837,00022542,00022542,0.06,0.00
00000053,00022665,00022542,00027430,00022542,00022542,0.06,0.00
00000054,00022591,00022542,00024859,00022542,00022542,0.02,0.00
00000055,00022974,00022542,00026019,00022542,00022542,0.09,0.00
00000056,00022675,00022459,00025507,00022459,00022459,0.05,0.00
00000057,00023217,00022459,00025590,00022459,00022459,0.14,0.00
00000058,00022533,00022459,00026125,00022459,00022459,0.01,0.00
00000059,00022516,00022459,00024390,00022459,00022459,0.03,0.00
00000060,00022591,00022459,00025346,00022459,00022459,0.04,0.00
00000061,00024444,00022459,00030503,00022459,00022459,0.17,0.00
00000062,00023205,00022459,00026961,00022459,00022459,0.05,0.00
00000063,00023375,00022280,00025657,00022280,00022280,0.22,0.00
00000064,00022843,00022280,00026836,00022280,00022280,0.18,0.00
00000065,00022411,00022280,00025009,00022280,00022280,0.08,0.00
00000066,00022603,00022280,00024697,00022280,00022280,0.14,0.00
00000067,00022431,00022280,00024127,00022280,00022280,0.09,0.00
00000068,00022448,00022280,00026013,00022280,00022280,0.06,0.00
00000069,00022541,00022280,00025912,00022280,00022280,0.05,0.00
00000070,00022920,00022280,00026835,00022280,00022280,0.12,0.00
00000071,00022507,00022208,00028764,00022208,00022208,0.06,0.00
00000072,00022666,00022207,00027529,00022207,00022207,0.23,0.00
00000073,00022308,00022207,00024269,00022207,00022207,0.06,0.00
00000074,00022291,00022207,00025752,00022207,00022207,0.02,0.00
00000075,00022513,00022207,00024375,00022207,00022207,0.11,0.00
00000076,00022464,00022207,00026109,00022207,00022207,0.07,0.00
00000077,00022340,00022207,00023640,00022207,00022207,0.09,0.00
00000078,00022330,00022207,00025617,00022207,00022207,0.06,0.00
00000079,00022381,00022207,00025308,00022207,00022207,0.08,0.00
00000080,00022294,00022207,00023591,00022207,00022207,0.10,0.00
00000081,00023146,00022207,00026409,00022207,00022207,0.11,0.00
00000082,00022223,00022207,00022941,00022207,00022207,0.02,0.00
00000083,00023037,00022207,00026729,00022207,00022207,0.14,0.00
00000084,00023273,00022207,00027858,00022207,00022207,0.14,0.00
00000085,00022269,00022129,00023673,00022129,00022129,0.05,0.00
00000086,00022663,00022129,00027144,00022129,00022129,0.15,0.00
00000087,00022389,00022129,00024722,00022129,00022129,0.08,0.00
00000088,00022597,00022129,00027276,00022129,00022129,0.09,0.00
00000089,00022284,00022129,00026290,00022129,00022129,0.05,0.00
00000090,00022300,00022129,00024621,00022129,00022129,0.08,0.00
00000091,00022723,00022129,00025407,00022129,00022129,0.12,0.00
00000092,00022226,00022129,00024464,00022129,00022129,0.02,0.00
00000093,00022404,00022129,00025006,00022129,00022129,0.07,0.00
00000094,00023125,00022129,00025204,00022129,00022129,0.25,0.00
00000095,00022314,00022129,00026769,00022129,00022129,0.06,0.00
00000096,00022175,00022129,00023231,00022129,00022129,0.01,0.00
00000097,00022197,00022129,00024634,00022129,00022129,0.02,0.00
00000098,00022224,00022129,00024196,00022129,00022129,0.03,0.00
00000099,00022201,00022129,00024810,00022129,00022129,0.03,0.00
00000100,00022248,00022129,00026736,00022129,00022129,0.03,0.00
00000101,00022627,00022129,00026767,00022129,00022129,0.17,0.00
00000102,00022201,00022129,00023744,00022129,00022129,0.05,0.00
00000103,00022200,00022129,00025709,00022129,00022129,0.01,0.00
00000104,00023018,00022129,00026718,00022129,00022129,0.08,0.00
00000105,00023681,00022129,00025457,00022129,00022129,0.02,0.00
00000106,00022265,00022129,00026428,00022129,00022129,0.05,0.00
00000107,00022157,00022129,00023565,00022129,00022312,0.01,0.00
00000108,00022826,00022129,00026137,00022129,00022312,0.15,0.00
00000109,00022316,00022129,00025567,00022129,00022312,0.09,0.00
00000110,00022374,00022129,00024116,00022129,00022312,0.07,0.00
00000111,00022231,00022129,00025682,00022129,00022312,0.02,0.00
00000112,00022214,00022129,00023692,00022129,00022312,0.06,0.00
00000113,00022274,00022129,00026638,00022129,00022312,0.05,0.00
00000114,00022162,00022129,00023795,00022129,00022312,0.01,0.00
00000115,00022766,00022129,00026130,00022129,00022312,0.18,0.00
00000116,00022183,00022129,00024113,00022129,00022312,0.02,0.00
00000117,00022206,00022129,00024714,00022129,00022312,0.02,0.00
00000118,00022646,00022129,00027369,00022129,00022312,0.14,0.00
00000119,00022308,00022129,00023681,00022129,00022312,0.04,0.00
00000120,00022486,00022129,00024247,00022129,00022312,0.08,0.00
00000121,00022565,00022129,00027640,00022129,00022312,0.12,0.00
00000122,00022236,00022129,00026617,00022129,00022312,0.03,0.00
00000123,00022205,00022129,00024546,00022129,00022312,0.02,0.00
00000124,00022182,00022129,00024623,00022129,00022312,0.02,0.00
00000125,00022135,00022129,00022467,00022129,00022312,0.00,0.00
00000126,00022285,00022129,00024217,00022129,00022312,0.03,0.00
00000127,00022183,00022129,00024857,00022129,00022312,0.02,0.00
00000128,00022755,00022129,00024036,00022129,00022312,0.10,0.00
00000129,00022311,00022129,00024856,00022129,00022312,0.12,0.00
00000130,00022330,00022129,00023881,00022129,00022312,0.07,0.00
00000131,00022232,00022129,00024479,00022129,00022312,0.07,0.00
00000132,00022269,00022129,00023940,00022129,00022312,0.05,0.00
00000133,00022352,00022164,00025162,00022129,00022312,0.06,0.00
00000134,00022260,00022164,00026216,00022129,00022312,0.04,0.00
00000135,00022277,00022164,00025261,00022129,00022312,0.08,0.00
00000136,00022564,00022164,00028331,00022129,00022312,0.05,0.00
00000137,00022223,00022075,00025091,00022075,00022258,0.07,0.00
00000138,00022205,00022075,00024381,00022075,00022258,0.08,0.00
00000139,00022233,00022075,00026577,00022075,00022258,0.09,0.00
00000140,00022180,00022075,00024880,00022075,00022258,0.04,0.00
00000141,00022304,00022075,00026018,00022075,00022258,0.07,0.00
00000142,00022075,00022075,00022075,00022075,00022258,0.00,0.00
00000143,00022163,00022075,00024933,00022075,00022258,0.03,0.00
00000144,00022264,00022075,00024523,00022075,00022258,0.03,0.00
00000145,00022335,00022075,00025651,00022075,00022258,0.09,0.00
00000146,00022129,00022075,00024794,00022075,00022258,0.01,0.00
00000147,00022394,00022075,00026364,00022075,00022258,0.10,0.00
00000148,00022150,00022075,00023335,00022075,00022258,0.01,0.00
00000149,00022225,00022020,00025603,00022020,00022203,0.09,0.00
00000150,00022116,00022020,00023669,00022020,00022203,0.05,0.00
00000151,00022063,00022020,00023565,00022020,00022203,0.05,0.00
00000152,00022738,00022020,00027540,00022020,00022203,0.13,0.00
00000153,00023421,00022020,00026937,00022020,00022203,0.22,0.00
00000154,00022090,00022020,00023647,00022020,00022203,0.07,0.00
00000155,00022054,00022020,00023440,00022020,00022203,0.02,0.00
00000156,00022121,00022020,00024701,00022020,00022203,0.06,0.00
00000157,00022202,00022020,00023845,00022020,00022203,0.04,0.00
00000158,00022159,00022020,00025543,00022020,00022203,0.04,0.00
00000159,00022159,00022020,00025067,00022020,00022203,0.05,0.00
00000160,00022284,00022020,00024175,00022020,00022203,0.08,0.00
00000161,00022040,00022020,00023008,00022020,00022203,0.02,0.00
00000162,00022406,00022020,00026763,00022020,00022203,0.04,0.00
00000163,00022099,00022020,00026002,00022020,00022203,0.03,0.00
00000164,00022966,00022020,00027055,00022020,00022203,0.08,0.00
00000165,00022250,00022020,00024300,00022020,00022203,0.06,0.00
00000166,00022303,00022020,00025640,00022020,00022203,0.12,0.00
00000167,00022246,00022020,00026301,00022020,00022203,0.07,0.00
00000168,00022569,00022020,00028172,00022020,00022203,0.11,0.00
00000169,00022550,00022020,00025119,00022020,00022203,0.06,0.00
00000170,00022073,00022020,00023803,00022020,00022203,0.04,0.00
00000171,00022020,00022020,00022020,00022020,00022203,0.00,0.00
00000172,00022126,00022020,00024501,00022020,00022203,0.05,0.00
00000173,00022179,00022013,00024339,00022013,00022197,0.14,0.00
00000174,00022818,00022013,00026113,00022013,00022197,0.18,0.00
00000175,00022088,00021926,00024936,00021926,00022109,0.06,0.00
00000176,00022017,00021926,00023428,00021926,00022109,0.11,0.00
00000177,00021992,00021926,00024730,00021926,00022109,0.02,0.00
00000178,00022162,00021926,00026061,00021926,00022109,0.07,0.00
00000179,00022434,00021926,00028244,00021926,00022109,0.13,0.00
00000180,00021942,00021926,00022445,00021926,00022109,0.02,0.00
00000181,00021994,00021926,00023662,00021926,00022109,0.06,0.00
00000182,00022012,00021926,00023645,00021926,00022109,0.04,0.00
