iteration,mean,best,worst,bsf,bsfAdj,div,branch
00000001,00063745,00057377,00071448,00057377,00057377,0.98,1.83
00000002,00063627,00057696,00070681,00056333,00056333,0.98,2.74
00000003,00063596,00057567,00071401,00056323,00056323,0.98,3.46
00000004,00063135,00057736,00071255,00055898,00055898,0.98,4.09
00000005,00063631,00057598,00072490,00055486,00055486,0.98,4.71
00000006,00063296,00056819,00072154,00055486,00055486,0.98,5.20
00000007,00064035,00057510,00072240,00055486,00055486,0.98,5.61
00000008,00062937,00056040,00070902,00054827,00054827,0.98,6.02
00000009,00062624,00056778,00069932,00054827,00054827,0.98,6.32
00000010,00063212,00056552,00072144,00054827,00054827,0.98,6.52
00000011,00062770,00057664,00072074,00054827,00054827,0.98,6.47
00000012,00062940,00056543,00069761,00054827,00054827,0.98,6.20
00000013,00062495,00056835,00068512,00054827,00054827,0.98,5.87
00000014,00062432,00055984,00071217,00054738,00054738,0.98,5.71
00000015,00062865,00055805,00069315,00054738,00054738,0.98,5.69
00000016,00062254,00056196,00070782,00054620,00054620,0.98,5.70
00000017,00061955,00056501,00069848,00054620,00054620,0.98,5.61
00000018,00062713,00055846,00072359,00054620,00054620,0.98,5.44
00000019,00061781,00056095,00068410,00054620,00054620,0.98,5.34
00000020,00061990,00055643,00069056,00054620,00054620,0.98,5.29
00000021,00061806,00055906,00070565,00054620,00054620,0.98,5.30
00000022,00061938,00056560,00070290,00054620,00054620,0.98,5.36
00000023,00061739,00056527,00069878,00054620,00054620,0.98,5.40
00000024,00061795,00056378,00070224,00054620,00054620,0.98,5.38
00000025,00062059,00055203,00069989,00054485,00054485,0.98,5.47
00000026,00061626,00055700,00070266,00054468,00054468,0.98,5.47
00000027,00061935,00056257,00070610,00054468,00054468,0.98,5.45
00000028,00061273,00055841,00067446,00054468,00054468,0.98,5.45
00000029,00061431,00056287,00068605,00054468,00054468,0.98,5.45
00000030,00061491,00055591,00069600,00054166,00054166,0.98,5.46
00000031,00061638,00054782,00070788,00053826,00053826,0.98,5.51
00000032,00061630,00056023,00072090,00053826,00053826,0.98,5.52
00000033,00061065,00055019,00067337,00053815,00053815,0.98,5.57
00000034,00061171,00054763,00067600,00053669,00053669,0.98,5.63
00000035,00061251,00054997,00070521,00053669,00053669,0.98,5.68
00000036,00061224,00055567,00069568,00053669,00053669,0.98,5.73
00000037,00061093,00055090,00069107,00053669,00053669,0.98,5.77
00000038,00060905,00054474,00068314,00053543,00053543,0.98,5.86
00000039,00061124,00055502,00067756,00053543,00053543,0.98,5.89
00000040,00060496,00054058,00070012,00053332,00053332,0.98,5.92
00000041,00060665,00055330,00067724,00053332,00053332,0.97,5.95
00000042,00061106,00055303,00068467,00053332,00053332,0.97,6.01
00000043,00060639,00054679,00068017,00053332,00053332,0.97,6.03
00000044,00060549,00054490,00067908,00053332,00053332,0.97,6.04
00000045,00059852,00053964,00066730,00053162,00053162,0.97,6.06
00000046,00060738,00054437,00068480,00053140,00053140,0.97,6.08
00000047,00060651,00054821,00068566,00053140,00053140,0.97,6.07
00000048,00060304,00053617,00067215,00052987,00052987,0.97,6.08
00000049,00060162,00054945,00069669,00052987,00052987,0.97,6.08
00000050,00060238,00053652,00067251,00052535,00052535,0.97,6.10
00000051,00060163,00054562,00067599,00052487,00052487,0.97,6.10
00000052,00060386,00053773,00067639,00052206,00052206,0.97,6.12
00000053,00059940,00053481,00067787,00052161,00052161,0.97,6.14
00000054,00059218,00053222,00066223,00052161,00052161,0.97,6.15
00000055,00059936,00054576,00068769,00052161,00052161,0.97,6.15
00000056,00059719,00054084,00067250,00052161,00052161,0.97,6.15
00000057,00059240,00054457,00066796,00052152,00052152,0.97,6.19
00000058,00059534,00053865,00067313,00052152,00052152,0.97,6.21
00000059,00059319,00054183,00066383,00052152,00052152,0.97,6.19
00000060,00059584,00054146,00067625,00052152,00052152,0.97,6.20
00000061,00059906,00054267,00066640,00052086,00052086,0.97,6.19
00000062,00059130,00053766,00065914,00052086,00052086,0.97,6.18
00000063,00059621,00053118,00068483,00051962,00051962,0.97,6.19
00000064,00059171,00053437,00067050,00051962,00051962,0.97,6.15
00000065,00058594,00053007,00067149,00051962,00051962,0.97,6.10
00000066,00059833,00053786,00067841,00051962,00051962,0.97,6.06
00000067,00059037,00052671,00066179,00051885,00051885,0.97,6.05
00000068,00058710,00053373,00065691,00051794,00051794,0.97,6.03
00000069,00058910,00053067,00066811,00051794,00051794,0.97,6.02
00000070,00058534,00053068,00065901,00051794,00051794,0.97,6.01
00000071,00058634,00052240,00067016,00051573,00051573,0.97,6.03
00000072,00058634,00053382,00066257,00051573,00051573,0.97,6.03
00000073,00058707,00053620,00066615,00051573,00051573,0.97,6.01
00000074,00058764,00052478,00065981,00051457,00051457,0.97,6.00
00000075,00058372,00052977,00064078,00051457,00051457,0.97,6.03
00000076,00058777,00052924,00067863,00051457,00051457,0.97,6.01
00000077,00058489,00053318,00066165,00051457,00051457,0.97,5.99
00000078,00058884,00052339,00066652,00051340,00051340,0.97,6.00
00000079,00058713,00053108,00064811,00051340,00051340,0.97,5.99
00000080,00058044,00052687,00066019,00051171,00051171,0.97,5.97
00000081,00058699,00052998,00067234,00051171,00051171,0.97,5.95
00000082,00057724,00052555,00064627,00051171,00051171,0.97,5.93
00000083,00057690,00052348,00063741,00051154,00051154,0.97,5.90
00000084,00058036,00052649,00064878,00050951,00050951,0.97,5.90
00000085,00058286,00052969,00064134,00050951,00050951,0.97,5.89
00000086,00058172,00052258,00065807,00050830,00050830,0.97,5.87
00000087,00057995,00052259,00064554,00050830,00050830,0.97,5.84
00000088,00057648,00052169,00065428,00050830,00050830,0.97,5.84
00000089,00057570,00051701,00065085,00050634,00050634,0.97,5.86
00000090,00057783,00052422,00064572,00050634,00050634,0.97,5.83
00000091,00058009,00050999,00065896,00050634,00050634,0.97,5.80
00000092,00057737,00052021,00065779,00050626,00050626,0.97,5.79
00000093,00057672,00051074,00066330,00050411,00050411,0.97,5.78
00000094,00057267,00051629,00064870,00050411,00050411,0.97,5.76
00000095,00057755,00052555,00065852,00050411,00050411,0.97,5.73
00000096,00057357,00051619,00066814,00050398,00050398,0.97,5.71
00000097,00057412,00051604,00064302,00050398,00050398,0.97,5.71
00000098,00057298,00051057,00064890,00050296,00050296,0.97,5.73
00000099,00056928,00051147,00065857,00050102,00050102,0.97,5.72
00000100,00057074,00051475,00064199,00049980,00049980,0.97,5.72
00000101,00057209,00051273,00064710,00049980,00049980,0.97,5.71
00000102,00057261,00052371,00064336,00049980,00049980,0.97,5.68
00000103,00056659,00051357,00064187,00049824,00049824,0.96,5.66
00000104,00056933,00051891,00064695,00049815,00049815,0.97,5.63
00000105,00056872,00051487,00063600,00049815,00049815,0.97,5.60
00000106,00056841,00050919,00064311,00049815,00049815,0.97,5.57
00000107,00057068,00051661,00064282,00049815,00049815,0.96,5.53
00000108,00056603,00051049,00064760,00049815,00049815,0.97,5.49
00000109,00056829,00051091,00063339,00049783,00049783,0.97,5.47
00000110,00057043,00051545,00064967,00049783,00049783,0.97,5.46
00000111,00056552,00050564,00064453,00049488,00049488,0.97,5.43
00000112,00056564,00050895,00064096,00049488,00049488,0.96,5.41
00000113,00056997,00051675,00065269,00049488,00049488,0.96,5.40
00000114,00056794,00051027,00063097,00049488,00049488,0.97,5.39
00000115,00056399,00050727,00065973,00049448,00049448,0.96,5.37
00000116,00056267,00050739,00063469,00049322,00049322,0.96,5.36
00000117,00056452,00050960,00064237,00049203,00049203,0.97,5.34
00000118,00056378,00050692,00064459,00049203,00049203,0.96,5.31
00000119,00056644,00050508,00064773,00049203,00049203,0.97,5.28
00000120,00056727,00050405,00064477,00049194,00049194,0.97,5.25
00000121,00056088,00050682,00064749,00049194,00049194,0.97,5.23
00000122,00056156,00050618,00063494,00049139,00049139,0.97,5.22
00000123,00056054,00050377,00065166,00049089,00049359,0.96,5.22
00000124,00056281,00050624,00063405,00049089,00049359,0.96,5.21
00000125,00056017,00050605,00064272,00049089,00049359,0.96,5.22
00000126,00055927,00050148,00063647,00049089,00049359,0.96,5.19
00000127,00056067,00050079,00064276,00048990,00049261,0.96,5.17
00000128,00056250,00049859,00064419,00048816,00049086,0.96,5.16
00000129,00055748,00049763,00062849,00048691,00048961,0.96,5.14
00000130,00056119,00050257,00062623,00048691,00048961,0.96,5.12
00000131,00055561,00050233,00065014,00048691,00048961,0.96,5.10
00000132,00056321,00050759,00063934,00048691,00048961,0.96,5.06
00000133,00055533,00050071,00063976,00048691,00048961,0.96,5.04
00000134,00055505,00050103,00061565,00048512,00048783,0.96,5.03
00000135,00055463,00049915,00063457,00048512,00048783,0.96,5.02
00000136,00055362,00049451,00062594,00048498,00048768,0.96,5.01
00000137,00055526,00049499,00062979,00048247,00048517,0.96,5.00
00000138,00055762,00049638,00062873,00048247,00048517,0.96,4.99
00000139,00055288,00049264,00061741,00048247,00048517,0.96,4.95
00000140,00055652,00049565,00062483,00048247,00048517,0.96,4.93
00000141,00055807,00051177,00063226,00048247,00048517,0.96,4.90
00000142,00055410,00049936,00061450,00048247,00048517,0.96,4.88
00000143,00055584,00049538,00061132,00048247,00048517,0.96,4.84
00000144,00055880,00050269,00063130,00048247,00048517,0.96,4.82
00000145,00055647,00049821,00063190,00048247,00048517,0.96,4.79
00000146,00055455,00050462,00061666,00048247,00048517,0.96,4.78
00000147,00055142,00049651,00063191,00048247,00048517,0.96,4.77
00000148,00055083,00050111,00061737,00048247,00048517,0.96,4.74
00000149,00054699,00049993,00060859,00048247,00048517,0.96,4.72
00000150,00055509,00050309,00062660,00048247,00048517,0.96,4.72
00000151,00055428,00050546,00062112,00048247,00048517,0.96,4.69
00000152,00055403,00049787,00061023,00048247,00048517,0.96,4.68
00000153,00055236,00049974,00062958,00048195,00048465,0.96,4.66
00000154,00054699,00049301,00060959,00048192,00048462,0.96,4.65
00000155,00055599,00049788,00062674,00048192,00048462,0.96,4.62
00000156,00055149,00049849,00062163,00048192,00048462,0.96,4.60
00000157,00054929,00049712,00062454,00048192,00048462,0.96,4.58
00000158,00054896,00049713,00062244,00048192,00048462,0.96,4.55
00000159,00054973,00049571,00062267,00048192,00048462,0.96,4.54
00000160,00055205,00049448,00063299,00048159,00048430,0.96,4.53
00000161,00055432,00050011,00061816,00048159,00048430,0.96,4.51
00000162,00054967,00049535,00062834,00048159,00048430,0.96,4.50
00000163,00055254,00049887,00063469,00048159,00048430,0.96,4.48
00000164,00055346,00049447,00063366,00048159,00048465,0.95,4.47
00000165,00054621,00049298,00062966,00048159,00048465,0.95,4.45
00000166,00054858,00049624,00061919,00048082,00048388,0.95,4.43
00000167,00054814,00049690,00061579,00048082,00048388,0.95,4.43
00000168,00055006,00049083,00064418,00047863,00048169,0.95,4.42
00000169,00054743,00049716,00061687,00047863,00048169,0.95,4.40
00000170,00055336,00050043,00062427,00047863,00048169,0.95,4.41
00000171,00055027,00049166,00062171,00047863,00048169,0.95,4.40
00000172,00054479,00049334,00061644,00047863,00048169,0.95,4.39
00000173,00054783,00049741,00060968,00047863,00048169,0.95,4.37
00000174,00054725,00048958,00063865,00047784,00048090,0.95,4.37
00000175,00054790,00049936,00062900,00047784,00048090,0.95,4.37
00000176,00055123,00049974,00061972,00047784,00048090,0.95,4.34
00000177,00054636,00049046,00061235,00047695,00048001,0.95,4.32
00000178,00054989,00048834,00061983,00047225,00047531,0.95,4.32
00000179,00054767,00048510,00061219,00047225,00047531,0.95,4.30
00000180,00054469,00049329,00062100,00047225,00047531,0.95,4.29
00000181,00054847,00048264,00062886,00047208,00047514,0.95,4.26
00000182,00054856,00049029,00061912,00047208,00047514,0.95,4.25
00000183,00054870,00049362,00061837,00047208,00047514,0.95,4.25
00000184,00054083,00048951,00061434,00047208,00047514,0.95,4.25
00000185,00054609,00049099,00062282,00047208,00047514,0.95,4.23
00000186,00053830,00048401,00059353,00047208,00047514,0.95,4.23
00000187,00054940,00048543,00063334,00047154,00047460,0.95,4.21
00000188,00054519,00049314,00061511,00047154,00047460,0.95,4.21
00000189,00054609,00049241,00060011,00047154,00047460,0.95,4.20
00000190,00054109,00048354,00061665,00047154,00047460,0.95,4.19
00000191,00054335,00048426,00060967,00047088,00047394,0.95,4.17
00000192,00054702,00048493,00062840,00047088,00047394,0.95,4.15
00000193,00054641,00048393,00061583,00047088,00047394,0.95,4.14
00000194,00054025,00048788,00059502,00047088,00047394,0.95,4.14
00000195,00054514,00048609,00060096,00047088,00047394,0.95,4.12
00000196,00054313,00049148,00061954,00047088,00047394,0.95,4.11
00000197,00054300,00047953,00060620,00046889,00047195,0.95,4.10
00000198,00053996,00048162,00060972,00046738,00047044,0.95,4.09
00000199,00053558,00048963,00062000,00046738,00047044,0.95,4.09
00000200,00053987,00048889,00062375,00046738,00047044,0.95,4.09
00000201,00053905,00048559,00061133,00046738,00047044,0.95,4.07
00000202,00053982,00048689,00063252,00046738,00047044,0.95,4.07
00000203,00054287,00048522,00061264,00046738,00047044,0.95,4.05
00000204,00053927,00048450,00061698,00046738,00047044,0.95,4.04
00000205,00054308,00048180,00063154,00046487,00046845,0.94,4.03
00000206,00054163,00048135,00061245,00046487,00046845,0.94,4.03
00000207,00053482,00047828,00060907,00046477,00046834,0.94,4.00
