iteration,mean,best,worst,bsf,bsfAdj,div,branch
00000001,00029971,00025325,00036784,00025325,00025325,0.95,0.99
00000002,00029757,00025561,00036187,00024950,00024950,0.95,1.19
00000003,00029695,00025475,00035946,00024740,00024740,0.95,1.32
00000004,00029704,00025440,00035424,00024601,00024601,0.95,1.40
00000005,00029703,00025343,00036811,00024494,00024494,0.95,1.49
00000006,00029493,00025307,00035811,00024418,00024418,0.95,1.55
00000007,00029793,00025096,00036720,00024165,00024165,0.95,1.65
00000008,00029668,00025336,00036668,00024090,00024090,0.95,1.70
00000009,00029631,00025213,00036350,00024006,00024006,0.95,1.76
00000010,00029548,00025133,00036251,00023912,00023912,0.95,1.73
00000011,00029407,00025128,00035497,00023792,00023792,0.95,1.74
00000012,00029687,00024884,00035978,00023688,00023688,0.95,1.75
00000013,00029454,00024854,00035877,00023613,00023613,0.95,1.76
00000014,00029353,00025145,00035568,00023557,00023557,0.95,1.74
00000015,00029369,00024875,00035532,00023530,00023530,0.95,1.71
00000016,00029393,00024960,00036224,00023487,00023487,0.95,1.70
00000017,00029379,00024901,00035876,00023429,00023429,0.95,1.63
00000018,00029268,00025091,00035813,00023429,00023429,0.95,1.58
00000019,00029444,00024969,00035565,00023398,00023398,0.95,1.58
00000020,00029339,00025092,00035472,00023378,00023378,0.95,1.56
00000021,00029263,00024752,00036054,00023266,00023266,0.95,1.55
00000022,00029387,00025117,00036375,00023251,00023251,0.95,1.53
00000023,00029448,00025050,00036895,00023196,00023196,0.95,1.50
00000024,00029348,00024824,00036139,00023189,00023189,0.95,1.50
00000025,00029280,00024845,00036196,00023145,00023145,0.95,1.82
00000026,00029246,00024799,00036318,00023101,00023101,0.95,1.81
00000027,00028930,00024402,00035315,00023055,00023055,0.95,1.81
00000028,00029147,00024490,00035690,00022969,00022969,0.95,1.81
00000029,00029085,00024735,00035782,00022946,00022946,0.95,1.79
00000030,00028987,00024622,00035422,00022921,00022921,0.95,1.78
00000031,00029106,00024689,00035491,00022921,00022921,0.95,1.72
00000032,00028845,00024413,00035398,00022831,00022831,0.95,1.73
00000033,00029057,00024617,00035885,00022820,00022820,0.95,1.73
00000034,00028987,00024612,00035156,00022816,00022816,0.95,1.71
00000035,00028860,00024571,00035358,00022809,00022809,0.95,1.69
00000036,00029004,00024397,00036292,00022784,00022784,0.95,1.69
00000037,00028739,00024575,00035309,00022771,00022771,0.95,1.67
00000038,00028893,00024481,00035308,00022722,00022722,0.95,1.65
00000039,00028708,00024286,00035035,00022670,00022670,0.95,1.65
00000040,00028784,00024381,00035483,00022670,00022670,0.95,1.63
00000041,00028664,00024454,00034609,00022635,00022635,0.95,1.62
00000042,00028491,00024515,00034705,00022630,00022630,0.95,1.59
00000043,00028578,00024131,00035087,00022606,00022606,0.95,1.57
00000044,00028793,00024196,00035322,00022599,00022599,0.95,1.56
00000045,00028453,00024313,00035138,00022573,00022573,0.95,1.55
00000046,00028339,00023839,00035361,00022562,00022562,0.95,1.55
00000047,00028494,00024218,00035421,00022555,00022555,0.95,1.54
00000048,00028605,00024403,00034961,00022555,00022555,0.95,1.54
00000049,00028384,00023975,00035135,00022512,00022512,0.95,1.54
00000050,00028186,00023869,00034932,00022476,00022476,0.95,1.68
00000051,00028407,00023752,00034729,00022460,00022460,0.95,1.68
00000052,00028465,00024035,00035318,00022443,00022443,0.95,1.67
00000053,00028281,00023981,00034340,00022443,00022443,0.95,1.65
00000054,00028214,00023850,00034698,00022388,00022388,0.95,1.63
00000055,00028372,00023944,00035252,00022388,00022388,0.95,1.62
00000056,00028192,00023853,00034535,00022374,00022374,0.95,1.61
00000057,00028039,00023875,00034110,00022364,00022364,0.95,1.60
00000058,00028183,00024031,00034674,00022352,00022352,0.95,1.59
00000059,00028097,00023943,00034429,00022349,00022349,0.95,1.58
00000060,00027915,00023546,00034691,00022295,00022295,0.95,1.59
00000061,00027880,00023943,00034457,00022295,00022295,0.95,1.58
00000062,00028271,00023823,00035444,00022268,00022268,0.95,1.57
00000063,00028007,00023495,00034324,00022268,00022268,0.95,1.56
00000064,00028090,00023743,00034503,00022255,00022255,0.95,1.57
00000065,00027889,00023689,00034381,00022255,00022255,0.95,1.57
00000066,00027832,00023637,00034367,00022255,00022255,0.95,1.56
00000067,00027784,00023625,00034473,00022222,00022222,0.95,1.56
00000068,00027743,00023441,00034271,00022211,00022211,0.95,1.56
00000069,00027631,00023332,00033243,00022182,00022182,0.95,1.55
00000070,00027524,00023279,00033948,00022109,00022109,0.95,1.57
00000071,00027566,00023576,00033542,00022079,00022079,0.95,1.60
00000072,00027468,00023422,00034100,00022069,00022069,0.95,1.61
00000073,00027561,00023204,00034160,00022028,00022028,0.95,1.61
00000074,00027495,00023138,00033941,00021987,00021987,0.95,1.63
00000075,00027545,00023131,00033613,00021930,00021930,0.95,1.71
00000076,00027402,00023218,00034414,00021885,00021885,0.95,1.73
00000077,00027410,00023110,00033557,00021876,00021876,0.95,1.72
00000078,00027498,00023292,00033340,00021872,00021872,0.95,1.72
00000079,00027341,00023248,00034032,00021871,00021871,0.95,1.71
00000080,00027342,00023385,00034367,00021850,00021850,0.95,1.70
00000081,00027402,00023011,00033991,00021789,00021789,0.95,1.70
00000082,00027051,00023087,00033678,00021774,00021774,0.95,1.70
00000083,00027304,00023145,00033628,00021739,00021739,0.95,1.71
00000084,00027030,00023157,00033127,00021736,00021736,0.95,1.71
00000085,00027141,00022769,00034121,00021735,00021735,0.95,1.70
00000086,00027050,00023048,00033073,00021728,00021728,0.95,1.70
00000087,00027006,00022999,00033171,00021668,00021668,0.95,1.69
00000088,00027041,00022730,00033148,00021577,00021577,0.95,1.71
00000089,00026941,00022860,00032667,00021577,00021577,0.95,1.72
00000090,00026875,00022708,00033167,00021527,00021527,0.95,1.72
00000091,00026981,00022836,00033126,00021508,00021508,0.95,1.72
00000092,00026819,00022713,00033112,00021457,00021457,0.95,1.72
00000093,00026727,00022583,00032894,00021413,00021413,0.95,1.72
00000094,00026549,00022650,00032766,00021371,00021371,0.95,1.73
00000095,00026758,00022645,00033378,00021363,00021363,0.95,1.73
00000096,00026549,00022573,00032856,00021347,00021347,0.95,1.73
00000097,00026723,00022339,00033175,00021219,00021219,0.95,1.74
00000098,00026554,00022432,00032724,00021202,00021202,0.95,1.75
00000099,00026612,00022597,00032769,00021178,00021178,0.95,1.75
00000100,00026437,00022496,00032621,00021169,00021169,0.95,1.81
00000101,00026431,00022473,00032623,00021147,00021147,0.95,1.80
00000102,00026320,00022286,00033374,00021103,00021103,0.95,1.80
00000103,00026628,00022542,00033755,00021077,00021077,0.95,1.80
00000104,00026257,00022207,00032235,00021050,00021050,0.94,1.79
00000105,00026357,00022384,00032674,00021037,00021037,0.95,1.79
00000106,00026170,00022137,00032116,00021007,00021007,0.95,1.79
00000107,00026142,00022086,00032243,00020989,00021236,0.93,1.80
