iteration,mean,best,worst,bsf,bsfAdj,div,branch
00000001,00081840,00070010,00096348,00069150,00069150,0.97,0.50
00000002,00082209,00070463,00095867,00068404,00068404,0.97,0.66
00000003,00081978,00069549,00095974,00067593,00067593,0.97,0.87
00000004,00081843,00070350,00094929,00066890,00066890,0.97,0.98
00000005,00081793,00069644,00095283,00066468,00066468,0.97,1.06
00000006,00081923,00069427,00095847,00066148,00066148,0.97,1.13
00000007,00081981,00070166,00096411,00065905,00065905,0.97,1.14
00000008,00080989,00067576,00094308,00065562,00065562,0.97,1.28
00000009,00081190,00069054,00095769,00065407,00065407,0.96,1.30
00000010,00081237,00069311,00094717,00065248,00065248,0.97,1.36
00000011,00081394,00068710,00095215,00064856,00064856,0.97,1.42
00000012,00081163,00069609,00094572,00064785,00064785,0.97,1.45
00000013,00081368,00069954,00093918,00064648,00064648,0.96,1.48
00000014,00081176,00068311,00094215,00064337,00064337,0.96,1.53
00000015,00080851,00069243,00093848,00064121,00064121,0.96,1.55
00000016,00081466,00068768,00094268,00063972,00063972,0.97,1.57
00000017,00080796,00069197,00092680,00063822,00063822,0.96,1.58
00000018,00080681,00068263,00093776,00063637,00063637,0.96,1.59
00000019,00079999,00068288,00093789,00063579,00063579,0.96,1.57
00000020,00080849,00068705,00094460,00063300,00063300,0.96,1.60
00000021,00080896,00069339,00093646,00063234,00063234,0.96,1.59
00000022,00080402,00067961,00093703,00063169,00063169,0.96,1.56
00000023,00080418,00068172,00093419,00063071,00063071,0.96,1.57
00000024,00079983,00067754,00093011,00063010,00063010,0.96,1.58
00000025,00080199,00068049,00092314,00062971,00062971,0.96,1.90
00000026,00080429,00068336,00093441,00062746,00062746,0.96,1.88
00000027,00080434,00068717,00092892,00062724,00062724,0.96,1.86
00000028,00080030,00068038,00092302,00062724,00062724,0.96,1.85
00000029,00080105,00068446,00092640,00062570,00062570,0.96,1.83
00000030,00080065,00067840,00092991,00062394,00062394,0.96,1.86
00000031,00079394,00068255,00093277,00062394,00062394,0.96,1.84
00000032,00079770,00067890,00092497,00062331,00062331,0.96,1.83
00000033,00079188,00067043,00092236,00062232,00062232,0.96,1.80
00000034,00079829,00067996,00093058,00062203,00062203,0.96,1.77
00000035,00079484,00067294,00092815,00062024,00062024,0.96,1.80
00000036,00079623,00067353,00093190,00061857,00061857,0.96,1.81
00000037,00079044,00067253,00091938,00061819,00061819,0.96,1.79
00000038,00079204,00067673,00092018,00061765,00061765,0.96,1.80
00000039,00078619,00067023,00091892,00061601,00061601,0.96,1.79
00000040,00078990,00066207,00092187,00061560,00061560,0.96,1.79
00000041,00079119,00066533,00092650,00061413,00061413,0.96,1.77
00000042,00078712,00067142,00092210,00061145,00061145,0.96,1.78
00000043,00078597,00066627,00092211,00061093,00061093,0.96,1.77
00000044,00078672,00067430,00091340,00061020,00061020,0.96,1.76
00000045,00078526,00067091,00091051,00060787,00060787,0.96,1.75
00000046,00078734,00066370,00091429,00060780,00060780,0.96,1.74
00000047,00078179,00066352,00090677,00060731,00060731,0.96,1.75
00000048,00078467,00066573,00091398,00060731,00060731,0.96,1.73
00000049,00078049,00066048,00091764,00060648,00060648,0.96,1.74
00000050,00078105,00065441,00091865,00060263,00060263,0.96,1.91
00000051,00078167,00066089,00090453,00060166,00060166,0.96,1.89
00000052,00077534,00066074,00091812,00060166,00060166,0.96,1.86
00000053,00077756,00066100,00090846,00059943,00059943,0.96,1.86
00000054,00077407,00066097,00088992,00059943,00059943,0.96,1.84
00000055,00077725,00066564,00089964,00059943,00059943,0.96,1.82
00000056,00077371,00065177,00091017,00059740,00059740,0.96,1.82
00000057,00076867,00065589,00089312,00059662,00059662,0.96,1.80
00000058,00077651,00065875,00090784,00059632,00059632,0.96,1.78
00000059,00077277,00066394,00089637,00059632,00059632,0.96,1.76
00000060,00076772,00065169,00091128,00059575,00059575,0.96,1.74
00000061,00076748,00065010,00088817,00059451,00059451,0.96,1.76
00000062,00076571,00065574,00089329,00059451,00059451,0.96,1.73
00000063,00076943,00065728,00089864,00059400,00059400,0.96,1.71
00000064,00076358,00064369,00088801,00059330,00059330,0.96,1.70
00000065,00076509,00064780,00089688,00059325,00059325,0.96,1.71
00000066,00076213,00064367,00089462,00059290,00059290,0.96,1.72
00000067,00076645,00064696,00090250,00059278,00059278,0.96,1.71
00000068,00075940,00064054,00088602,00059231,00059231,0.96,1.71
00000069,00076024,00064582,00087581,00059198,00059198,0.96,1.71
00000070,00075674,00064246,00087821,00058954,00058954,0.96,1.72
00000071,00075625,00064148,00087152,00058954,00058954,0.96,1.69
00000072,00075768,00064402,00089378,00058838,00058838,0.96,1.69
00000073,00075622,00062790,00087935,00058825,00058825,0.96,1.68
00000074,00075617,00064276,00087998,00058819,00058819,0.96,1.68
00000075,00075320,00063633,00088749,00058729,00058729,0.96,1.78
00000076,00075138,00064091,00087671,00058664,00058664,0.96,1.77
00000077,00074859,00063925,00087565,00058664,00058664,0.96,1.76
00000078,00075062,00063438,00086653,00058393,00058393,0.96,1.74
00000079,00074987,00063735,00088116,00058287,00058287,0.96,1.76
00000080,00074450,00063020,00087588,00058244,00058244,0.96,1.75
00000081,00074198,00063236,00086372,00058244,00058244,0.96,1.73
00000082,00074525,00062596,00086881,00057918,00057918,0.96,1.73
00000083,00074258,00062406,00087681,00057837,00057837,0.96,1.73
00000084,00074461,00062542,00086728,00057624,00057624,0.96,1.72
