iteration,mean,best,worst,bsf,bsfAdj,div,branch
00000000,00115512,00095365,00139051,00065174,00065174,0.95,0.93
00000001,00113615,00094877,00133438,00065174,00065174,0.95,1.16
00000002,00113681,00095391,00135220,00065174,00065174,0.95,1.27
00000003,00114020,00094781,00135676,00065174,00065174,0.95,1.39
00000004,00113544,00092699,00134970,00065174,00065174,0.95,1.47
00000005,00113368,00095130,00134443,00065174,00065174,0.95,1.52
00000006,00113026,00094062,00134825,00065174,00065174,0.95,1.61
00000007,00113212,00095045,00134189,00065174,00065174,0.95,1.66
00000008,00113508,00095094,00134171,00065174,00065174,0.95,1.67
00000009,00113477,00094287,00133180,00065174,00065174,0.95,1.70
00000010,00113118,00093838,00134529,00065174,00065174,0.95,1.75
00000011,00113680,00094881,00133214,00065174,00065174,0.95,1.79
00000012,00112910,00093088,00133282,00065174,00065174,0.95,1.82
00000013,00112494,00092773,00133495,00065174,00065174,0.95,1.84
00000014,00112812,00093918,00133114,00065174,00065174,0.95,1.88
00000015,00112348,00093202,00133783,00065174,00065174,0.95,1.91
00000016,00113124,00094831,00134059,00065174,00065174,0.95,1.89
00000017,00112356,00094405,00133979,00065174,00065174,0.95,1.88
00000018,00112416,00093801,00134120,00065174,00065174,0.95,1.85
00000019,00112080,00093295,00133824,00065174,00065174,0.95,1.80
00000020,00112787,00094328,00131652,00065174,00065174,0.95,1.76
00000021,00112270,00093845,00132617,00065174,00065174,0.95,1.74
00000022,00112231,00093538,00133358,00065174,00065174,0.95,1.70
00000023,00112776,00092070,00133470,00065174,00065174,0.95,1.68
00000024,00113096,00094017,00133710,00065174,00065174,0.95,1.66
00000025,00111750,00091506,00131742,00065174,00065174,0.95,1.95
00000026,00112312,00093654,00133253,00065174,00065174,0.95,1.88
00000027,00112013,00092580,00132046,00065174,00065174,0.95,1.85
00000028,00112336,00094198,00133492,00065174,00065174,0.95,1.77
00000029,00112463,00094488,00133640,00065174,00065174,0.95,1.75
00000030,00112196,00092820,00134336,00065174,00065174,0.95,1.73
00000031,00112005,00094557,00131485,00065174,00065174,0.95,1.71
00000032,00111866,00093660,00133204,00065174,00065174,0.95,1.68
00000033,00111937,00091782,00132046,00065174,00065174,0.95,1.67
00000034,00111610,00092253,00132753,00065174,00065174,0.95,1.65
00000035,00112196,00092725,00134141,00065174,00065174,0.95,1.64
00000036,00111990,00093066,00132352,00065174,00065174,0.95,1.61
00000037,00111492,00093453,00131295,00065174,00065174,0.95,1.58
00000038,00110975,00092910,00133244,00065174,00065174,0.95,1.56
00000039,00111300,00092652,00132166,00065174,00065174,0.95,1.54
00000040,00111261,00093449,00131880,00065174,00065174,0.95,1.54
