iteration,mean,best,worst,bsf,div,branch,mean_0,mean_1,mean_2,mean_3,mean_4,mean_5,mean_6,mean_7,mean_8,mean_9,mean_10,mean_11,mean_12,mean_13,mean_14,mean_15,mean_16,mean_17,mean_18,mean_19,mean_20,mean_21,mean_22,mean_23,mean_24,mean_25,mean_26,mean_27,mean_28,mean_29
00000001,00099519,00089367,00113652,00089150,0.95,0.81,00087680,00089517,00087669,00090995,00094145,00088103,00090265,00089749,00087616,00090017,00089463,00090547,00091875,00089536,00090046,00087973,00088781,00088354,00088459,00085166,00084814,00091781,00091799,00086917,00090667,00087329,00091662,00087702,00089028,00086867
00000002,00095672,00085672,00107986,00085551,0.92,0.67,00084388,00089035,00084973,00086650,00086654,00083068,00082865,00085747,00086313,00087648,00087731,00089333,00088950,00081782,00085587,00086181,00082982,00084801,00083781,00085166,00084128,00087778,00087510,00080932,00087398,00087329,00083891,00085453,00085296,00083181
00000003,00090633,00083530,00104050,00083484,0.79,0.57,00084193,00086911,00084015,00082463,00085726,00082028,00079162,00082858,00082319,00087648,00085832,00087915,00086102,00080090,00085587,00082931,00082982,00083058,00082214,00080096,00080981,00084923,00085119,00080141,00082651,00087296,00082512,00080931,00084636,00081217
00000004,00086541,00082264,00099386,00082263,0.57,0.59,00082754,00084306,00082073,00081559,00085159,00081747,00076360,00080484,00081290,00086345,00085340,00083161,00086102,00078315,00084940,00081616,00082560,00081152,00081237,00079180,00080089,00082852,00084897,00079760,00082248,00087296,00081559,00079105,00083580,00080848
00000005,00085616,00081487,00098996,00081486,0.50,0.60,00082156,00084306,00077885,00081559,00084583,00081747,00076360,00079764,00081290,00084771,00085013,00082107,00085346,00075695,00083895,00081213,00081995,00080333,00081001,00078838,00078885,00081722,00084220,00079760,00081606,00086873,00081406,00078262,00081801,00080201
00000006,00084861,00080892,00098212,00080888,0.47,0.63,00081504,00083470,00077885,00081262,00081497,00081702,00076360,00079199,00081290,00084424,00084954,00080978,00084816,00075229,00082763,00080904,00081647,00079627,00080577,00078712,00078885,00081106,00082641,00079698,00081210,00086372,00080978,00077834,00079587,00079545
00000007,00084786,00080339,00098080,00080338,0.50,0.63,00081504,00083449,00076809,00081262,00081497,00081085,00075285,00078191,00080634,00084424,00084127,00080978,00083595,00075229,00082763,00080459,00081419,00076779,00080577,00077963,00078725,00079400,00082641,00079698,00081210,00085651,00080978,00077616,00077822,00078389
00000008,00084518,00080049,00098055,00080042,0.52,0.63,00080945,00082124,00076809,00081185,00081497,00080146,00074788,00078112,00080634,00084098,00084127,00080978,00083403,00075107,00082449,00080134,00080499,00076779,00080577,00076788,00078725,00079086,00082641,00079698,00080561,00085161,00080978,00077330,00077822,00078084
00000009,00084379,00079801,00097886,00079800,0.52,0.64,00080945,00082124,00076325,00080641,00081497,00080146,00074788,00078112,00080634,00083884,00084030,00080978,00083117,00074107,00082101,00079998,00080373,00076779,00080473,00076788,00078455,00078268,00081477,00079698,00080561,00085050,00080767,00077051,00076971,00077887
00000010,00083685,00079439,00096681,00079438,0.48,0.64,00080231,00082124,00076325,00080323,00080657,00080146,00074788,00077532,00080420,00083884,00083219,00080978,00083117,00074028,00081735,00078761,00080373,00075453,00080399,00076788,00076721,00077998,00081172,00079698,00080531,00085050,00080767,00075678,00076971,00077295
