iteration,mean,best,worst,bsf,div,branch,mean_0,mean_1,mean_2,mean_3,mean_4,mean_5,mean_6,mean_7,mean_8,mean_9,mean_10,mean_11,mean_12,mean_13,mean_14,mean_15,mean_16,mean_17,mean_18,mean_19,mean_20,mean_21,mean_22,mean_23,mean_24,mean_25,mean_26,mean_27,mean_28,mean_29
00000001,00078997,00067676,00096913,00065885,0.92,1.08,00069494,00068360,00065317,00064219,00067028,00067683,00067187,00068877,00064822,00066503,00066504,00064260,00066324,00063762,00064573,00062928,00064299,00067043,00066903,00066991,00062182,00062120,00066452,00070964,00067523,00066388,00063448,00061927,00067095,00065393
00000002,00078750,00067129,00096259,00064150,0.91,1.43,00065115,00066530,00065317,00060264,00067028,00065535,00062215,00066513,00064822,00065678,00066504,00060887,00063558,00062692,00063200,00062928,00064299,00067043,00064007,00059780,00062182,00057048,00062927,00070082,00066797,00066388,00063448,00061927,00064409,00065393
00000003,00078760,00066796,00097954,00063571,0.91,1.66,00065115,00065779,00065317,00060264,00065398,00063310,00062215,00066513,00064822,00064688,00065571,00060310,00063558,00062692,00063200,00062928,00062602,00066196,00064007,00059780,00062182,00057048,00062927,00067036,00064706,00066388,00063448,00061927,00061836,00065393
00000004,00078906,00067144,00097501,00063540,0.91,1.80,00065115,00065598,00065317,00060264,00065398,00063310,00062215,00066513,00064775,00064688,00065571,00060310,00063558,00062692,00063200,00062808,00062602,00066196,00064007,00059780,00062182,00057048,00062927,00067036,00064706,00066388,00063448,00061927,00061836,00064802
00000005,00078683,00067620,00095460,00063382,0.91,1.91,00065115,00061803,00065317,00060264,00065398,00063310,00062215,00066513,00064775,00064688,00065571,00060310,00063558,00062692,00063200,00062808,00062542,00066196,00064007,00059780,00062182,00057048,00062927,00067036,00064706,00066388,00063448,00061927,00060954,00064802
00000006,00078578,00066759,00096942,00062565,0.91,2.02,00065115,00061803,00064456,00060264,00065398,00063244,00062215,00065961,00062568,00061513,00064125,00060310,00063275,00062692,00062676,00062138,00061792,00061488,00061541,00059780,00062182,00057048,00062927,00065344,00064706,00066388,00062146,00058109,00060954,00064802
00000007,00078330,00067080,00095649,00062230,0.91,2.09,00065115,00061803,00064456,00060264,00065398,00063244,00058977,00065961,00059787,00060302,00064125,00060310,00063275,00060254,00062676,00062138,00061408,00061488,00061541,00059780,00062182,00057048,00062927,00065344,00064706,00066388,00062146,00058109,00060954,00064802
00000008,00077909,00066476,00096718,00062210,0.91,2.15,00065115,00061803,00064456,00060264,00065398,00063244,00058977,00065961,00059787,00060302,00064125,00060310,00063275,00060254,00062676,00062138,00061408,00061488,00061541,00059780,00062182,00057048,00062325,00065344,00064706,00066388,00062146,00058109,00060954,00064802
00000009,00077826,00066114,00096245,00062032,0.91,2.14,00065115,00061803,00064456,00060264,00065398,00063244,00058977,00065961,00059787,00060302,00064125,00060310,00063275,00060254,00062676,00062138,00060173,00061488,00058456,00059780,00062182,00057048,00062325,00065344,00064706,00066388,00062146,00058109,00059944,00064802
00000010,00078025,00066761,00094946,00061876,0.91,2.09,00065115,00061803,00064456,00060264,00065398,00063083,00058977,00065961,00059787,00060302,00064125,00060310,00063275,00060254,00062676,00061011,00060173,00061488,00058456,00059780,00062182,00057048,00062325,00064567,00064706,00063761,00062146,00058109,00059944,00064802
00000011,00099894,00083401,00124831,00061876,0.91,2.10,00065115,00061803,00064456,00060264,00065398,00063083,00058977,00065961,00059787,00060302,00064125,00060310,00063275,00060254,00062676,00061011,00060173,00061488,00058456,00059780,00062182,00057048,00062325,00064567,00064706,00063761,00062146,00058109,00059944,00064802
00000012,00078730,00067059,00096432,00065613,0.92,2.42,00063322,00065170,00062305,00065701,00067214,00066869,00067861,00064983,00064459,00068871,00065986,00064191,00067854,00067508,00064470,00067055,00067281,00062947,00062514,00062352,00061023,00066328,00067148,00066030,00064694,00063711,00067983,00066500,00066767,00069309
00000013,00078403,00066853,00095968,00064470,0.92,2.52,00063322,00064835,00059486,00065645,00067214,00066287,00064891,00062648,00064186,00063817,00065986,00064191,00066941,00066024,00064470,00062473,00063704,00062947,00062514,00062352,00061023,00066328,00067108,00058508,00064694,00063711,00067983,00066500,00065507,00068810
00000014,00078731,00067350,00097950,00063916,0.92,2.57,00063227,00064835,00059486,00065645,00063826,00065870,00064891,00062648,00064186,00063817,00065986,00063253,00063559,00066024,00064470,00062473,00060762,00062947,00061767,00062352,00061023,00065292,00067108,00058508,00064694,00063132,00067310,00066500,00063102,00068810
00000015,00078401,00066971,00096666,00063731,0.92,2.59,00063227,00064835,00059486,00063784,00063826,00065870,00064891,00062648,00064186,00063817,00065604,00063155,00063559,00066024,00064470,00062473,00060762,00062947,00061767,00062352,00061023,00065292,00067108,00058508,00063061,00062094,00066765,00066500,00063102,00068810
00000016,00078452,00067171,00096196,00063206,0.91,2.58,00063227,00064835,00056342,00063784,00063826,00061908,00064590,00062648,00063176,00063817,00065604,00062657,00061958,00066024,00061816,00062473,00060762,00061299,00061767,00062352,00061023,00065292,00067108,00058508,00063061,00062094,00066379,00066500,00063102,00068277
00000017,00078252,00066924,00096800,00062634,0.91,2.58,00062188,00061752,00056342,00063784,00063826,00061908,00064590,00060125,00059803,00063817,00063193,00060011,00060671,00066024,00061816,00062473,00060762,00061299,00061767,00062352,00061023,00065195,00067108,00058508,00063061,00062094,00066379,00066500,00062383,00068277
00000018,00078041,00067159,00097176,00062500,0.91,2.58,00062188,00061752,00056342,00063784,00063826,00061908,00064590,00060125,00059803,00063817,00063193,00060011,00060671,00064924,00061816,00062473,00060762,00061299,00060616,00062352,00061023,00065195,00067108,00058508,00063061,00062094,00064707,00066500,00062383,00068180
00000019,00078068,00066756,00096380,00062282,0.91,2.57,00062188,00061752,00056342,00063784,00061971,00061908,00064590,00060125,00059803,00063817,00063193,00060011,00060671,00064924,00061800,00062473,00060762,00061158,00060616,00062352,00061023,00064094,00065352,00058508,00063061,00062094,00064707,00066500,00061834,00067062
