iteration,mean,best,worst,bsf,div,branch,mean_0,mean_1,mean_2,mean_3,mean_4,mean_5,mean_6,mean_7,mean_8,mean_9,mean_10,mean_11,mean_12,mean_13,mean_14,mean_15,mean_16,mean_17,mean_18,mean_19,mean_20,mean_21,mean_22,mean_23,mean_24,mean_25,mean_26,mean_27,mean_28,mean_29
00000001,00078053,00068398,00090895,00068355,0.92,0.78,00067739,00067763,00068196,00071229,00071842,00067824,00066640,00068194,00065464,00065636,00068896,00069538,00069731,00067969,00069774,00064858,00066606,00066542,00068111,00063772,00069693,00068968,00067442,00071133,00069754,00069533,00068335,00068644,00069338,00071503
00000002,00074586,00065677,00086895,00065538,0.87,0.63,00067361,00064574,00065738,00071229,00069889,00063375,00062122,00064672,00064537,00064481,00066849,00065035,00066033,00065878,00069774,00063294,00064559,00062566,00064756,00062950,00064246,00066797,00065125,00065941,00064639,00066570,00064245,00061893,00068393,00068637
00000003,00069590,00064057,00080810,00064033,0.63,0.55,00066211,00064442,00064583,00068002,00065071,00061516,00061140,00063529,00063654,00063298,00065759,00064414,00062592,00065434,00067631,00062255,00061854,00061055,00064439,00061251,00064246,00066198,00062000,00065941,00064639,00063595,00063279,00059012,00066001,00067950
00000004,00067213,00063585,00077531,00063584,0.45,0.57,00064795,00064442,00064396,00067174,00065071,00060673,00061140,00063038,00063654,00063298,00065728,00063834,00062250,00065434,00065429,00062050,00061854,00060949,00064100,00061002,00063583,00065919,00061901,00065828,00062870,00062313,00063279,00059012,00064898,00067634
00000005,00066730,00062952,00077666,00062943,0.45,0.58,00064217,00063827,00062397,00066822,00065071,00060673,00061140,00062731,00063654,00063298,00064541,00062364,00062040,00063804,00065167,00061536,00061317,00060949,00063225,00060096,00063583,00065759,00061862,00065828,00060145,00061953,00061131,00058253,00063327,00067599
00000006,00065985,00062568,00077845,00062533,0.43,0.58,00063035,00062304,00061366,00066761,00065071,00060673,00061140,00062731,00063410,00063298,00064541,00061586,00062040,00063804,00063602,00061536,00060268,00060777,00062412,00060096,00063293,00065421,00061314,00065809,00060145,00060858,00061131,00058253,00062046,00067282
00000007,00065997,00062170,00078183,00062170,0.44,0.58,00062572,00061725,00061366,00066761,00064410,00060673,00061140,00062638,00063064,00063083,00064466,00060743,00062040,00061786,00062115,00061274,00060268,00060777,00062412,00060096,00063293,00064907,00061314,00065809,00060145,00059830,00059222,00058253,00061638,00067282
00000008,00065844,00061819,00077102,00061818,0.42,0.57,00062572,00061297,00061366,00066633,00063147,00060673,00061140,00062638,00063050,00062937,00062404,00060280,00062040,00061429,00062097,00060344,00059680,00060777,00062412,00058207,00062123,00064791,00061022,00065628,00059645,00059830,00059222,00058253,00061638,00067282
00000009,00065582,00061598,00077056,00061587,0.42,0.57,00062018,00060963,00061366,00066484,00063147,00060673,00060633,00062638,00063050,00062937,00060729,00060280,00062040,00061429,00061504,00060344,00059317,00060777,00062412,00058207,00061052,00063626,00061022,00065333,00059596,00059830,00059222,00058253,00061475,00067282
00000010,00065483,00061314,00077060,00061313,0.41,0.57,00062018,00059256,00061171,00065677,00063147,00059611,00060633,00062560,00063050,00062053,00059786,00060280,00062040,00061429,00060957,00060344,00059317,00060777,00062412,00058207,00061052,00062200,00061022,00065333,00059596,00059830,00059222,00058082,00061067,00067282
00000011,00070154,00065271,00082829,00061198,0.43,0.58,00062018,00059256,00061171,00065677,00063147,00059611,00059025,00062560,00063050,00062053,00059786,00060280,00062040,00061429,00060957,00060344,00059317,00060777,00062412,00058207,00061052,00062200,00061022,00065333,00059596,00059830,00059222,00058082,00061067,00065444
00000012,00071553,00065125,00081258,00064103,0.60,0.63,00067438,00062600,00063183,00068449,00065759,00067049,00059025,00063199,00069517,00066077,00061440,00065693,00062291,00063931,00060218,00062371,00064136,00065174,00067000,00059857,00063303,00065332,00062607,00070442,00065969,00058450,00060292,00060620,00066234,00065444
00000013,00069689,00064118,00080115,00063560,0.56,0.60,00067438,00060878,00062170,00067208,00063374,00065898,00058781,00062792,00068554,00064846,00061440,00065180,00061498,00063931,00060218,00062037,00064136,00065174,00067000,00058731,00063303,00065332,00061883,00069955,00065969,00058450,00060292,00060620,00064877,00064848
00000014,00068971,00063766,00079845,00063179,0.54,0.57,00067438,00060878,00061424,00067208,00062788,00064840,00058380,00062624,00066275,00063904,00061440,00065180,00060973,00062249,00060059,00062037,00064136,00065174,00067000,00058731,00063303,00065308,00061883,00067932,00065969,00057879,00060292,00060620,00064877,00064584
00000015,00068903,00063313,00080027,00062768,0.54,0.58,00067395,00060878,00061424,00067208,00061597,00064652,00058380,00061789,00062785,00063640,00061440,00064336,00060973,00062249,00060059,00062037,00064136,00065109,00065892,00058731,00063303,00064777,00061883,00066345,00065969,00057486,00060292,00060188,00063529,00064584
00000016,00068274,00063135,00078792,00062527,0.51,0.58,00066496,00060878,00061424,00067189,00060723,00064652,00058380,00061618,00062785,00063411,00061440,00061713,00060973,00062249,00059926,00061095,00064136,00064580,00065892,00058484,00063303,00064777,00061883,00066084,00065969,00057165,00060292,00060188,00063529,00064584
00000017,00068000,00062849,00079656,00062358,0.50,0.57,00065736,00060878,00061291,00066980,00059704,00064652,00058380,00061618,00062280,00063411,00061440,00061713,00060973,00062249,00059926,00060548,00064136,00064580,00065892,00058484,00063303,00063675,00061883,00066084,00065969,00057093,00059825,00059961,00063529,00064547
00000018,00067546,00062673,00079105,00062062,0.50,0.57,00064980,00060878,00060555,00066220,00058026,00064440,00058380,00061618,00061658,00063411,00061440,00061713,00060973,00062249,00059926,00060548,00064136,00063346,00065418,00058484,00063303,00062468,00061714,00065739,00065969,00057093,00059825,00059961,00063529,00063861
00000019,00067558,00062442,00079982,00061846,0.48,0.57,00064356,00060459,00060555,00065755,00058026,00064187,00058380,00061618,00061507,00063048,00061440,00061713,00060965,00062005,00059926,00060509,00064136,00062222,00065418,00058484,00063303,00062468,00060674,00065739,00065969,00057093,00058831,00059886,00062871,00063861
00000020,00067520,00062226,00079050,00061674,0.51,0.57,00064356,00060459,00060555,00064826,00058026,00063965,00058380,00061618,00061507,00061999,00061440,00061713,00060965,00062005,00059926,00060092,00064136,00062222,00065418,00058247,00063189,00062468,00060674,00064617,00065969,00057093,00057869,00059779,00062871,00063861
00000021,00067269,00062018,00079495,00061468,0.49,0.57,00063139,00060459,00058157,00064826,00058026,00063965,00058380,00061618,00061507,00061636,00060995,00061713,00060842,00062005,00059926,00060092,00064136,00061777,00065182,00058247,00062510,00062468,00060674,00064617,00065969,00057093,00057869,00059494,00062871,00063861
00000022,00070172,00064847,00082690,00061265,0.50,0.56,00063139,00060459,00058157,00064826,00058026,00061020,00058380,00061618,00061507,00061636,00060995,00061713,00060842,00060357,00059926,00060092,00064136,00061730,00065182,00058247,00062510,00061029,00060674,00064617,00065969,00057093,00057869,00059494,00062871,00063861
00000023,00070560,00064240,00081008,00063403,0.64,0.61,00064612,00061594,00064052,00068508,00057753,00060195,00059403,00064080,00064735,00065642,00064404,00063110,00064977,00059611,00062965,00068078,00063960,00061194,00064325,00059962,00063262,00061029,00065831,00068841,00060063,00065851,00065312,00060887,00062791,00065084
00000024,00069053,00063349,00079601,00062653,0.57,0.58,00064376,00061594,00063558,00066115,00057753,00058426,00059403,00064080,00063989,00065642,00062099,00063110,00064977,00058784,00061963,00068078,00062233,00060870,00062087,00059674,00062733,00060857,00064807,00068841,00060063,00065851,00061205,00060887,00060889,00064666
00000025,00068195,00062713,00080237,00062157,0.57,0.54,00062884,00061594,00062809,00065367,00057753,00058225,00059050,00063639,00062406,00065642,00062099,00063110,00064977,00058784,00061825,00068078,00061465,00060870,00061589,00059473,00061941,00060857,00062549,00068841,00060063,00063950,00060037,00060887,00060136,00063818
00000026,00067075,00062007,00079174,00061770,0.51,0.54,00062884,00061594,00062468,00064681,00057422,00057784,00059050,00063639,00061579,00063300,00061381,00063004,00064977,00058729,00061462,00065101,00061465,00059869,00061589,00059473,00060927,00060678,00062549,00068841,00060063,00063734,00060037,00060887,00060136,00063818
00000027,00066798,00061507,00079538,00061328,0.52,0.53,00061191,00061594,00062468,00064262,00056765,00057784,00058687,00063639,00061191,00061599,00061381,00063004,00064977,00058729,00060117,00064307,00061465,00059492,00061199,00059473,00060927,00060678,00062549,00068841,00060063,00061960,00060037,00058323,00059320,00063818
00000028,00066398,00061300,00078619,00061204,0.51,0.53,00060827,00061096,00062468,00064262,00056765,00057784,00058687,00063639,00061191,00061599,00061242,00063004,00064977,00058729,00060117,00064307,00061465,00059492,00061199,00059473,00059403,00060678,00062549,00068841,00060063,00061271,00059856,00057999,00059320,00063818
00000029,00066052,00061062,00077645,00060938,0.47,0.56,00059425,00060351,00062449,00062666,00056765,00057784,00058687,00063139,00061191,00061599,00061242,00062604,00064977,00058729,00060117,00063810,00061465,00059492,00060838,00059473,00059403,00060678,00062549,00068841,00057976,00060919,00059856,00057999,00059320,00063818
00000030,00065897,00061004,00076771,00060757,0.48,0.56,00058248,00060351,00060921,00062666,00056765,00057784,00058236,00062971,00061191,00061599,00061242,00062604,00064977,00058493,00060117,00063810,00061465,00059492,00060838,00059473,00059403,00059968,00062549,00068841,00057976,00060055,00059856,00057999,00059320,00063516
00000031,00065616,00060890,00076592,00060666,0.49,0.56,00058248,00060351,00060523,00062518,00056765,00057654,00058236,00062827,00061037,00061599,00061242,00061865,00064977,00058493,00059803,00063810,00061465,00059492,00060838,00059473,00059403,00059968,00062549,00068841,00057560,00059776,00059856,00057999,00059320,00063516
00000032,00065711,00060837,00076324,00060586,0.51,0.56,00056899,00060351,00060481,00061962,00056765,00057654,00058236,00062827,00061037,00061599,00061242,00061865,00064977,00058493,00059803,00063810,00061252,00059492,00060838,00059473,00059403,00059968,00062295,00068841,00057560,00059776,00059856,00057999,00059320,00063516
00000033,00069547,00064413,00082277,00060511,0.50,0.55,00056899,00060351,00060481,00061962,00056765,00057654,00058236,00062827,00061037,00061599,00061242,00061865,00064977,00058493,00059803,00063810,00061252,00058931,00060838,00059473,00059403,00059968,00062295,00068841,00057560,00059776,00059856,00057999,00059320,00061822
00000034,00070015,00062797,00081054,00062473,0.64,0.57,00058544,00063242,00063868,00065216,00061515,00058942,00058916,00067858,00060104,00062562,00066804,00064313,00063999,00064457,00062988,00067597,00062703,00058931,00064668,00060919,00066613,00062123,00065467,00065480,00057903,00060738,00059656,00056617,00059650,00061822
00000035,00067385,00062072,00078041,00061704,0.57,0.55,00058103,00060641,00062385,00062341,00061515,00058942,00058916,00065193,00060104,00062549,00065132,00063628,00063999,00063729,00061403,00067394,00061387,00058642,00064668,00060294,00063019,00061837,00063606,00065480,00057903,00060618,00059656,00056590,00059650,00061822
00000036,00067213,00061729,00077852,00061373,0.53,0.53,00058103,00060641,00062246,00061695,00061515,00058012,00058916,00065193,00059666,00062549,00062630,00063628,00063999,00063729,00061403,00065627,00060407,00058642,00064668,00060294,00061418,00061782,00063606,00065480,00057903,00059733,00059656,00056590,00059650,00061822
00000037,00066591,00061178,00078332,00060744,0.51,0.55,00057142,00060138,00061807,00059346,00061515,00058012,00058916,00062374,00059599,00062549,00061901,00063628,00063999,00063615,00060495,00062880,00058963,00058642,00063292,00060294,00060594,00061032,00061746,00065480,00057903,00058931,00059656,00056590,00059485,00061822
00000038,00066393,00061032,00078695,00060621,0.53,0.55,00057142,00060138,00061484,00059281,00061515,00058012,00058666,00061110,00059161,00062549,00061699,00063628,00063999,00063268,00060385,00062880,00058718,00058642,00063292,00060101,00060594,00060777,00061746,00065480,00057903,00058931,00059656,00056590,00059485,00061817
00000039,00066316,00060783,00078893,00060436,0.51,0.54,00057142,00060138,00061175,00059281,00061513,00058012,00058666,00061110,00059161,00060128,00061699,00063628,00063999,00062137,00060385,00062880,00057759,00058642,00063292,00060101,00060594,00060777,00061746,00065480,00057427,00058907,00059656,00056590,00059485,00061599
00000040,00065616,00060498,00077800,00060211,0.50,0.54,00057142,00060138,00060808,00059281,00061513,00058012,00057778,00061110,00059161,00060128,00061699,00063628,00063999,00062137,00060385,00062880,00057759,00057860,00063048,00060101,00060594,00060777,00061746,00065480,00057427,00058124,00059656,00056104,00058519,00059361
00000041,00065452,00060391,00077719,00060081,0.49,0.54,00056989,00060138,00060808,00058993,00060515,00058012,00057778,00061110,00059161,00059019,00061699,00063628,00063999,00062137,00060385,00062235,00057759,00057860,00063048,00060101,00060594,00060777,00061567,00065480,00057427,00057659,00059656,00056104,00058519,00059301
00000042,00065636,00060166,00076836,00059878,0.51,0.54,00056989,00060138,00060808,00058993,00060515,00058012,00057778,00061110,00059161,00058665,00060998,00061897,00063999,00062137,00060385,00062235,00057759,00057860,00063048,00060072,00060594,00060777,00059850,00065480,00057403,00056762,00059656,00056104,00058161,00058998
