iteration,mean,best,worst,bsf,div,branch,mean_0,mean_1,mean_2,mean_3,mean_4,mean_5,mean_6,mean_7,mean_8,mean_9,mean_10,mean_11,mean_12,mean_13,mean_14,mean_15,mean_16,mean_17,mean_18,mean_19,mean_20,mean_21,mean_22,mean_23,mean_24,mean_25,mean_26,mean_27,mean_28,mean_29
00000001,00144598,00128034,00167578,00125720,0.96,1.08,00120528,00136511,00127684,00127933,00130118,00128214,00127240,00127005,00121071,00129667,00119585,00123313,00122876,00129968,00123064,00123209,00127133,00118752,00125084,00123611,00125853,00125332,00118875,00123884,00122863,00133075,00129430,00127453,00124237,00128049
00000002,00143998,00128024,00168072,00124147,0.96,1.45,00120528,00129432,00127684,00127933,00130118,00122347,00122682,00127005,00121071,00124865,00119585,00119175,00122876,00124208,00120797,00123209,00121573,00118752,00125084,00123611,00125853,00124612,00118875,00123884,00122863,00130857,00128971,00126056,00124237,00125683
00000003,00144092,00127733,00167527,00123310,0.96,1.69,00120528,00129432,00121930,00127630,00128659,00122347,00119435,00127005,00121071,00124865,00119585,00119175,00122876,00120349,00120797,00123209,00121573,00118752,00125084,00123611,00123859,00122686,00118875,00123884,00119211,00130857,00128971,00123449,00123913,00125683
00000004,00143381,00127244,00166343,00122551,0.96,1.88,00120528,00127222,00121930,00127630,00128449,00117361,00119435,00123045,00121071,00124865,00119042,00119175,00122403,00120349,00120797,00123209,00121573,00118752,00120063,00123611,00123859,00122686,00118875,00123884,00119211,00129412,00128340,00121642,00122438,00125683
00000005,00143336,00126922,00164815,00122108,0.96,2.03,00120528,00125436,00121930,00127630,00126960,00117361,00119435,00123045,00121071,00123761,00119042,00119175,00122403,00120349,00120797,00123209,00121573,00118752,00119218,00122993,00123859,00122686,00118875,00123884,00119211,00129412,00128340,00121642,00122438,00118225
00000006,00143211,00127290,00164517,00121567,0.96,2.15,00119788,00125436,00117811,00127630,00126379,00117361,00119435,00123045,00121071,00123761,00119042,00119175,00117723,00120349,00120797,00123209,00118024,00118752,00119218,00122993,00123217,00122686,00118875,00121985,00119211,00129412,00128340,00121642,00122438,00118225
00000007,00142872,00127248,00166202,00120888,0.96,2.24,00119788,00125436,00117811,00127630,00126379,00117361,00113943,00123045,00121071,00122694,00119042,00119175,00117723,00120349,00120797,00123209,00118024,00118752,00119218,00122993,00123217,00122686,00118875,00121985,00117696,00122167,00128340,00120270,00118766,00118225
00000008,00142679,00126606,00164193,00120602,0.96,2.31,00119788,00125436,00117811,00127630,00126379,00117361,00113943,00123045,00121071,00122694,00118936,00119175,00117723,00120349,00120797,00123209,00118024,00118752,00119218,00122993,00123217,00120258,00118875,00115932,00117696,00122167,00128340,00120270,00118766,00118225
00000009,00142790,00127184,00165750,00120524,0.95,2.37,00119788,00125436,00117811,00125921,00126379,00117361,00113943,00123045,00121071,00122694,00118936,00119175,00117723,00120349,00120797,00123209,00118024,00118752,00119218,00122993,00123217,00120258,00118875,00115932,00117696,00122167,00127701,00120270,00118766,00118225
00000010,00142613,00126704,00166939,00119988,0.95,2.37,00118898,00125436,00117811,00125700,00122778,00117361,00113943,00123045,00121071,00122694,00118936,00114974,00117723,00119610,00120797,00123209,00118024,00118752,00119218,00122581,00123217,00120258,00112865,00115932,00117696,00122167,00127701,00120270,00118766,00118225
