iteration,mean,best,worst,bsf,div,branch,mean_0,mean_1,mean_2,mean_3,mean_4,mean_5,mean_6,mean_7,mean_8,mean_9,mean_10,mean_11,mean_12,mean_13,mean_14,mean_15,mean_16,mean_17,mean_18,mean_19,mean_20,mean_21,mean_22,mean_23,mean_24,mean_25,mean_26,mean_27,mean_28,mean_29
00000001,00031172,00027360,00036468,00027302,0.95,0.79,00028240,00026957,00026768,00027273,00025653,00026215,00026557,00027309,00027255,00026391,00027974,00028289,00027659,00026600,00026342,00027220,00027053,00027587,00027335,00028744,00025643,00028971,00028211,00028051,00027302,00027852,00027891,00026650,00027391,00027697
00000002,00029635,00026222,00034841,00026199,0.88,0.63,00027008,00025898,00025704,00026363,00024975,00025379,00025716,00026608,00025706,00025698,00026048,00026538,00027659,00026369,00025291,00025996,00026943,00026958,00026560,00026740,00025643,00026263,00027097,00026170,00026126,00026242,00025096,00025580,00026782,00026821
00000003,00028035,00025714,00033120,00025713,0.68,0.56,00025829,00025748,00025596,00025877,00024975,00024988,00025716,00026110,00025637,00025262,00025895,00026092,00026803,00026021,00024699,00025483,00026142,00026225,00025839,00026360,00025395,00026251,00026556,00025254,00025576,00025964,00025096,00024022,00025819,00026176
00000004,00026826,00025524,00031299,00025524,0.46,0.59,00025494,00025748,00025450,00025877,00024975,00024988,00025621,00025897,00025495,00025029,00024803,00025898,00026693,00025484,00024699,00025186,00026142,00025952,00025443,00026301,00025342,00026228,00025999,00024919,00025515,00025834,00024904,00023932,00025699,00026176
00000005,00026358,00025357,00031412,00025356,0.35,0.61,00025258,00025748,00025450,00025550,00024512,00024988,00025501,00025608,00025495,00025029,00024803,00025898,00025333,00025484,00024699,00025186,00026016,00025357,00025295,00026179,00025271,00026228,00025876,00024858,00025318,00025738,00024904,00023918,00025033,00026176
00000006,00026255,00025229,00030693,00025227,0.33,0.62,00025251,00025420,00025304,00025198,00024512,00024809,00025501,00025608,00025349,00024913,00024400,00025898,00025070,00025484,00024699,00025186,00025861,00025236,00024620,00026052,00025191,00026228,00025876,00024858,00025318,00025673,00024904,00023530,00024951,00025934
00000007,00026214,00025115,00030697,00025112,0.37,0.62,00025048,00025367,00024994,00024865,00024512,00024809,00025251,00025563,00025286,00024775,00024254,00025789,00024705,00024815,00024620,00025186,00025861,00025222,00024577,00026012,00025191,00025873,00025865,00024858,00025318,00025673,00024904,00023530,00024749,00025892
00000008,00026197,00025030,00031662,00025030,0.40,0.61,00024956,00025367,00024994,00024760,00024333,00024767,00025251,00025557,00025286,00024511,00023679,00025789,00024705,00024815,00024468,00025091,00025861,00025077,00024477,00025775,00025138,00025873,00025808,00024858,00025318,00025568,00024904,00023522,00024749,00025650
00000009,00026173,00024915,00031277,00024900,0.42,0.61,00024726,00025146,00024573,00024760,00024333,00024592,00025251,00025557,00024860,00024449,00023679,00025789,00024486,00024733,00024468,00025091,00025861,00025077,00023928,00024751,00025138,00025873,00025740,00024752,00025112,00025568,00024904,00023522,00024647,00025650
00000010,00026088,00024810,00030953,00024806,0.40,0.59,00024674,00024922,00024573,00024557,00024333,00024592,00025226,00025529,00024755,00024028,00023596,00025789,00024399,00024684,00024205,00025003,00025236,00024986,00023928,00024751,00025014,00025853,00025397,00024752,00025112,00025568,00024904,00023522,00024647,00025650
00000011,00028261,00026751,00033775,00024806,0.42,0.59,00024674,00024922,00024573,00024557,00024333,00024592,00025226,00025529,00024755,00024028,00023596,00025789,00024399,00024684,00024205,00025003,00025236,00024986,00023928,00024751,00025014,00025853,00025397,00024752,00025112,00025568,00024904,00023522,00024647,00025650
00000012,00028849,00026146,00033823,00026061,0.68,0.60,00025108,00025519,00025642,00026207,00026064,00025024,00026671,00026313,00025557,00027095,00027774,00029239,00025813,00026663,00026534,00025719,00026187,00026664,00025926,00025375,00024811,00025275,00025864,00025563,00026199,00026574,00027088,00024572,00025150,00025663
00000013,00027988,00025655,00033137,00025604,0.59,0.56,00024855,00025011,00025642,00026019,00025477,00025024,00025914,00026070,00025438,00026149,00026500,00028131,00025680,00026005,00026534,00024564,00026187,00025706,00025926,00024985,00024709,00025023,00025569,00025329,00025786,00025485,00026289,00024409,00024601,00025107
