iteration,mean,best,worst,bsf,div,branch,mean_0,mean_1,mean_2,mean_3,mean_4,mean_5,mean_6,mean_7,mean_8,mean_9,mean_10,mean_11,mean_12,mean_13,mean_14,mean_15,mean_16,mean_17,mean_18,mean_19,mean_20,mean_21,mean_22,mean_23,mean_24,mean_25,mean_26,mean_27,mean_28,mean_29
00000001,00047600,00042841,00056045,00042124,0.97,1.10,00043576,00041307,00041834,00044854,00042769,00041794,00043369,00042488,00042407,00040521,00042631,00040281,00040088,00041022,00042439,00043531,00042501,00041946,00043453,00040691,00043466,00041686,00041672,00041745,00041427,00042378,00041358,00042504,00043082,00040925
00000002,00047579,00042731,00055241,00041575,0.97,1.46,00040484,00041307,00041834,00042802,00041614,00041251,00041703,00042488,00042407,00040521,00041726,00040281,00040088,00041022,00042277,00042858,00041376,00041946,00042266,00040691,00043466,00041686,00041672,00041745,00041427,00042167,00041358,00041717,00040155,00040925
00000003,00047453,00042552,00055871,00040813,0.97,1.72,00040484,00039436,00040468,00041498,00041614,00040504,00040545,00039590,00042407,00040521,00041726,00040281,00040088,00041022,00042006,00041576,00040245,00039404,00042266,00040691,00040979,00040351,00040298,00041745,00041427,00040251,00041358,00040558,00040155,00040925
00000004,00047553,00042605,00056008,00040755,0.97,1.89,00040484,00039436,00040468,00041498,00041614,00040504,00040545,00039590,00042407,00040521,00041726,00040281,00040088,00040834,00042006,00041576,00040245,00039082,00041970,00040691,00040979,00040351,00040298,00041745,00041427,00040251,00041358,00040515,00040155,00040026
00000005,00047364,00042443,00055605,00040563,0.97,2.04,00040484,00039436,00040454,00041498,00041614,00040504,00040545,00039590,00042407,00040521,00040501,00040281,00040088,00039589,00042006,00041576,00040129,00039082,00041839,00040691,00040979,00040351,00040298,00039664,00040458,00040251,00041358,00040515,00040155,00040026
00000006,00047434,00042551,00055215,00040445,0.97,2.15,00040484,00039436,00040454,00041498,00041614,00040504,00039739,00039590,00040828,00040521,00040501,00040281,00040088,00039589,00041806,00041119,00040129,00039082,00041839,00040507,00040979,00040351,00040002,00039664,00040458,00040251,00041357,00040515,00040155,00040026
00000007,00047255,00042653,00055286,00040368,0.97,2.23,00040484,00039436,00040454,00041172,00041614,00040504,00039739,00039590,00039732,00039899,00040245,00040281,00040088,00039589,00041806,00041119,00040129,00039082,00041839,00040507,00040979,00040351,00040002,00039664,00040458,00040251,00041357,00040515,00040155,00040026
00000008,00047262,00042346,00055301,00040364,0.97,2.29,00040484,00039436,00040454,00041172,00041614,00040480,00039739,00039590,00039732,00039899,00040245,00040171,00040088,00039589,00041806,00041119,00040129,00039082,00041839,00040507,00040979,00040351,00040002,00039664,00040458,00040251,00041357,00040515,00040155,00040026
00000009,00047117,00042599,00055029,00040274,0.97,2.30,00040484,00039436,00040454,00041172,00041614,00040480,00039739,00039590,00039732,00039899,00039555,00038720,00040088,00039589,00041806,00041119,00040129,00039082,00041839,00040507,00040979,00040351,00039433,00039664,00040458,00040251,00041357,00040515,00040155,00040026
00000010,00047100,00042478,00054839,00040216,0.97,2.31,00040484,00039399,00040454,00041172,00040473,00039918,00039739,00039590,00039732,00039899,00039555,00038720,00040088,00039589,00041806,00041119,00040129,00039082,00041839,00040507,00040979,00040351,00039433,00039664,00040458,00040251,00041357,00040515,00040155,00040026
00000011,00047211,00042578,00056145,00040216,0.97,2.27,00040484,00039399,00040454,00041172,00040473,00039918,00039739,00039590,00039732,00039899,00039555,00038720,00040088,00039589,00041806,00041119,00040129,00039082,00041839,00040507,00040979,00040351,00039433,00039664,00040458,00040251,00041357,00040515,00040155,00040026
00000012,00047230,00042635,00055216,00040176,0.97,2.25,00040484,00039399,00040454,00041172,00040473,00039918,00039739,00039590,00039732,00039899,00039555,00038720,00040088,00039589,00041806,00041119,00040129,00039082,00041839,00040507,00040979,00040348,00039433,00039664,00040458,00040251,00040933,00039765,00040155,00040026
00000013,00046998,00042198,00054995,00040068,0.97,2.25,00039606,00039399,00040454,00041172,00040473,00039918,00039739,00039590,00039732,00039899,00039555,00038720,00040088,00039135,00041081,00041119,00039905,00039082,00041839,00040507,00040979,00040348,00039433,00039664,00040458,00039274,00040933,00039765,00040155,00040026
00000014,00046951,00042297,00055136,00040026,0.97,2.27,00039606,00039399,00040301,00041172,00040473,00039918,00039739,00039590,00039732,00039899,00039555,00038720,00040088,00039135,00041081,00041119,00039905,00039082,00041839,00040507,00040979,00039339,00039433,00039664,00040458,00039274,00040856,00039765,00040155,00040026
