iteration,mean,best,worst,bsf,div,branch,mean_0,mean_1,mean_2,mean_3,mean_4,mean_5,mean_6,mean_7,mean_8,mean_9,mean_10,mean_11,mean_12,mean_13,mean_14,mean_15,mean_16,mean_17,mean_18,mean_19,mean_20,mean_21,mean_22,mean_23,mean_24,mean_25,mean_26,mean_27,mean_28,mean_29
00000001,00038625,00033224,00047017,00033204,0.95,0.81,00032379,00031582,00033708,00033481,00034294,00032116,00032647,00033350,00033806,00031522,00034105,00032025,00032866,00032714,00033839,00033466,00033424,00031692,00033268,00032648,00033550,00034519,00034153,00034230,00033168,00034069,00034203,00033089,00033874,00032347
00000002,00036840,00031638,00044827,00031602,0.90,0.67,00030381,00030230,00032297,00031483,00031404,00030967,00031854,00031599,00032318,00029523,00032799,00031211,00030672,00029768,00032578,00033020,00031917,00030478,00029475,00030464,00031741,00032564,00033596,00032118,00031327,00032665,00032908,00031933,00033259,00031517
00000003,00034316,00030767,00041495,00030745,0.75,0.56,00030381,00029032,00031303,00030997,00030643,00030754,00030086,00030214,00031880,00029523,00032210,00030198,00029074,00029721,00030958,00030787,00029806,00029784,00029300,00029774,00030441,00032012,00032495,00031733,00030607,00032665,00031386,00031549,00032327,00030735
00000004,00032612,00030398,00039812,00030372,0.48,0.57,00030097,00028605,00031303,00030997,00030139,00030423,00029722,00029936,00031880,00029451,00032210,00030116,00029074,00029478,00030783,00030747,00029554,00029347,00029140,00028775,00030030,00031293,00031533,00031489,00030185,00031092,00030608,00031167,00032327,00029675
00000005,00032219,00030103,00039447,00030103,0.44,0.58,00029844,00028605,00030141,00030465,00029767,00030423,00029510,00029107,00031880,00029451,00032207,00029929,00029074,00029478,00030754,00030747,00028730,00029316,00029140,00028552,00029901,00030687,00030718,00031391,00029474,00031092,00030564,00031167,00031541,00029444
00000006,00031471,00029827,00039531,00029827,0.40,0.58,00029844,00028559,00030141,00030432,00029364,00029652,00028997,00028786,00030597,00029451,00031981,00029598,00029022,00029399,00030660,00030165,00028730,00028636,00029140,00028428,00029801,00030687,00030718,00030870,00029389,00030183,00029948,00030983,00031541,00029116
00000007,00031240,00029676,00038700,00029676,0.37,0.57,00029844,00028559,00030141,00030427,00029075,00029652,00028997,00028444,00030597,00029451,00031804,00029330,00029022,00029387,00030491,00029674,00028730,00028636,00029140,00028428,00029712,00030436,00030718,00030742,00028222,00030183,00029948,00030559,00030952,00028985
00000008,00031123,00029597,00038823,00029597,0.37,0.58,00029844,00028559,00030008,00030199,00029075,00029649,00028805,00028444,00030597,00029451,00031804,00029227,00029022,00029387,00030491,00029674,00028730,00028636,00028781,00028428,00029573,00030436,00030322,00030742,00028222,00030183,00029784,00030559,00030673,00028606
00000009,00031116,00029475,00038257,00029475,0.37,0.59,00029844,00028559,00030008,00029718,00029075,00029649,00028732,00028444,00030597,00029451,00031658,00029227,00028123,00029387,00030491,00029634,00028419,00028636,00028581,00028247,00029495,00030436,00030322,00030742,00028222,00029829,00029784,00029910,00030433,00028606
00000010,00031040,00029389,00038451,00029389,0.37,0.58,00029844,00028559,00030008,00029718,00029075,00029649,00028732,00028444,00030547,00029451,00031245,00029227,00028123,00029387,00030007,00029634,00028419,00028623,00028581,00028247,00029154,00030375,00030322,00030742,00028222,00029829,00029249,00029220,00030433,00028606
00000011,00030980,00029349,00038325,00029348,0.36,0.59,00029804,00028559,00030008,00029515,00029075,00029649,00028732,00028444,00030547,00029355,00030841,00029227,00028123,00029387,00030007,00029634,00028419,00028623,00028581,00028138,00029154,00030375,00030301,00030709,00028222,00029829,00029249,00029017,00030399,00028541
