iteration,mean,best,worst,bsf,div,branch,mean_0,mean_1,mean_2,mean_3,mean_4,mean_5,mean_6,mean_7,mean_8,mean_9,mean_10,mean_11,mean_12,mean_13,mean_14,mean_15,mean_16,mean_17,mean_18,mean_19,mean_20,mean_21,mean_22,mean_23,mean_24,mean_25,mean_26,mean_27,mean_28,mean_29
00000001,00032073,00028682,00037613,00027991,0.96,1.08,00028746,00027975,00027652,00027804,00026976,00025330,00028212,00027916,00027996,00028269,00028576,00028223,00027879,00027163,00027411,00028486,00028397,00027483,00028216,00027745,00028488,00027562,00028539,00028613,00029704,00028168,00029506,00027711,00028122,00026883
00000002,00032037,00028755,00037213,00027584,0.96,1.41,00027726,00027975,00025969,00027804,00026976,00025330,00027322,00027916,00026544,00027165,00028191,00027881,00027879,00027109,00027411,00028210,00027492,00027483,00028216,00026809,00027999,00027562,00027917,00027794,00028716,00028168,00029506,00027556,00028122,00026800
00000003,00031915,00028556,00037134,00027433,0.96,1.62,00027239,00027731,00025969,00026702,00026976,00025330,00027319,00027916,00026544,00027165,00027996,00027865,00027681,00027109,00027411,00027215,00027492,00027483,00028216,00026809,00027999,00027562,00027917,00027794,00027985,00028168,00029506,00027556,00028122,00026217
00000004,00031881,00028565,00037232,00027255,0.96,1.79,00027239,00027731,00025969,00026702,00026976,00025330,00026327,00027916,00026544,00027165,00027996,00026769,00027079,00027109,00027411,00027215,00027492,00027483,00028077,00026809,00027999,00027191,00027917,00027767,00026979,00028168,00028427,00027542,00028122,00026217
00000005,00031872,00028432,00037434,00027036,0.96,1.92,00027239,00027731,00025969,00026702,00026976,00025330,00026327,00027916,00026495,00026226,00026748,00026769,00027079,00027109,00027353,00027215,00027228,00027431,00028077,00026400,00027999,00027191,00027917,00027318,00026979,00027360,00027084,00027427,00027291,00026217
00000006,00031925,00028619,00038026,00026932,0.96,2.02,00027239,00027731,00025969,00026702,00026976,00025330,00026327,00026490,00026495,00026226,00026748,00026769,00026628,00026286,00027353,00027215,00027228,00027431,00028077,00026400,00027566,00027191,00027917,00027318,00026979,00027360,00027084,00027427,00027291,00026217
00000007,00031767,00028522,00036802,00026874,0.96,2.12,00027239,00027731,00025969,00026702,00026976,00025330,00026327,00026490,00026495,00026226,00026748,00026769,00026628,00026286,00026469,00027215,00027228,00027431,00027682,00026400,00027566,00026850,00027917,00027318,00026979,00027360,00027084,00027321,00027291,00026217
00000008,00031836,00028423,00037360,00026874,0.96,2.22,00027239,00027731,00025969,00026702,00026976,00025330,00026327,00026490,00026495,00026226,00026737,00026769,00026628,00026286,00026469,00027215,00027228,00027431,00027682,00026400,00027566,00026850,00027917,00027318,00026979,00027360,00027084,00027321,00027291,00026217
00000009,00031752,00028236,00037777,00026846,0.96,2.28,00027239,00027731,00025969,00026702,00026976,00025330,00026327,00026490,00026495,00026226,00026401,00026769,00026628,00026286,00026469,00027215,00026736,00027431,00027682,00026400,00027566,00026850,00027917,00027318,00026979,00027360,00027084,00027321,00027291,00026217
00000010,00031689,00028451,00036880,00026791,0.96,2.32,00027239,00027731,00025969,00026702,00026976,00025330,00026327,00026490,00026495,00026226,00026401,00026769,00025726,00026286,00026469,00027215,00026736,00027431,00027359,00026400,00027566,00026850,00027917,00027318,00026979,00027360,00027084,00026879,00027291,00026217
00000011,00031641,00028267,00036753,00026733,0.94,2.42,00027239,00027731,00025969,00026702,00026976,00025330,00026327,00026490,00026155,00026226,00026401,00026769,00025726,00026286,00025706,00027215,00026736,00027431,00027359,00026400,00027566,00026850,00027917,00026691,00026979,00027360,00027084,00026879,00027291,00026217
00000012,00031691,00028229,00036988,00026642,0.94,2.43,00027239,00026095,00025969,00026702,00026976,00025330,00026327,00026490,00026155,00026226,00026401,00026769,00025726,00026286,00025706,00027215,00026736,00026810,00027359,00026400,00027465,00026850,00027917,00026691,00026979,00026988,00027084,00026879,00027291,00026217
00000013,00031624,00028222,00037411,00026638,0.94,2.43,00027239,00026095,00025969,00026702,00026976,00025330,00026327,00026490,00026155,00026226,00026401,00026769,00025726,00026286,00025706,00027215,00026736,00026810,00027359,00026400,00027465,00026850,00027917,00026582,00026979,00026988,00027084,00026879,00027291,00026217
00000014,00031653,00028174,00037361,00026616,0.94,2.39,00027239,00026095,00025969,00026702,00026976,00025330,00026327,00026490,00026155,00026226,00026401,00026769,00025726,00026286,00025706,00027111,00026736,00026582,00027359,00026400,00027465,00026850,00027561,00026582,00026979,00026988,00027084,00026879,00027291,00026217
00000015,00031490,00028318,00036708,00026598,0.94,2.34,00027239,00026095,00025969,00026702,00026976,00025330,00026327,00026490,00026155,00026226,00026401,00026769,00025726,00026286,00025706,00027111,00026736,00026582,00027359,00026400,00027465,00026850,00027561,00026582,00026979,00026988,00027084,00026351,00027291,00026217
00000016,00031579,00028358,00036817,00026560,0.94,2.30,00027239,00026095,00025969,00026702,00026976,00025330,00026256,00026490,00026155,00026226,00026401,00026769,00025726,00026286,00025706,00027111,00026736,00026582,00026281,00026400,00027465,00026850,00027561,00026582,00026979,00026988,00027084,00026351,00027291,00026217
00000017,00031430,00028087,00036830,00026524,0.94,2.26,00027239,00026095,00025870,00026702,00026976,00025330,00026104,00026490,00026155,00026226,00026401,00026769,00025726,00026286,00025706,00027111,00026736,00026582,00026281,00025942,00027116,00026850,00027561,00026582,00026979,00026988,00027084,00026351,00027291,00026217
00000018,00031555,00028258,00037149,00026456,0.94,2.25,00026201,00026095,00025870,00026702,00026976,00025330,00026104,00026490,00025573,00026226,00026401,00026769,00025726,00026286,00025706,00027111,00026736,00026582,00026281,00025942,00027116,00026850,00027561,00026582,00026979,00026988,00027084,00025932,00027291,00026217
00000019,00031439,00028163,00037003,00026438,0.94,2.26,00026201,00026095,00025870,00026702,00026577,00025330,00026104,00026490,00025573,00026226,00026401,00026769,00025726,00026286,00025706,00027111,00026736,00026582,00026281,00025942,00027116,00026850,00027561,00026443,00026979,00026988,00027084,00025932,00027291,00026217
00000020,00031411,00028051,00036777,00026419,0.94,2.27,00026201,00026095,00025870,00026702,00026577,00025330,00026104,00026490,00025573,00026226,00026401,00026569,00025726,00026286,00025706,00027111,00026736,00026582,00026281,00025942,00027116,00026850,00027190,00026443,00026979,00026988,00027084,00025932,00027291,00026217
00000021,00031471,00028144,00037004,00026386,0.94,2.27,00026201,00026095,00025870,00026702,00026577,00025330,00025305,00026490,00025573,00026226,00026401,00026569,00025726,00026286,00025515,00027111,00026736,00026582,00026281,00025942,00027116,00026850,00027190,00026443,00026979,00026988,00027084,00025932,00027291,00026217
00000022,00031297,00027870,00036811,00026338,0.93,2.30,00026201,00026095,00025870,00026702,00026575,00025330,00025305,00026242,00025573,00026226,00026401,00026379,00025726,00025980,00025515,00026913,00026736,00026582,00026281,00025942,00027116,00026832,00027190,00026443,00026979,00026786,00027084,00025932,00027291,00025925
00000023,00031332,00027849,00036826,00026310,0.93,2.32,00026201,00026095,00025870,00026702,00026575,00025330,00025305,00026242,00025573,00026226,00026401,00026276,00025726,00025980,00025515,00026913,00026667,00026395,00026281,00025942,00027116,00026832,00026704,00026443,00026979,00026786,00027084,00025932,00027291,00025925
00000024,00031320,00027960,00036806,00026239,0.93,2.33,00026201,00025653,00025870,00026702,00025988,00025330,00025305,00026242,00025573,00026226,00026401,00025386,00025726,00025980,00025515,00026913,00026667,00026395,00026281,00025942,00027116,00026637,00026704,00026443,00026979,00026786,00027084,00025932,00027291,00025925
00000025,00031329,00027446,00036588,00026220,0.93,2.34,00026201,00025653,00025870,00026702,00025988,00025330,00025305,00026242,00025573,00026226,00026401,00025386,00025726,00025980,00025515,00026913,00026667,00025807,00026281,00025942,00027116,00026637,00026704,00026443,00026979,00026786,00027084,00025932,00027291,00025925
00000026,00031367,00027715,00036675,00026205,0.93,2.33,00026201,00025653,00025417,00026702,00025988,00025330,00025305,00026242,00025573,00026226,00026401,00025386,00025726,00025980,00025515,00026913,00026667,00025807,00026281,00025942,00027116,00026637,00026704,00026443,00026979,00026786,00027084,00025932,00027291,00025925
00000027,00031204,00027836,00036507,00026195,0.93,2.32,00026201,00025653,00025417,00026702,00025988,00025330,00025305,00026242,00025573,00026226,00026266,00025386,00025726,00025980,00025515,00026913,00026667,00025807,00026281,00025942,00027116,00026637,00026704,00026443,00026979,00026786,00027084,00025932,00027291,00025759
00000028,00031276,00027855,00036595,00026144,0.93,2.31,00026201,00025653,00025417,00026702,00025988,00025330,00025215,00026242,00025566,00026226,00026266,00025386,00025726,00025980,00025515,00026913,00026667,00025807,00026281,00025849,00027116,00026637,00026704,00026443,00026979,00026718,00027084,00025932,00026023,00025759
00000029,00031128,00027763,00036253,00026056,0.93,2.30,00026201,00025653,00025417,00026702,00025988,00025330,00025215,00026242,00025566,00025936,00026266,00025386,00025726,00025980,00025515,00026913,00024903,00025807,00026281,00025849,00026809,00026637,00026704,00026443,00026979,00026718,00027084,00025662,00026023,00025759
00000030,00031216,00027716,00037082,00025989,0.93,2.30,00026201,00025653,00025417,00025791,00024896,00025330,00025215,00026242,00025566,00025936,00026266,00025386,00025726,00025980,00025515,00026913,00024903,00025807,00026281,00025849,00026809,00026637,00026704,00026443,00026979,00026718,00027084,00025662,00026023,00025759
00000031,00031217,00027706,00036626,00025980,0.93,2.30,00026201,00025653,00025417,00025791,00024896,00025330,00025215,00026242,00025566,00025936,00026266,00025386,00025726,00025980,00025515,00026913,00024903,00025807,00026281,00025849,00026809,00026637,00026704,00026443,00026979,00026436,00027084,00025662,00026023,00025759
00000032,00031060,00027770,00036096,00025960,0.93,2.30,00026201,00025653,00025417,00025791,00024896,00025330,00025215,00026242,00025547,00025936,00026266,00025386,00025726,00025980,00025515,00026913,00024903,00025807,00026281,00025595,00026809,00026637,00026704,00026443,00026652,00026436,00027084,00025662,00026023,00025759
00000033,00031096,00027930,00036619,00025885,0.93,2.29,00026201,00025653,00025417,00025791,00024896,00025330,00025215,00026242,00025547,00024307,00026266,00025386,00025726,00025980,00025515,00026655,00024903,00025807,00026281,00025595,00026809,00026281,00026704,00026443,00026652,00026436,00027084,00025662,00026023,00025759
00000034,00031002,00027545,00036423,00025830,0.93,2.29,00026201,00025653,00025417,00025791,00024896,00025330,00025215,00026242,00025547,00024307,00026266,00025386,00025726,00025980,00025515,00026655,00024903,00025807,00026281,00025595,00026806,00024879,00026704,00026190,00026652,00026436,00027084,00025662,00026023,00025759
