iteration,mean,best,worst,bsf,div,branch,mean_0,mean_1,mean_2,mean_3,mean_4,mean_5,mean_6,mean_7,mean_8,mean_9,mean_10,mean_11,mean_12,mean_13,mean_14,mean_15,mean_16,mean_17,mean_18,mean_19,mean_20,mean_21,mean_22,mean_23,mean_24,mean_25,mean_26,mean_27,mean_28,mean_29
00000001,00123067,00110854,00142446,00108853,0.89,0.00,00106149,00105467,00110367,00104963,00108866,00110663,00109809,00109821,00121279,00110107,00115617,00101835,00109168,00106176,00110879,00106073,00104065,00106445,00108437,00101693,00114482,00110431,00105831,00112962,00107608,00106938,00110663,00106533,00109702,00112564
00000002,00118283,00106940,00137735,00105584,0.84,0.00,00104355,00103865,00104587,00102433,00107201,00109807,00104724,00105051,00118245,00104600,00109386,00099176,00108459,00104049,00105966,00104226,00098159,00106445,00104657,00101693,00111877,00106993,00103046,00104465,00107233,00104895,00105891,00106041,00104354,00105667
00000003,00115865,00104613,00135018,00103479,0.82,0.00,00103991,00100496,00101186,00101519,00106233,00109807,00101085,00101576,00115469,00101015,00107503,00095233,00107734,00104049,00103347,00104226,00094488,00102093,00103403,00101693,00108895,00104149,00102140,00102888,00102696,00104035,00103681,00105351,00099600,00104800
00000004,00113210,00102599,00133171,00101614,0.80,0.00,00101409,00098872,00099822,00099833,00106233,00107021,00097037,00101576,00110956,00099273,00105990,00095233,00106407,00102866,00103347,00103919,00093048,00099049,00100901,00101691,00105338,00102128,00101286,00099077,00101319,00103802,00098742,00100918,00098224,00103103
00000005,00111795,00101130,00132684,00100025,0.78,0.00,00100660,00097584,00098635,00098941,00106233,00106840,00094856,00101576,00102710,00099273,00101615,00094820,00103604,00098461,00103347,00099620,00092171,00098357,00100901,00101691,00103683,00099295,00100930,00096498,00097144,00102497,00096644,00100918,00098224,00103026
00000006,00110770,00100044,00131034,00099027,0.77,0.00,00100660,00094375,00097742,00096652,00105032,00105549,00094856,00100886,00101550,00099273,00101615,00094583,00102918,00098009,00103347,00097968,00092171,00098357,00100901,00101691,00103683,00097798,00100930,00091541,00095808,00098725,00094753,00098939,00098224,00102275
00000007,00109735,00099002,00127771,00098040,0.77,0.00,00098266,00094375,00097742,00096652,00104782,00101763,00094856,00099053,00098967,00099239,00101020,00094465,00101515,00096179,00102781,00097166,00091968,00096195,00100901,00101691,00103683,00095028,00100563,00089343,00095191,00094583,00094417,00098321,00098224,00102275
00000008,00109390,00098195,00129640,00097192,0.77,0.00,00095983,00094359,00096211,00096261,00104782,00097337,00094388,00099053,00097453,00098391,00100880,00094465,00100661,00095843,00101380,00097166,00091968,00096195,00099595,00101691,00103683,00094564,00100563,00087886,00093687,00093502,00092125,00095766,00098224,00101710
00000009,00108012,00097271,00126704,00096345,0.75,0.00,00092099,00094359,00095375,00096261,00104782,00095287,00093247,00099053,00097316,00097320,00100375,00093696,00099445,00091977,00101270,00097166,00091129,00092748,00097468,00101691,00103683,00094564,00099825,00086826,00092663,00093502,00092125,00095168,00098224,00101710
00000010,00107622,00096690,00128057,00095794,0.73,0.00,00089400,00094359,00095375,00094451,00104782,00095287,00092587,00099053,00097316,00096594,00100375,00093696,00099445,00091595,00101270,00096471,00090666,00092286,00097008,00101619,00100558,00094564,00099210,00086826,00091580,00091369,00092125,00094034,00098224,00101710
00000011,00106671,00095927,00126524,00095240,0.75,0.00,00089142,00094359,00093678,00093419,00104782,00095287,00092043,00099053,00095984,00096128,00099024,00093696,00098589,00090803,00100513,00096471,00090173,00091798,00095957,00100353,00098393,00094564,00098902,00086826,00090763,00091369,00092125,00093753,00098224,00101040
00000012,00106878,00095471,00127251,00094842,0.72,0.00,00089142,00093743,00093678,00093419,00104573,00094976,00092043,00097707,00095984,00094330,00098902,00093696,00098589,00090803,00100513,00096159,00089644,00091798,00093912,00100353,00096894,00094564,00098699,00086826,00090763,00091369,00091297,00092084,00098224,00100581
00000013,00106682,00094875,00127673,00094550,0.74,0.00,00089142,00093743,00093678,00093419,00104226,00094976,00092043,00097707,00095893,00094330,00098902,00093696,00098432,00090803,00100513,00096159,00088733,00091798,00092804,00100353,00096623,00094564,00095633,00086826,00089575,00091369,00089754,00092070,00098224,00100530
00000014,00107056,00094784,00126703,00094349,0.73,0.00,00089142,00093743,00093678,00093419,00104095,00094668,00091478,00097707,00095230,00094330,00098248,00093696,00096211,00090803,00100513,00096159,00088733,00091410,00092244,00100137,00096623,00094564,00095302,00086826,00089575,00091369,00089754,00092070,00098224,00100530
00000015,00106602,00094359,00124848,00093990,0.74,0.00,00089142,00093302,00093678,00092119,00103348,00094395,00090987,00097707,00094479,00094330,00098248,00093696,00095797,00090803,00100513,00096159,00088733,00091326,00091192,00100137,00096623,00093936,00093824,00086826,00088449,00091369,00089194,00092070,00096815,00100530
00000016,00105837,00093960,00125843,00093751,0.72,0.00,00089142,00093221,00093678,00091525,00103348,00092385,00090610,00096858,00094479,00094223,00097667,00093564,00095797,00090803,00100513,00096159,00088733,00091326,00090828,00100137,00096623,00093936,00093323,00086826,00088449,00091369,00088210,00091482,00096815,00100530
00000017,00106091,00093958,00125939,00093457,0.73,0.00,00089142,00093221,00093678,00091208,00103348,00091544,00090464,00096858,00094479,00092922,00097667,00092341,00095797,00090803,00100513,00096159,00088733,00091169,00090828,00098306,00096623,00092983,00092492,00086826,00088449,00091369,00088210,00090245,00096815,00100530
00000018,00106550,00094064,00125219,00093180,0.74,0.00,00089142,00093221,00092143,00091208,00103348,00091544,00089707,00096858,00094479,00092922,00097667,00092341,00094214,00089127,00100513,00096159,00088727,00091169,00090489,00097897,00096623,00092983,00090495,00086826,00088449,00091369,00088210,00090245,00096815,00100530
00000019,00106122,00093600,00125980,00092962,0.74,0.00,00089129,00093221,00092143,00091006,00103348,00091544,00089707,00096858,00094479,00092922,00097431,00092341,00093518,00089127,00099719,00096135,00088727,00091127,00090489,00097897,00096446,00092983,00090336,00086826,00088449,00091369,00088210,00089864,00092986,00100530
00000020,00105680,00093317,00126048,00092860,0.73,0.00,00089129,00093221,00092143,00091006,00101848,00091544,00089517,00096858,00094479,00092922,00096677,00092341,00093518,00089127,00099124,00096135,00088727,00091111,00090489,00097897,00096446,00092983,00090336,00086826,00088449,00091369,00088210,00089864,00092986,00100530
00000021,00105692,00093318,00125211,00092686,0.73,0.00,00088745,00093221,00092143,00091006,00101848,00091544,00089517,00096858,00094479,00092922,00096357,00092341,00093518,00088056,00098351,00096135,00088727,00091111,00090489,00097897,00096446,00092983,00090336,00086826,00088449,00090704,00087685,00089864,00091512,00100530
00000022,00105400,00093515,00125723,00092543,0.72,0.00,00088745,00093221,00092143,00091006,00101642,00091544,00089422,00096858,00094479,00092922,00096195,00092341,00093518,00088056,00097305,00096001,00088727,00091111,00089231,00097897,00096446,00092983,00090336,00086826,00088449,00090704,00087685,00089864,00090113,00100530
