iteration,mean,best,worst,bsf,div,branch,mean_0,mean_1,mean_2,mean_3,mean_4,mean_5,mean_6,mean_7,mean_8,mean_9,mean_10,mean_11,mean_12,mean_13,mean_14,mean_15,mean_16,mean_17,mean_18,mean_19,mean_20,mean_21,mean_22,mean_23,mean_24,mean_25,mean_26,mean_27,mean_28,mean_29
00000001,00077999,00068180,00091085,00068180,0.92,0.80,00067327,00067518,00070091,00069839,00069648,00070368,00067281,00066118,00068090,00068206,00069742,00067944,00068903,00065266,00071457,00066932,00067016,00070776,00067959,00063317,00064755,00068816,00067533,00068971,00068330,00069186,00066792,00067684,00071880,00067657
00000002,00074165,00065859,00086471,00065778,0.87,0.65,00065705,00066090,00067129,00065811,00065719,00065831,00066019,00062929,00066926,00061554,00066352,00063210,00068142,00061614,00069484,00066932,00065324,00068472,00064128,00063317,00061983,00067622,00067533,00066778,00065920,00068334,00066700,00064721,00067820,00065242
00000003,00069680,00064090,00080816,00063900,0.68,0.56,00063392,00064393,00066337,00063539,00060938,00065831,00060888,00062686,00063572,00060874,00063393,00061948,00066680,00060072,00063716,00066932,00064891,00066838,00062900,00061629,00060610,00067622,00066098,00063611,00062638,00066330,00065622,00063201,00065264,00064555
00000004,00066990,00063289,00079349,00063288,0.53,0.57,00063061,00064393,00064444,00063539,00060867,00064973,00060515,00062686,00060366,00060334,00063393,00061948,00065189,00060049,00063065,00066032,00064359,00066522,00061842,00060217,00060555,00067094,00065417,00063611,00062638,00064357,00065128,00062757,00065264,00064051
00000005,00066305,00062964,00078567,00062964,0.48,0.59,00062165,00064393,00063744,00063442,00060867,00064663,00060128,00061604,00059744,00060334,00063393,00061948,00065014,00060049,00063036,00066032,00064359,00065809,00061647,00060217,00060002,00067094,00064678,00063040,00062638,00064357,00063840,00061823,00065035,00063825
00000006,00065822,00062407,00077638,00062407,0.46,0.60,00062165,00064393,00062796,00062481,00060314,00062511,00060128,00061604,00058034,00060163,00063393,00061948,00064699,00060049,00062102,00066032,00064359,00063215,00061647,00060217,00059835,00066088,00063774,00061529,00062638,00064357,00063840,00061823,00062265,00063825
00000007,00065761,00062102,00078006,00062102,0.47,0.59,00061858,00063813,00062425,00062096,00060314,00061822,00060128,00061604,00058034,00060163,00063118,00060210,00064699,00059485,00061065,00066032,00062608,00062495,00061647,00060217,00059835,00065569,00063690,00061529,00062638,00064357,00063703,00061823,00062265,00063825
00000008,00065602,00061816,00079498,00061815,0.45,0.59,00061806,00063813,00062425,00062096,00059954,00061798,00060128,00059847,00058034,00060163,00063118,00060210,00064699,00059485,00061065,00066032,00061978,00062303,00061647,00060217,00059684,00065019,00061453,00060475,00062638,00064250,00063703,00061823,00060790,00063825
00000009,00065342,00061588,00077701,00061587,0.46,0.58,00061090,00063807,00062425,00061109,00059954,00061053,00059409,00059847,00058034,00060163,00063118,00060210,00064572,00059485,00060897,00066032,00061260,00062031,00061647,00059952,00059684,00065019,00060741,00060444,00062488,00064100,00063703,00061601,00059928,00063825
00000010,00065298,00061286,00079525,00061285,0.43,0.58,00060800,00063807,00062132,00060901,00059691,00061053,00059165,00059847,00058034,00060163,00063118,00060210,00063077,00058977,00060897,00066032,00061260,00060018,00061647,00059952,00059684,00063970,00060299,00060444,00062488,00062945,00063703,00061601,00059494,00063165
00000011,00070756,00065839,00083986,00061285,0.44,0.57,00060800,00063807,00062132,00060901,00059691,00061053,00059165,00059847,00058034,00060163,00063118,00060210,00063077,00058977,00060897,00066032,00061260,00060018,00061647,00059952,00059684,00063970,00060299,00060444,00062488,00062945,00063703,00061601,00059494,00063165
00000012,00072638,00064948,00082331,00064814,0.66,0.62,00061043,00068900,00064435,00063428,00065305,00061710,00060908,00067824,00065037,00062991,00063932,00064676,00067484,00061947,00065931,00070642,00065678,00061227,00067243,00063398,00067653,00062805,00064695,00062177,00068023,00062712,00064510,00066437,00063990,00067695
00000013,00070768,00064109,00082706,00063932,0.59,0.61,00060586,00067936,00064435,00062379,00064543,00058530,00060908,00066357,00063541,00062809,00062782,00063157,00067484,00061947,00065931,00070289,00064717,00061227,00067243,00063398,00064977,00060883,00062192,00061417,00068023,00062139,00062760,00065173,00063169,00067054
00000014,00070135,00063300,00081674,00063246,0.60,0.58,00060409,00065422,00064435,00060621,00064148,00058407,00060908,00066181,00062882,00062809,00061617,00062822,00067484,00061561,00065830,00070289,00063919,00061227,00065737,00062578,00062791,00060351,00062119,00061417,00066629,00062139,00062760,00063107,00061603,00065204
00000015,00068959,00063272,00081317,00062987,0.56,0.58,00059870,00064923,00063860,00060298,00064148,00058407,00060908,00064754,00062354,00062809,00061617,00062822,00067010,00061561,00065830,00070289,00063919,00061227,00065271,00062578,00062759,00059861,00062081,00061278,00066629,00061498,00062237,00062270,00061603,00064956
00000016,00068728,00062682,00080844,00062601,0.55,0.57,00059870,00063192,00063410,00060298,00063961,00058407,00060908,00064471,00060762,00062809,00061254,00062553,00067010,00061561,00065472,00070289,00063919,00061227,00063531,00062578,00061751,00059837,00062016,00060901,00065175,00061498,00061210,00062270,00061603,00064305
00000017,00068450,00062389,00080467,00062339,0.55,0.58,00059870,00063192,00063410,00060298,00063961,00058407,00060908,00063122,00060599,00062809,00060586,00061979,00067010,00061561,00064321,00069880,00063919,00061227,00061925,00062504,00061751,00059837,00061573,00060901,00065175,00061498,00061210,00062270,00061603,00062881
00000018,00067994,00062560,00081687,00062185,0.53,0.58,00059870,00063192,00063183,00060268,00063961,00058407,00060908,00061815,00060599,00062809,00060586,00061979,00067010,00061009,00064321,00068030,00063801,00061227,00061925,00062504,00061751,00059837,00061573,00060901,00065175,00061236,00061210,00062181,00061603,00062688
00000019,00067488,00062051,00079650,00061969,0.52,0.57,00059870,00062831,00063183,00060028,00063961,00057364,00060908,00061815,00060154,00062177,00060429,00061979,00067010,00061009,00064215,00067854,00062600,00061227,00061909,00062504,00061751,00059837,00061199,00060901,00065175,00060073,00061210,00061622,00061603,00062688
00000020,00067811,00061891,00080788,00061839,0.54,0.58,00059870,00061917,00063183,00060028,00063876,00057364,00060908,00061753,00060154,00062177,00060429,00061979,00067010,00059286,00064215,00067854,00062236,00061227,00061909,00062504,00061751,00059837,00061199,00060901,00065175,00060073,00061138,00061622,00061603,00062017
00000021,00067370,00061963,00080325,00061675,0.51,0.58,00059601,00061421,00063183,00060028,00063876,00057364,00060908,00061753,00059955,00059989,00060429,00061378,00067010,00058879,00064215,00067854,00062060,00061227,00061909,00062239,00061751,00059837,00061199,00060901,00065175,00059750,00061138,00061622,00061603,00062017
00000022,00071530,00065723,00083640,00061518,0.54,0.57,00059601,00061421,00063183,00060028,00063876,00057364,00060908,00061753,00059955,00059989,00058865,00061378,00064224,00058515,00064215,00067854,00062060,00061227,00061909,00062239,00061751,00059837,00061199,00060901,00065175,00059750,00061138,00061622,00061603,00062017
00000023,00071920,00064892,00081307,00064282,0.63,0.61,00060880,00062934,00065013,00061933,00064962,00065039,00061306,00072868,00064784,00061426,00058865,00060604,00064224,00058515,00066420,00070049,00066042,00066037,00065604,00064817,00071415,00060210,00067637,00064244,00065818,00061913,00062279,00067160,00060756,00064732
00000024,00069611,00063637,00079999,00063412,0.54,0.59,00060512,00061696,00065004,00061285,00063112,00065039,00059896,00071853,00062380,00058881,00058541,00059439,00064224,00058515,00065170,00067285,00065374,00065361,00065604,00061869,00070548,00060159,00067637,00063771,00064076,00061913,00062279,00066892,00059514,00064550
00000025,00068588,00063104,00079527,00062776,0.54,0.56,00060360,00061696,00064239,00061285,00063112,00065039,00059896,00069648,00062287,00058881,00058541,00059439,00064224,00058515,00064458,00065593,00065374,00065209,00065604,00061869,00069261,00060159,00067637,00063186,00063151,00060300,00062094,00058567,00059514,00064148
00000026,00066928,00062434,00077836,00062271,0.52,0.57,00059783,00061096,00062759,00061285,00063112,00063377,00059896,00068214,00062287,00058881,00058541,00058201,00064224,00058515,00064458,00065198,00065374,00063582,00065604,00061869,00067000,00060159,00067637,00061764,00062999,00059422,00061154,00058567,00059514,00063675
00000027,00066830,00062093,00078302,00061935,0.53,0.57,00058557,00061096,00062666,00061285,00062106,00063290,00059896,00068214,00062287,00058881,00058541,00058201,00064224,00058082,00064458,00065198,00063439,00062723,00065604,00060607,00065661,00060159,00067637,00060917,00062999,00059422,00060301,00058415,00059514,00063675
00000028,00066580,00062050,00077920,00061840,0.52,0.57,00058510,00061096,00062666,00061285,00062106,00063104,00059896,00067331,00062287,00058881,00058541,00058201,00064224,00058082,00064458,00065198,00063439,00061749,00065604,00060132,00065373,00060159,00067637,00060917,00062999,00059422,00060301,00058415,00059514,00063675
