iteration,mean,best,worst,bsf,div,branch,mean_0,mean_1,mean_2,mean_3,mean_4,mean_5,mean_6,mean_7,mean_8,mean_9,mean_10,mean_11,mean_12,mean_13,mean_14,mean_15,mean_16,mean_17,mean_18,mean_19,mean_20,mean_21,mean_22,mean_23,mean_24,mean_25,mean_26,mean_27,mean_28,mean_29
00000001,00124791,00108043,00146261,00108043,0.96,0.84,00110494,00107629,00112039,00110001,00106206,00110132,00106891,00109236,00106182,00103798,00106536,00110992,00107093,00110208,00111124,00106462,00105351,00111442,00111443,00113703,00106654,00101724,00107014,00102367,00107650,00105559,00109610,00104768,00106137,00112848
00000002,00120864,00105654,00141069,00105224,0.94,0.79,00109255,00107629,00106681,00102152,00105251,00106437,00102498,00103858,00106182,00102215,00106536,00106825,00104870,00104074,00108536,00106462,00101897,00109072,00111443,00108657,00106654,00101724,00095847,00102367,00102424,00105559,00103148,00103750,00101869,00112848
00000003,00116977,00101903,00136255,00101524,0.90,0.68,00105184,00098301,00097834,00096926,00102408,00102505,00102498,00101114,00100347,00098999,00104563,00100665,00104870,00102728,00098694,00103986,00096424,00105561,00109142,00106150,00103438,00101724,00090838,00100354,00096246,00105559,00102226,00097239,00099180,00110046
00000004,00111729,00099487,00131236,00099486,0.78,0.58,00103565,00098301,00097834,00096174,00100896,00099910,00097958,00100716,00098565,00095879,00099859,00099621,00102258,00100381,00096882,00101274,00096424,00102055,00107535,00106150,00100777,00099478,00090121,00098386,00096246,00100849,00099437,00089317,00098179,00109576
00000005,00106096,00098545,00126281,00098468,0.55,0.59,00100491,00097798,00097378,00096174,00100896,00099910,00095432,00100716,00098019,00094639,00099502,00098514,00099266,00098292,00096522,00099730,00095161,00101579,00105638,00105807,00100777,00095492,00089872,00096661,00096246,00099072,00099437,00088246,00097425,00109364
00000006,00104433,00097658,00124400,00097657,0.51,0.64,00098357,00097442,00097163,00095142,00099304,00099537,00094845,00100716,00096358,00094493,00098683,00098514,00096409,00097053,00096522,00099145,00094948,00099930,00105638,00104278,00100777,00094832,00089773,00096661,00096246,00098897,00099437,00088246,00094255,00106133
00000007,00103555,00097026,00124796,00097025,0.50,0.64,00098308,00096846,00096857,00094603,00098490,00099537,00094845,00100716,00095874,00094272,00097928,00096083,00095900,00096494,00095874,00099145,00094307,00098975,00105638,00100462,00100777,00093432,00088890,00096661,00095142,00098897,00099437,00086643,00093907,00105827
00000008,00103146,00096498,00122443,00096495,0.53,0.63,00098289,00095571,00096595,00093418,00098431,00098512,00094845,00100716,00095874,00094140,00097812,00095332,00095900,00095533,00095874,00099145,00094307,00098709,00104232,00100217,00100777,00092961,00088890,00095020,00091390,00098897,00097487,00086643,00093907,00105443
00000009,00102563,00096064,00120689,00096063,0.53,0.64,00097551,00094607,00096595,00093418,00095410,00097891,00094845,00100716,00095815,00094034,00097812,00095202,00095900,00095533,00095874,00099145,00093985,00098239,00103155,00099479,00100777,00092961,00088890,00094198,00091390,00095802,00097176,00086643,00093907,00104966
00000010,00101851,00095795,00122195,00095781,0.49,0.64,00096907,00094607,00096595,00092891,00094028,00097721,00094442,00100716,00095815,00094034,00097606,00095202,00094991,00094325,00095874,00098983,00093747,00097576,00102667,00099479,00100777,00092961,00088890,00094198,00091272,00095802,00096913,00086397,00093907,00104109
00000011,00138899,00129780,00156667,00095781,0.51,0.64,00096907,00094607,00096595,00092891,00094028,00097721,00094442,00100716,00095815,00094034,00097606,00095202,00094991,00094325,00095874,00098983,00093747,00097576,00102667,00099479,00100777,00092961,00088890,00094198,00091272,00095802,00096913,00086397,00093907,00104109
00000012,00125519,00113999,00143456,00112251,0.88,0.83,00108025,00111418,00115859,00106791,00106792,00114459,00105877,00116197,00111933,00110574,00116259,00118676,00116794,00109498,00112484,00108736,00109786,00116764,00113917,00112027,00117510,00106359,00112322,00115514,00110182,00111719,00117836,00111465,00108877,00112907
