iteration,mean,best,worst,bsf,div,branch,mean_0,mean_1,mean_2,mean_3,mean_4,mean_5,mean_6,mean_7,mean_8,mean_9,mean_10,mean_11,mean_12,mean_13,mean_14,mean_15,mean_16,mean_17,mean_18,mean_19,mean_20,mean_21,mean_22,mean_23,mean_24,mean_25,mean_26,mean_27,mean_28,mean_29
00000001,00095926,00085823,00111471,00084276,0.83,0.00,00081174,00087344,00089423,00077407,00081834,00084090,00085884,00086781,00083565,00082106,00084857,00083346,00078992,00085533,00083333,00082169,00087292,00086403,00086406,00083334,00087403,00084616,00083490,00085959,00084275,00079077,00086728,00081919,00087649,00085910
00000002,00091466,00082278,00109420,00080958,0.78,0.00,00080686,00079043,00084063,00076800,00078100,00081223,00083748,00082574,00082788,00079494,00076526,00082164,00077825,00081012,00080221,00079059,00087292,00083212,00082768,00078513,00082155,00083856,00081601,00077858,00077630,00079077,00083273,00081027,00081540,00083632
00000003,00089128,00079590,00106966,00078248,0.73,0.00,00080419,00079043,00081085,00076800,00076490,00076805,00083478,00080201,00081160,00075437,00072900,00080781,00077825,00078531,00078259,00078648,00080723,00082087,00076617,00075821,00070854,00080492,00078940,00076445,00075518,00079077,00073831,00078056,00080315,00080809
00000004,00087782,00077865,00106016,00077271,0.72,0.00,00077750,00079043,00080504,00076527,00076490,00076805,00080523,00079667,00081160,00073920,00071367,00080561,00074986,00076083,00076504,00078524,00079107,00081221,00075790,00075821,00069419,00079859,00078940,00076221,00071890,00078661,00072771,00077446,00080315,00080270
00000005,00086837,00076830,00104551,00075995,0.70,0.00,00076446,00079043,00080504,00075177,00074198,00075998,00079952,00076555,00081112,00071411,00067273,00078115,00072779,00076083,00076504,00075565,00078160,00079511,00075188,00075221,00069419,00079527,00078242,00076221,00070413,00077915,00070453,00075808,00080173,00076909
00000006,00085751,00075846,00103812,00075326,0.69,0.00,00075669,00078948,00080504,00074099,00072905,00075998,00079288,00076555,00080379,00071042,00066864,00077800,00072779,00074949,00076146,00075326,00074742,00078534,00073829,00075089,00068792,00076183,00078071,00076221,00070413,00076032,00070453,00075110,00080173,00076909
00000007,00085749,00075271,00103392,00074736,0.69,0.00,00075669,00076836,00080000,00074099,00072905,00075998,00078871,00076555,00079931,00071042,00066864,00074129,00072779,00073470,00075455,00075326,00073785,00077722,00071943,00075089,00068792,00074895,00077124,00075136,00069744,00076032,00070384,00075110,00079488,00076909
00000008,00085211,00074625,00104283,00074426,0.69,0.00,00074975,00076783,00077809,00074099,00072905,00075998,00078760,00076555,00077306,00070947,00066864,00074129,00072779,00073470,00075455,00075326,00073785,00077722,00070491,00075089,00068792,00074298,00077124,00075136,00069744,00075108,00070384,00074564,00079488,00076909
00000009,00085165,00074773,00103928,00073964,0.71,0.00,00074975,00074154,00076681,00073019,00072905,00075057,00076723,00076555,00076663,00070947,00066864,00072839,00072779,00073470,00074143,00075326,00073179,00077722,00070491,00075089,00068756,00074298,00076381,00075136,00069422,00074063,00070384,00074564,00079433,00076909
00000010,00084193,00074046,00101396,00073628,0.70,0.00,00074975,00074154,00076363,00073019,00072905,00075057,00075545,00076555,00076663,00070947,00066864,00072603,00072257,00073470,00074143,00075326,00073179,00077131,00070491,00074439,00068171,00073709,00075941,00075136,00068837,00073548,00070307,00074564,00076384,00076178
00000011,00108030,00097018,00128589,00073628,0.70,0.00,00074975,00074154,00076363,00073019,00072905,00075057,00075545,00076555,00076663,00070947,00066864,00072603,00072257,00073470,00074143,00075326,00073179,00077131,00070491,00074439,00068171,00073709,00075941,00075136,00068837,00073548,00070307,00074564,00076384,00076178
00000012,00098256,00087102,00114663,00084787,0.87,0.00,00085686,00080864,00090531,00086032,00085299,00082828,00087039,00077198,00082969,00082071,00086369,00088722,00087905,00085097,00079869,00087023,00084256,00082164,00082666,00090013,00080932,00086896,00082947,00086890,00081769,00085179,00082381,00085353,00083277,00093397
00000013,00091252,00082542,00108620,00080761,0.78,0.00,00083846,00076930,00081273,00081411,00081789,00082106,00082987,00069824,00082969,00077301,00080085,00088557,00081692,00081487,00075791,00079238,00080986,00082164,00082666,00082084,00078023,00084778,00077718,00083398,00078735,00084556,00077904,00077775,00076048,00088726
00000014,00088781,00079992,00106143,00078945,0.75,0.00,00080947,00074225,00079911,00081411,00080602,00081150,00077600,00067210,00082969,00076552,00078054,00085676,00080044,00080041,00071591,00077681,00078329,00082164,00079323,00080092,00076540,00081137,00075631,00082405,00075840,00082602,00077781,00077775,00076048,00087023
00000015,00087173,00078499,00103501,00077550,0.73,0.00,00077437,00072791,00078506,00080803,00078751,00079462,00076927,00067210,00082969,00075402,00075164,00084761,00077868,00080041,00068640,00076893,00078329,00082164,00078142,00078007,00076540,00077789,00073097,00080381,00075546,00079344,00074894,00076448,00076048,00086150
00000016,00086431,00077294,00104713,00076292,0.70,0.00,00077211,00071756,00077752,00074669,00078751,00077633,00075929,00067210,00082871,00074658,00074090,00075256,00076653,00079171,00066782,00076893,00077533,00082164,00077299,00077545,00073358,00077789,00072551,00080381,00075041,00079344,00074372,00076198,00073430,00084492
00000017,00085178,00075994,00102604,00075511,0.69,0.00,00077211,00069971,00077752,00074669,00076894,00076332,00074746,00066784,00081965,00074658,00074090,00074845,00074648,00075023,00066782,00076893,00077049,00081070,00076975,00077545,00073358,00077789,00070938,00079092,00073952,00078034,00074235,00076198,00071358,00084492
00000018,00084407,00075165,00102534,00074731,0.69,0.00,00077055,00069971,00077752,00074504,00076714,00075520,00072137,00066784,00081471,00074658,00073220,00074610,00074118,00072936,00066728,00076893,00074132,00081070,00076975,00075916,00072130,00077789,00070938,00075757,00073216,00078034,00071168,00076198,00069062,00084492
