iteration,mean,best,worst,bsf,div,branch,mean_0,mean_1,mean_2,mean_3,mean_4,mean_5,mean_6,mean_7,mean_8,mean_9,mean_10,mean_11,mean_12,mean_13,mean_14,mean_15,mean_16,mean_17,mean_18,mean_19,mean_20,mean_21,mean_22,mean_23,mean_24,mean_25,mean_26,mean_27,mean_28,mean_29
00000001,00122118,00106968,00141329,00106884,0.95,0.85,00110141,00099185,00106707,00109980,00104902,00106694,00110044,00112218,00110942,00106408,00110786,00104778,00106136,00107036,00097044,00110472,00109596,00109155,00106765,00104809,00109896,00105127,00106184,00107555,00110468,00103727,00098850,00106850,00108496,00105571
00000002,00117447,00103076,00136551,00102832,0.92,0.68,00108156,00099185,00106707,00103515,00100107,00104582,00104669,00105260,00101108,00102987,00106667,00100131,00105435,00100397,00096181,00107446,00101996,00106704,00102806,00104809,00101345,00099043,00097074,00103724,00109333,00102570,00098850,00099219,00107375,00097604
00000003,00111718,00100666,00129843,00100596,0.80,0.60,00102419,00097768,00103075,00098956,00100107,00100648,00103517,00103909,00100083,00102763,00102995,00095758,00105313,00100397,00094087,00104677,00100171,00105098,00102148,00104119,00098572,00096099,00092457,00102119,00107342,00097928,00096210,00097807,00105794,00095558
00000004,00106509,00098902,00124089,00098902,0.56,0.58,00099047,00096719,00101612,00096481,00098804,00098966,00099513,00101356,00098871,00102494,00100483,00095758,00097795,00100397,00091913,00102970,00096807,00104941,00101413,00103288,00097027,00096099,00091462,00097936,00105059,00096793,00094918,00097290,00105582,00095271
00000005,00104562,00097844,00123012,00097843,0.54,0.61,00097790,00096351,00099107,00094758,00098508,00097590,00098579,00100870,00098871,00099157,00096948,00093300,00097624,00100397,00090290,00099326,00096807,00104922,00100517,00101122,00097027,00096022,00091462,00097810,00104826,00096379,00094275,00096996,00102485,00095188
00000006,00102737,00096958,00122737,00096958,0.49,0.62,00096517,00096351,00098820,00094364,00096208,00096049,00098579,00099790,00096889,00099157,00094713,00092391,00097484,00099940,00089678,00099326,00096203,00104566,00098924,00097427,00097027,00096022,00091342,00097810,00104112,00095840,00093033,00096546,00099303,00094339
00000007,00102202,00096507,00121981,00096506,0.52,0.61,00096292,00095302,00097228,00093905,00096208,00095027,00097894,00099790,00095867,00099157,00093965,00091161,00097478,00099681,00089678,00099326,00096203,00104053,00098924,00094396,00097027,00095824,00091322,00097380,00103911,00095228,00093033,00096338,00099303,00094300
00000008,00101679,00096168,00120166,00096153,0.47,0.62,00096099,00095302,00095985,00093905,00096208,00095027,00096118,00099790,00095867,00099157,00093965,00091161,00097438,00097109,00089678,00099326,00095949,00101830,00098494,00094396,00095767,00095824,00091322,00097380,00103911,00095228,00093033,00096038,00099303,00094007
00000009,00101544,00095925,00121657,00095865,0.48,0.63,00096099,00095302,00095985,00093905,00096208,00095027,00096118,00099790,00095867,00097809,00093837,00091161,00097438,00097016,00089678,00099326,00095511,00101830,00098494,00094396,00095431,00095118,00091322,00097380,00103108,00093197,00092052,00096038,00097506,00094007
00000010,00101762,00095576,00120806,00095575,0.50,0.65,00096082,00094923,00095665,00093905,00095323,00095027,00096118,00099790,00095138,00097809,00093837,00090529,00097438,00097016,00089678,00099326,00094519,00101830,00097815,00093946,00094528,00095118,00091322,00097194,00100623,00093197,00092052,00096038,00097506,00093978
