iteration,mean,best,worst,bsf,div,branch,mean_0,mean_1,mean_2,mean_3,mean_4,mean_5,mean_6,mean_7,mean_8,mean_9,mean_10,mean_11,mean_12,mean_13,mean_14,mean_15,mean_16,mean_17,mean_18,mean_19,mean_20,mean_21,mean_22,mean_23,mean_24,mean_25,mean_26,mean_27,mean_28,mean_29
00000001,00079326,00065596,00096755,00065588,0.91,0.69,00064839,00064108,00064610,00067726,00065275,00067110,00066596,00065572,00062999,00065394,00067155,00066495,00065542,00063153,00066697,00066987,00063006,00066508,00069498,00067714,00063923,00059747,00069614,00061712,00066676,00067060,00068227,00066398,00063310,00063998
00000002,00075718,00063245,00092632,00062907,0.88,0.68,00064839,00060190,00061115,00064095,00061946,00065515,00062770,00065572,00058974,00061085,00063450,00064993,00065497,00062346,00059039,00066604,00062324,00060991,00061827,00064006,00061294,00059747,00066238,00061712,00062508,00063730,00062656,00066398,00061754,00063998
00000003,00071126,00061722,00087501,00061558,0.80,0.60,00064308,00058486,00060118,00062201,00060960,00063320,00061706,00065313,00058974,00060617,00062843,00062770,00060287,00061832,00058446,00063435,00060297,00059860,00061827,00062952,00060894,00059747,00064065,00061244,00062508,00062902,00060221,00065535,00060044,00059041
00000004,00066586,00060823,00082770,00060747,0.57,0.55,00063726,00057734,00059640,00060990,00060087,00063320,00061054,00064436,00058974,00060617,00062843,00062770,00060287,00057254,00058288,00061949,00058544,00059857,00061827,00062636,00059769,00059747,00061088,00060061,00062508,00062623,00058187,00065535,00058361,00057715
00000005,00065007,00060248,00080907,00060239,0.48,0.59,00062747,00057734,00059640,00060990,00058199,00062858,00061054,00064436,00058974,00060544,00062843,00062514,00060287,00057254,00056924,00059824,00058544,00059857,00061827,00061715,00059769,00059747,00058794,00057833,00062272,00060502,00058187,00065535,00058361,00057432
00000006,00064419,00059770,00080372,00059770,0.46,0.59,00061183,00057734,00058372,00060990,00055898,00062858,00061054,00064436,00058974,00059713,00062843,00062514,00060287,00057254,00056924,00059824,00058544,00059012,00061254,00061715,00058583,00059729,00058794,00057833,00060698,00059385,00056483,00065535,00058361,00056322
00000007,00064394,00059398,00082424,00059397,0.47,0.59,00061183,00057734,00057542,00060653,00055898,00062858,00060263,00064436,00057346,00059047,00062843,00060429,00060057,00057254,00056066,00058655,00058544,00059012,00060086,00061715,00057901,00059299,00058794,00057764,00060698,00059385,00056483,00065504,00058157,00056322
00000008,00064257,00059119,00080319,00059118,0.51,0.57,00060814,00055044,00057542,00060653,00055898,00062858,00060263,00064436,00057346,00058845,00062843,00059822,00060057,00057254,00056066,00057387,00058544,00057231,00060086,00061081,00057379,00059299,00058794,00057471,00060698,00059385,00056483,00065504,00058157,00056322
00000009,00063731,00058711,00080260,00058710,0.50,0.56,00058003,00053834,00057542,00057102,00055898,00062858,00060263,00064436,00057346,00058845,00062843,00059013,00059723,00057254,00055640,00057387,00057262,00056186,00060086,00061081,00057379,00059299,00058794,00057174,00060698,00058910,00056483,00065504,00058157,00056322
00000010,00063837,00058449,00081899,00058449,0.49,0.56,00058003,00053834,00057542,00057102,00055898,00062858,00060263,00064436,00057346,00058062,00062843,00057105,00058911,00057254,00055640,00057387,00057262,00056186,00060086,00061078,00057379,00058249,00058794,00057174,00060698,00058484,00056483,00064244,00058157,00054716
00000011,00086649,00078381,00105724,00058449,0.50,0.56,00058003,00053834,00057542,00057102,00055898,00062858,00060263,00064436,00057346,00058062,00062843,00057105,00058911,00057254,00055640,00057387,00057262,00056186,00060086,00061078,00057379,00058249,00058794,00057174,00060698,00058484,00056483,00064244,00058157,00054716
00000012,00079259,00069106,00093805,00067381,0.82,0.94,00065144,00070597,00067186,00061398,00068830,00066755,00070113,00071782,00068125,00064313,00073836,00063880,00068198,00067466,00066197,00067185,00069481,00065319,00066121,00063843,00071679,00062319,00069286,00068620,00066977,00066536,00065835,00070825,00073123,00060476
00000013,00075343,00064929,00093282,00063441,0.89,1.31,00065144,00065444,00064969,00060575,00064051,00066554,00068500,00066147,00066519,00059758,00066074,00061650,00063040,00060658,00064622,00060945,00063025,00064033,00064550,00060858,00066834,00061848,00061328,00061293,00063357,00058541,00061253,00062567,00068890,00060217
00000014,00072897,00063161,00089152,00061804,0.87,1.45,00065144,00061098,00063035,00060575,00062926,00064330,00065032,00063942,00065828,00059758,00063647,00061650,00062900,00060658,00061206,00060918,00062767,00064033,00061254,00057429,00063426,00059378,00060667,00060700,00059570,00058229,00057382,00058720,00067708,00060217
00000015,00071443,00062231,00087425,00060555,0.84,1.49,00065144,00061098,00062624,00057284,00060767,00063232,00065032,00062120,00065611,00058841,00061053,00058834,00061172,00058599,00061206,00059898,00061718,00064033,00060355,00057429,00061754,00059378,00058479,00060700,00058700,00055414,00055635,00058720,00066660,00055173
00000016,00070080,00061419,00085666,00059699,0.82,1.47,00065144,00061077,00060198,00057284,00060767,00062804,00061557,00060896,00062202,00058841,00061053,00058834,00060468,00058599,00061003,00058896,00060495,00060236,00059311,00057287,00060751,00056908,00058479,00060250,00058125,00054730,00055614,00058364,00065642,00055173
00000017,00069708,00060994,00086092,00059341,0.81,1.42,00064747,00061030,00058440,00057284,00060669,00061964,00061557,00060888,00062202,00058841,00061053,00058834,00059535,00058599,00061003,00057755,00060495,00060236,00059311,00057012,00058545,00056908,00058479,00059933,00057768,00054730,00054854,00056747,00065642,00055173
00000018,00068737,00060559,00084497,00059143,0.79,1.38,00064333,00060970,00058440,00057284,00060669,00058902,00061557,00060564,00062202,00058841,00061053,00058834,00059535,00058476,00060235,00057755,00060467,00060236,00059311,00057012,00058545,00056908,00058479,00059933,00057203,00054730,00054854,00056747,00065050,00055173
00000019,00068383,00060346,00083625,00058891,0.78,1.35,00064333,00060816,00057923,00056682,00060279,00058902,00061557,00060564,00062202,00057700,00061053,00058834,00059535,00058476,00060235,00057755,00059099,00060236,00059311,00057012,00058545,00056908,00058479,00059933,00057203,00053439,00054854,00055293,00064402,00055173
00000020,00068472,00060218,00084764,00058711,0.77,1.30,00064333,00058547,00057923,00054815,00060279,00058902,00061072,00060564,00062202,00057700,00061053,00058834,00059535,00058476,00060235,00057755,00058634,00060236,00059311,00057012,00058313,00056908,00058479,00059864,00057203,00053439,00054854,00055293,00064402,00055173
00000021,00068047,00059870,00082887,00058506,0.75,1.26,00062542,00058547,00057923,00054815,00059913,00058902,00060910,00059763,00062202,00057362,00061053,00058834,00059535,00057551,00060235,00057755,00058634,00060236,00059244,00057012,00058313,00056908,00058479,00058267,00057203,00053439,00054854,00055189,00064402,00055173
00000022,00088408,00077171,00107241,00058506,0.73,1.25,00062542,00058547,00057923,00054815,00059913,00058902,00060910,00059763,00062202,00057362,00061053,00058834,00059535,00057551,00060235,00057755,00058634,00060236,00059244,00057012,00058313,00056908,00058479,00058267,00057203,00053439,00054854,00055189,00064402,00055173
00000023,00075798,00065885,00092420,00064528,0.82,1.29,00068700,00063714,00066167,00065109,00068981,00062011,00062946,00058778,00063982,00061176,00065879,00067390,00066614,00065967,00063019,00067953,00064266,00067169,00064650,00063308,00067097,00056075,00060987,00069118,00068184,00066367,00064572,00063563,00059330,00062796
00000024,00074004,00064572,00091174,00062678,0.81,1.39,00067466,00059878,00064101,00064696,00066252,00062011,00061405,00058778,00062565,00058875,00065686,00063776,00066162,00064980,00061304,00063040,00057374,00066544,00060258,00063308,00067097,00056075,00059862,00069118,00066804,00056347,00064572,00061059,00058174,00062796
00000025,00072792,00062313,00090089,00061570,0.79,1.40,00062895,00059041,00062537,00060969,00066252,00058041,00059167,00058680,00060983,00058875,00064318,00062923,00062750,00063855,00061304,00063040,00057374,00066544,00060258,00063308,00062816,00055725,00059862,00068792,00065267,00056347,00064572,00060561,00058174,00061873
00000026,00072230,00062905,00088240,00061206,0.79,1.44,00062895,00059041,00062537,00060969,00065218,00058041,00059167,00058680,00060892,00058875,00063447,00061972,00062750,00063855,00061304,00061514,00055765,00066544,00060258,00061594,00062816,00055485,00059862,00067808,00064168,00056347,00064343,00060561,00057608,00061873
00000027,00071636,00062350,00089042,00060322,0.78,1.46,00061025,00059041,00059834,00060969,00061424,00058041,00059167,00057471,00060892,00058875,00061779,00061275,00062750,00063855,00061304,00059323,00055765,00065074,00060258,00061594,00059992,00055485,00059862,00063116,00064168,00056020,00062937,00059084,00057608,00061676
00000028,00070972,00061709,00086876,00059986,0.77,1.46,00061025,00058705,00059834,00060969,00061424,00058041,00059167,00057471,00060892,00058875,00061779,00061190,00060758,00063855,00060719,00059214,00055765,00064049,00058773,00061594,00058591,00055339,00059862,00063116,00063016,00056020,00061176,00059084,00057608,00061676
00000029,00070320,00061808,00086337,00059718,0.77,1.47,00061025,00058705,00059834,00059940,00061424,00058041,00058440,00057471,00060297,00058875,00061779,00060600,00060758,00063060,00060040,00059214,00055765,00064049,00058773,00060918,00058591,00055339,00059862,00063116,00063016,00056020,00060562,00059084,00055800,00061152
00000030,00069983,00061097,00086711,00059476,0.76,1.46,00061025,00057438,00059834,00059940,00061424,00058041,00056814,00057471,00060297,00058875,00061779,00060600,00060758,00063060,00059450,00059214,00055765,00064049,00055741,00060918,00057850,00055339,00059862,00063116,00063016,00056020,00060562,00059084,00055800,00061152
00000031,00069318,00060772,00087043,00059322,0.74,1.46,00061025,00057438,00059834,00059940,00061362,00058041,00056804,00057377,00060102,00058000,00061721,00060600,00060758,00062840,00059450,00057266,00055765,00063114,00055741,00060881,00057850,00055339,00059862,00063116,00063016,00056020,00060562,00058896,00055800,00061152
