iteration,mean,best,worst,bsf,div,branch,mean_0,mean_1,mean_2,mean_3,mean_4,mean_5,mean_6,mean_7,mean_8,mean_9,mean_10,mean_11,mean_12,mean_13,mean_14,mean_15,mean_16,mean_17,mean_18,mean_19,mean_20,mean_21,mean_22,mean_23,mean_24,mean_25,mean_26,mean_27,mean_28,mean_29
00000001,00062660,00057658,00071223,00056896,0.93,0.00,00058188,00057554,00057385,00057317,00058387,00060288,00058679,00057538,00054823,00053885,00055572,00055115,00055464,00057994,00059327,00056668,00056818,00056587,00056621,00054320,00055806,00055696,00056841,00057293,00060139,00057589,00054203,00057971,00056877,00055960
00000002,00060183,00055604,00068975,00054781,0.89,0.00,00056215,00055765,00055401,00055538,00054827,00056933,00055978,00053691,00052698,00053885,00053301,00055115,00053483,00056046,00057453,00055060,00053247,00055729,00052826,00051277,00054056,00054513,00054803,00055954,00055742,00055529,00053046,00055760,00056732,00052848
00000003,00058924,00054463,00067191,00053817,0.88,0.00,00054377,00055336,00053948,00055391,00053300,00055488,00054781,00052979,00052178,00053885,00051507,00055115,00052256,00053229,00056885,00055060,00051686,00055729,00052826,00050736,00054056,00054479,00054752,00055173,00054709,00052556,00052845,00052397,00055152,00051711
00000004,00057919,00053537,00066131,00053018,0.86,0.00,00054247,00053737,00053505,00055019,00052312,00054338,00054207,00051580,00051937,00053885,00051310,00054689,00051856,00052359,00054516,00053443,00051686,00053195,00052826,00050381,00052632,00053831,00054524,00054060,00053665,00051682,00052167,00050949,00054418,00051596
00000005,00057273,00052886,00065506,00052301,0.85,0.00,00052403,00052588,00052728,00054999,00051632,00053929,00053455,00051192,00051303,00053206,00051310,00053647,00051856,00052087,00054516,00051685,00050440,00052948,00051689,00049618,00052003,00053831,00053695,00052504,00053496,00050245,00051537,00050681,00052850,00050973
00000006,00056920,00052405,00065502,00051861,0.84,0.00,00051357,00052234,00052073,00054591,00051500,00053929,00053082,00051027,00051180,00052365,00051310,00053223,00051856,00051554,00054131,00051269,00050440,00052742,00050397,00049401,00050909,00053530,00053653,00051912,00052908,00050245,00051537,00049566,00052218,00049718
00000007,00056227,00051693,00065188,00051348,0.84,0.00,00050835,00052234,00050798,00054482,00050836,00053632,00051700,00050679,00051180,00051534,00051310,00051903,00051856,00051292,00052173,00050898,00048915,00052742,00049619,00049401,00050909,00052953,00053041,00051087,00051973,00050245,00051367,00049566,00051932,00049364
00000008,00055962,00051387,00064259,00050953,0.83,0.00,00050120,00051704,00050192,00052617,00050836,00052214,00051211,00050679,00051180,00051349,00051310,00051527,00051856,00049039,00052173,00050898,00048555,00052140,00049619,00049388,00050909,00052073,00053041,00050821,00051737,00050245,00051002,00049329,00051589,00049254
00000009,00055863,00051000,00064410,00050712,0.82,0.00,00050120,00051521,00049241,00052532,00050836,00052181,00051032,00049903,00051079,00050743,00051310,00051527,00051621,00048677,00051875,00050525,00048530,00052079,00049619,00049020,00050909,00051857,00052617,00049488,00051354,00050245,00050752,00049329,00051589,00049254
00000010,00055806,00050959,00063827,00050523,0.82,0.00,00050120,00051017,00049241,00052532,00050836,00051915,00050784,00049497,00050905,00050743,00051310,00051527,00051621,00048493,00051875,00049935,00048530,00051296,00049619,00049020,00050299,00051717,00052617,00049488,00050804,00049726,00050072,00049329,00051589,00049254
