iteration,mean,best,worst,bsf,div,branch,mean_0,mean_1,mean_2,mean_3,mean_4,mean_5,mean_6,mean_7,mean_8,mean_9,mean_10,mean_11,mean_12,mean_13,mean_14,mean_15,mean_16,mean_17,mean_18,mean_19,mean_20,mean_21,mean_22,mean_23,mean_24,mean_25,mean_26,mean_27,mean_28,mean_29
00000001,00052549,00047082,00059269,00047081,0.98,0.84,00046800,00047956,00048091,00047575,00046044,00046924,00049634,00047089,00044217,00045943,00047037,00045361,00047111,00047634,00049159,00046731,00047215,00046238,00047223,00046335,00047931,00049111,00045856,00047838,00046209,00045874,00048362,00047075,00048472,00045401
00000002,00050980,00045769,00059182,00045695,0.96,0.69,00046800,00046928,00046442,00046463,00045468,00046077,00046525,00046586,00044217,00045220,00044031,00043983,00045615,00046941,00047061,00046241,00045979,00044297,00044228,00046140,00044774,00045890,00044044,00045903,00045694,00045694,00045612,00046894,00047211,00043906
00000003,00049139,00044606,00056189,00044536,0.90,0.58,00046137,00045788,00044917,00045029,00044900,00045377,00046172,00044609,00044090,00045220,00044031,00043983,00044796,00045692,00045341,00041742,00044739,00043521,00043708,00044203,00044774,00042881,00043295,00045037,00044530,00044373,00044382,00045043,00044868,00042925
00000004,00046721,00043837,00053513,00043836,0.67,0.55,00044334,00045467,00044420,00044280,00044545,00045264,00044576,00043349,00043938,00043844,00042815,00043949,00044080,00044981,00045079,00041742,00043811,00043061,00042530,00043710,00043664,00042881,00042491,00045025,00044024,00042502,00043625,00044497,00044082,00042539
00000005,00045590,00043430,00052775,00043424,0.53,0.59,00043941,00045467,00044260,00043905,00044184,00044512,00044576,00043347,00043815,00043844,00041226,00043949,00044080,00044727,00043970,00041525,00043667,00042228,00042373,00043419,00043286,00042872,00041985,00044078,00043272,00042502,00042609,00044381,00042536,00042197
00000006,00045246,00043051,00052300,00043050,0.52,0.59,00043511,00044724,00044260,00043207,00043630,00044281,00044427,00043095,00043582,00043442,00041139,00043872,00043816,00044660,00043660,00040564,00042992,00040962,00042128,00043230,00043110,00042548,00041644,00043826,00042866,00041930,00042609,00044012,00041818,00041981
00000007,00044954,00042849,00052859,00042848,0.53,0.60,00043057,00044511,00044260,00042880,00042979,00044149,00044427,00042659,00043302,00043442,00041019,00043169,00043728,00044545,00043592,00040182,00042861,00040962,00042044,00043063,00043110,00042475,00041317,00043826,00042866,00041455,00042609,00043434,00041602,00041933
00000008,00044624,00042711,00051908,00042711,0.51,0.60,00042715,00044164,00044260,00042855,00042968,00043975,00044427,00042659,00043302,00043201,00041019,00043169,00043414,00044545,00043488,00040182,00042861,00040962,00041880,00042845,00042754,00042082,00041307,00043604,00042802,00041262,00042442,00043301,00041272,00041627
00000009,00044614,00042522,00052027,00042500,0.51,0.60,00042351,00043894,00044260,00042855,00042346,00043735,00044427,00042659,00043302,00042569,00040689,00043169,00042814,00043975,00043488,00039981,00042776,00040806,00041880,00042757,00042449,00042082,00040694,00043604,00042397,00041262,00042019,00043245,00041207,00041327
00000010,00044503,00042383,00051595,00042383,0.49,0.60,00042101,00043805,00044260,00042731,00042346,00043669,00044187,00042659,00043302,00042569,00040689,00043016,00042138,00043975,00043488,00039981,00042776,00040717,00041880,00042188,00042342,00042072,00040694,00043319,00042003,00041262,00041807,00043238,00040965,00041327
00000011,00044273,00042242,00051566,00042238,0.51,0.59,00041846,00043805,00044260,00042731,00042346,00043251,00043897,00042659,00043210,00042569,00040338,00043016,00041894,00043975,00043301,00039975,00042776,00040279,00041744,00042188,00042247,00041801,00040585,00042487,00041698,00041147,00041807,00043238,00040753,00041327
00000012,00044189,00042125,00051230,00042124,0.51,0.59,00041689,00043805,00044260,00042725,00042346,00043118,00043897,00042659,00043210,00042569,00040338,00043016,00041704,00043975,00043159,00039829,00042410,00040081,00041223,00041800,00042192,00041685,00040140,00042206,00041698,00040888,00041807,00043238,00040753,00041327
00000013,00044232,00041972,00051390,00041972,0.53,0.59,00041689,00043428,00044260,00041850,00042155,00042554,00043897,00042659,00042840,00042179,00040338,00042925,00041704,00043975,00043052,00039732,00041987,00039788,00041223,00041800,00042192,00041419,00040140,00041970,00041698,00040888,00041666,00043075,00040753,00041327
00000014,00044008,00041851,00051124,00041851,0.53,0.59,00041689,00043332,00043839,00041850,00042155,00041734,00043897,00042659,00042840,00042179,00040271,00042919,00041704,00043769,00042820,00039732,00041784,00039788,00040922,00041800,00042192,00040821,00040071,00041784,00041557,00040606,00041666,00043075,00040753,00041327
