iteration,mean,best,worst,bsf,div,branch,mean_0,mean_1,mean_2,mean_3,mean_4,mean_5,mean_6,mean_7,mean_8,mean_9,mean_10,mean_11,mean_12,mean_13,mean_14,mean_15,mean_16,mean_17,mean_18,mean_19,mean_20,mean_21,mean_22,mean_23,mean_24,mean_25,mean_26,mean_27,mean_28,mean_29
00000001,00045915,00039184,00055968,00039151,0.96,0.74,00037424,00040933,00042384,00038445,00037554,00039421,00040186,00040784,00040036,00039917,00038207,00039781,00038554,00042653,00040617,00039864,00038548,00037494,00037115,00039060,00039025,00037431,00040247,00038096,00038700,00039080,00039970,00037770,00038594,00036668
00000002,00044491,00038151,00053437,00037971,0.94,0.75,00037424,00039730,00039998,00038379,00035650,00039421,00037669,00035343,00038765,00037817,00037970,00039654,00038554,00038822,00039771,00038327,00036763,00037494,00037115,00038938,00038983,00037352,00036376,00037905,00037833,00036218,00039110,00036509,00038594,00036668
00000003,00042200,00036469,00051137,00036468,0.86,0.64,00036763,00039299,00038484,00036648,00034834,00037640,00035874,00035206,00036836,00035529,00034785,00035996,00036622,00036866,00037840,00036005,00036332,00036384,00035662,00037964,00037845,00035792,00035653,00037495,00035393,00035684,00036951,00034717,00036298,00036668
00000004,00039395,00035828,00047646,00035808,0.65,0.57,00036422,00038299,00037179,00036174,00034476,00035225,00035221,00034420,00036649,00035447,00034100,00034767,00036323,00036324,00037473,00035451,00034709,00036012,00035662,00037016,00037345,00035258,00034079,00037207,00034775,00035348,00036438,00034717,00035619,00036117
00000005,00037521,00035365,00045019,00035364,0.43,0.56,00035536,00036983,00036292,00035674,00032910,00035120,00034389,00034329,00036403,00034999,00033869,00034292,00036281,00035682,00036924,00035451,00033582,00035893,00035337,00037016,00036835,00034967,00033973,00036899,00034444,00035219,00036351,00034549,00034825,00035925
00000006,00037188,00035104,00044824,00035103,0.43,0.57,00035405,00036983,00036292,00035674,00032910,00035120,00033987,00033865,00036403,00034999,00033067,00034117,00035889,00035682,00036924,00035360,00033582,00035210,00035337,00036629,00036062,00034967,00033378,00035210,00034169,00034858,00036351,00034299,00034634,00035746
00000007,00036981,00034958,00045145,00034957,0.40,0.58,00034977,00036983,00036292,00035403,00032910,00035120,00033987,00033857,00035992,00034999,00032681,00033989,00035637,00035682,00036924,00035360,00033575,00035210,00035337,00036629,00036062,00034509,00033375,00035004,00034020,00034858,00036015,00034299,00033509,00035529
00000008,00036639,00034772,00045287,00034772,0.37,0.59,00034977,00036879,00035922,00035208,00032421,00035120,00033987,00033470,00035992,00034784,00032681,00033989,00035484,00035682,00036924,00035332,00033415,00035210,00035337,00036629,00035887,00034509,00033375,00035004,00034020,00032123,00035801,00034138,00033509,00035361
00000009,00036655,00034719,00044947,00034719,0.41,0.58,00034977,00036879,00035837,00035208,00032421,00035120,00033987,00033462,00035992,00034784,00032637,00033989,00035484,00035682,00036924,00035332,00033415,00035105,00035337,00036629,00035887,00034509,00033375,00035004,00033553,00032123,00035355,00033917,00033509,00035140
00000010,00036785,00034624,00045181,00034623,0.41,0.58,00034871,00036879,00035800,00035044,00032089,00034822,00033987,00033462,00035992,00034784,00032637,00033989,00035148,00035158,00036924,00034910,00033068,00035105,00035337,00036629,00035887,00034509,00033375,00035004,00033553,00032123,00035144,00033828,00033509,00035140
00000011,00052861,00049152,00060569,00034623,0.44,0.58,00034871,00036879,00035800,00035044,00032089,00034822,00033987,00033462,00035992,00034784,00032637,00033989,00035148,00035158,00036924,00034910,00033068,00035105,00035337,00036629,00035887,00034509,00033375,00035004,00033553,00032123,00035144,00033828,00033509,00035140
