iteration,mean,best,worst,bsf,div,branch,mean_0,mean_1,mean_2,mean_3,mean_4,mean_5,mean_6,mean_7,mean_8,mean_9,mean_10,mean_11,mean_12,mean_13,mean_14,mean_15,mean_16,mean_17,mean_18,mean_19,mean_20,mean_21,mean_22,mean_23,mean_24,mean_25,mean_26,mean_27,mean_28,mean_29
00000001,00048396,00043962,00056438,00043253,0.91,0.00,00042796,00041352,00044831,00042910,00045587,00043490,00044592,00044376,00041559,00044753,00042304,00044251,00043355,00043993,00041171,00044066,00041988,00044289,00042618,00042889,00040988,00042077,00041047,00043400,00045164,00044509,00045517,00042496,00041702,00043540
00000002,00046495,00042509,00054244,00041885,0.86,0.00,00042316,00040405,00042606,00042908,00043822,00042414,00042496,00041079,00041045,00042957,00040406,00041776,00040853,00041711,00040717,00042650,00040434,00042970,00042004,00040757,00040493,00042077,00040235,00041852,00041362,00042864,00044836,00042496,00041448,00042571
00000003,00045373,00041412,00053215,00041037,0.84,0.00,00040922,00039787,00042387,00041725,00041828,00041100,00041477,00040490,00039601,00041394,00039241,00040308,00040853,00041418,00039947,00042147,00039497,00042231,00040655,00039987,00040095,00041333,00038982,00041155,00040662,00042864,00043220,00042463,00041260,00042081
00000004,00044643,00040719,00052343,00040201,0.82,0.00,00039831,00038337,00041669,00041055,00040888,00040908,00039155,00039151,00039601,00041033,00038607,00040166,00039785,00040424,00038957,00040674,00037895,00041320,00040655,00039564,00039834,00040581,00038008,00039611,00040017,00041999,00041686,00042065,00041048,00041531
00000005,00044169,00040119,00051651,00039727,0.81,0.00,00039310,00037630,00040714,00040251,00039674,00040504,00039155,00038453,00038939,00040241,00038607,00039618,00039785,00040424,00038317,00040674,00037757,00039943,00040655,00038863,00039343,00040202,00037823,00039586,00040017,00041382,00041686,00041970,00040864,00039429
00000006,00043456,00039575,00051423,00039326,0.78,0.00,00039116,00037630,00040714,00038948,00038723,00039259,00038844,00038453,00038742,00039090,00038607,00039102,00039613,00039706,00038075,00040338,00037740,00038764,00040371,00038863,00039343,00039944,00037128,00039482,00040017,00041382,00040639,00041508,00040462,00039203
00000007,00043202,00039337,00050503,00039052,0.77,0.00,00038867,00037519,00039680,00038948,00038328,00038876,00038167,00038365,00037706,00039090,00038607,00038544,00039221,00039706,00037551,00040338,00037740,00038764,00039664,00038759,00039016,00039944,00037013,00039482,00040017,00040726,00040639,00041292,00040417,00038597
00000008,00042945,00039039,00050746,00038824,0.77,0.00,00038429,00037519,00039680,00038948,00038120,00038876,00037851,00037703,00036634,00038754,00038411,00037910,00039221,00039527,00037365,00040338,00037625,00037572,00039664,00038759,00039016,00039570,00036478,00039482,00040017,00040726,00040485,00041106,00040339,00038597
00000009,00042558,00038855,00049984,00038583,0.74,0.00,00038157,00037453,00039380,00038776,00038003,00038367,00037851,00037649,00036071,00038578,00038411,00037657,00039221,00039266,00036351,00039949,00037625,00037525,00039664,00038458,00039014,00039030,00036478,00039223,00039062,00040512,00040485,00040968,00040052,00038271
00000010,00042368,00038533,00050479,00038388,0.75,0.00,00038157,00037453,00038574,00038546,00038003,00037782,00037663,00037649,00036071,00038247,00038328,00037657,00039221,00039027,00035909,00039514,00037625,00037525,00039537,00038388,00038935,00038783,00036478,00039223,00039045,00039503,00040485,00040402,00040052,00037878
00000011,00042381,00038423,00050038,00038229,0.75,0.00,00038078,00037453,00038574,00038481,00037643,00037588,00037663,00037649,00036071,00038196,00038328,00037606,00039221,00039027,00035763,00038679,00037558,00037525,00039537,00037498,00038762,00038530,00036254,00038749,00038379,00039503,00040255,00040402,00040052,00037870
00000012,00042235,00038245,00049428,00038089,0.74,0.00,00038078,00037361,00038574,00038233,00037377,00037588,00037620,00037649,00036071,00038196,00037843,00037428,00038859,00039027,00035646,00038425,00037558,00037525,00039045,00037396,00038744,00038208,00036254,00038355,00038329,00039503,00040255,00039882,00039933,00037728
00000013,00042107,00038105,00049298,00037967,0.73,0.00,00037725,00037361,00038180,00038041,00037377,00037221,00037372,00037649,00036071,00038029,00037838,00037377,00038859,00039027,00035646,00038425,00037488,00037489,00039045,00037396,00038100,00038061,00036254,00038323,00038041,00039503,00040255,00039536,00039933,00037404
00000014,00041834,00037998,00049841,00037839,0.72,0.00,00037434,00037361,00038180,00037709,00037217,00036849,00036845,00037157,00036041,00037816,00037838,00037377,00038774,00038805,00035646,00038228,00037488,00037489,00039045,00037396,00038100,00038061,00035793,00038323,00038041,00039503,00040255,00039272,00039738,00037404
00000015,00041856,00037880,00049210,00037773,0.72,0.00,00037434,00037361,00037995,00037709,00037217,00036849,00036835,00037157,00036041,00037661,00037838,00037377,00038774,00038805,00035646,00038228,00037270,00037489,00038710,00036667,00038100,00038061,00035764,00038319,00038041,00039460,00040255,00039147,00039600,00037404
00000016,00041871,00037859,00049297,00037649,0.73,0.00,00037077,00037361,00037995,00036819,00037217,00035798,00036835,00036849,00036041,00037661,00037838,00037110,00038656,00038805,00035646,00038228,00037150,00037489,00038683,00036633,00038100,00038061,00035764,00038233,00037953,00039196,00040255,00039147,00039600,00037281
00000017,00041838,00037747,00049485,00037538,0.74,0.00,00037077,00036718,00037995,00036819,00036545,00035798,00036835,00036849,00036041,00037470,00037838,00037110,00038621,00038805,00035646,00038228,00037150,00037489,00038226,00036633,00038100,00038061,00035463,00037835,00037953,00039196,00040022,00039055,00039600,00036963
00000018,00041768,00037656,00049588,00037404,0.74,0.00,00037077,00036718,00037995,00036006,00036526,00035798,00036738,00036849,00036041,00037470,00037434,00037110,00038621,00038805,00035614,00038228,00037044,00037489,00037694,00036633,00038018,00038061,00035403,00037835,00037452,00039196,00039258,00038887,00039411,00036715
00000019,00041635,00037431,00048895,00037325,0.74,0.00,00037077,00036022,00037786,00036006,00036526,00035733,00036738,00036741,00036041,00037461,00037434,00037075,00038382,00038805,00035614,00037662,00037044,00037331,00037669,00036452,00038018,00038061,00035403,00037835,00037452,00039196,00039196,00038887,00039411,00036715
00000020,00041569,00037386,00049294,00037283,0.74,0.00,00037077,00036022,00037786,00036006,00036406,00035733,00036738,00036715,00036041,00037390,00037434,00037075,00038382,00038782,00035490,00037454,00036911,00037331,00037669,00036452,00038018,00038041,00035403,00037534,00037452,00039196,00039196,00038764,00039304,00036715
00000021,00041311,00037298,00049588,00037237,0.71,0.00,00037033,00036022,00037786,00036006,00036231,00035733,00036738,00036546,00036041,00037390,00037434,00036882,00038183,00038582,00035440,00037433,00036911,00037331,00037669,00036452,00038018,00038041,00035403,00037357,00037452,00039196,00039196,00038764,00039147,00036715
00000022,00041531,00037302,00049757,00037130,0.73,0.00,00037033,00036022,00037786,00036006,00036231,00035733,00036738,00035971,00035855,00037390,00037193,00036882,00037861,00038582,00035400,00036626,00036886,00037331,00037669,00036452,00038018,00037322,00035403,00037107,00037452,00039196,00039196,00038764,00039147,00036658
00000023,00041297,00037196,00049394,00037065,0.72,0.00,00037033,00035942,00037786,00036006,00036231,00035483,00036738,00035971,00035855,00037346,00037193,00036882,00037861,00038582,00035012,00036039,00036886,00037331,00037669,00036452,00038018,00037322,00035403,00037107,00037452,00039196,00039196,00038692,00039147,00036129
00000024,00041049,00037067,00048551,00037016,0.71,0.00,00036829,00035942,00037588,00036006,00036137,00035483,00036738,00035971,00035605,00037346,00037193,00036882,00037861,00038582,00035012,00036039,00036746,00037331,00037669,00036398,00037607,00037322,00035403,00037048,00037447,00039196,00039196,00038692,00039084,00036129
00000025,00041186,00037000,00049050,00036930,0.72,0.00,00036829,00035942,00037588,00036006,00036137,00035470,00036378,00035971,00035605,00037346,00037092,00036882,00037763,00038582,00035012,00036039,00036667,00037135,00037396,00035979,00037607,00037322,00035379,00036374,00037384,00039196,00038926,00038692,00039084,00036129
00000026,00041039,00036937,00048709,00036840,0.71,0.00,00036829,00035942,00037588,00036006,00036137,00035470,00036378,00035971,00035605,00037346,00037092,00036882,00037621,00038582,00035012,00036039,00036667,00037135,00037396,00035979,00036814,00036966,00035379,00036271,00037384,00039062,00037990,00038692,00038865,00036129
00000027,00041147,00036889,00049505,00036779,0.71,0.00,00036829,00035935,00037588,00035805,00036137,00035469,00036378,00035971,00035605,00037346,00037092,00036882,00037547,00038351,00035012,00036039,00036140,00037135,00037396,00035919,00036577,00036966,00035379,00035936,00037384,00039062,00037990,00038692,00038778,00036047
00000028,00041134,00036813,00048816,00036720,0.71,0.00,00036829,00035935,00037588,00035805,00036137,00035469,00036329,00035971,00035605,00037346,00037092,00036882,00037547,00038154,00035012,00036039,00036140,00036918,00037114,00035806,00036577,00036966,00035379,00035650,00037289,00039062,00037990,00038692,00038440,00035860
00000029,00040869,00036859,00048574,00036689,0.70,0.00,00036829,00035754,00037588,00035805,00036137,00035325,00036199,00035971,00035605,00037346,00037092,00036882,00037547,00038154,00034997,00035662,00036140,00036918,00037114,00035798,00036577,00036966,00035379,00035563,00037289,00039062,00037990,00038692,00038440,00035860
00000030,00041003,00036766,00048464,00036617,0.71,0.00,00036829,00035754,00037588,00035805,00036137,00035325,00036199,00035971,00035605,00036822,00036489,00036680,00037529,00038154,00034997,00035662,00036140,00036918,00037033,00035798,00036577,00036966,00035379,00035563,00037289,00039062,00037990,00038692,00037743,00035824
00000031,00040751,00036659,00048703,00036585,0.70,0.00,00036829,00035754,00037588,00035805,00036137,00035325,00036199,00035905,00035605,00036822,00036489,00036680,00037529,00038154,00034997,00035662,00036066,00036452,00037033,00035798,00036577,00036804,00035379,00035563,00037289,00039062,00037940,00038692,00037743,00035684
00000032,00040857,00036652,00048289,00036555,0.70,0.00,00036829,00035754,00037588,00035805,00036137,00035325,00036199,00035905,00035605,00036822,00036489,00036680,00037529,00038080,00034997,00035662,00036066,00036452,00037033,00035720,00036536,00036804,00035297,00034972,00037289,00039062,00037940,00038692,00037743,00035667
00000033,00040738,00036572,00048560,00036483,0.70,0.00,00036784,00035754,00037588,00035377,00036137,00035325,00036199,00035905,00035605,00036822,00036489,00036664,00037529,00037912,00034997,00035662,00036066,00036452,00037033,00035720,00036536,00036804,00035297,00034913,00037289,00038839,00037431,00038371,00037352,00035667
00000034,00040597,00036525,00048881,00036469,0.69,0.00,00036757,00035754,00037588,00035377,00036137,00035325,00036199,00035905,00035605,00036822,00036415,00036664,00037529,00037912,00034997,00035662,00036066,00036387,00037033,00035720,00036277,00036804,00035297,00034913,00037289,00038839,00037431,00038371,00037352,00035667
00000035,00040664,00036495,00048011,00036433,0.69,0.00,00036757,00035754,00037588,00035377,00036137,00035325,00036199,00035840,00035605,00036822,00036340,00036649,00037529,00037912,00034997,00035662,00035995,00036387,00037033,00035720,00036277,00036433,00035233,00034913,00037289,00038839,00037431,00038056,00037247,00035667
00000036,00040602,00036497,00047941,00036376,0.70,0.00,00036757,00035754,00036944,00035216,00036137,00035325,00036199,00035840,00035605,00036822,00036162,00036649,00037529,00037912,00034997,00035440,00035796,00036267,00037033,00035720,00036277,00036265,00035193,00034913,00037289,00038839,00037431,00038056,00037247,00035667
00000037,00040555,00036520,00048977,00036337,0.69,0.00,00036672,00035754,00036944,00035216,00036137,00035325,00036199,00035840,00035605,00036786,00036162,00036649,00037529,00037912,00034997,00035440,00035796,00036267,00037033,00035076,00036277,00036265,00035193,00034913,00037289,00038839,00037431,00037676,00037247,00035667
00000038,00040651,00036497,00048548,00036317,0.70,0.00,00036672,00035754,00036713,00035216,00036137,00035325,00036199,00035840,00035605,00036786,00036162,00036649,00037529,00037912,00034997,00035440,00035796,00036267,00037033,00035076,00036277,00035896,00035193,00034913,00037289,00038839,00037431,00037676,00037247,00035667
00000039,00040455,00036438,00048605,00036269,0.69,0.00,00036672,00035744,00036713,00035216,00036137,00035325,00036199,00035840,00035605,00036559,00036162,00036649,00037529,00037912,00034997,00035440,00035757,00036267,00037033,00035046,00036277,00035896,00035089,00034880,00037221,00038839,00037069,00037103,00037247,00035667
00000040,00040435,00036344,00048374,00036246,0.71,0.00,00036672,00035744,00036713,00035216,00036137,00035226,00036199,00035840,00035605,00036559,00035914,00036649,00037529,00037802,00034997,00035440,00035757,00036267,00037033,00035046,00036277,00035896,00035089,00034880,00037108,00038839,00037069,00037103,00037247,00035551
00000041,00040365,00036318,00048166,00036217,0.70,0.00,00036672,00035744,00036713,00035216,00036037,00035170,00036199,00035840,00035605,00036559,00035914,00036087,00037529,00037802,00034997,00035440,00035757,00036267,00037033,00035046,00036277,00035896,00035089,00034713,00037108,00038839,00037069,00037103,00037247,00035551
00000042,00040170,00036248,00048654,00036197,0.68,0.00,00036615,00035744,00036713,00035216,00036037,00035170,00036199,00035840,00035605,00036559,00035914,00035990,00037529,00037755,00034997,00035440,00035757,00036267,00037033,00035046,00036277,00035896,00034835,00034713,00037108,00038839,00036937,00037103,00037247,00035551
00000043,00040106,00036222,00047826,00036165,0.70,0.00,00036219,00035744,00036713,00035216,00036037,00035170,00036199,00035706,00035605,00036559,00035914,00035990,00037529,00037755,00034997,00035440,00035757,00035837,00037033,00035046,00036277,00035896,00034835,00034713,00037108,00038839,00036937,00037103,00037247,00035551
00000044,00040136,00036196,00047887,00036130,0.67,0.00,00036219,00035744,00036713,00035216,00036037,00034861,00036199,00035706,00035605,00036559,00035662,00035728,00037529,00037755,00034997,00035440,00035757,00035837,00037033,00035046,00036220,00035714,00034835,00034713,00037108,00038839,00036937,00037103,00037247,00035551
00000045,00040422,00036254,00048858,00036093,0.69,0.00,00036219,00035744,00036713,00035216,00036037,00034740,00036199,00035706,00035605,00036559,00035662,00035688,00037465,00037755,00034866,00035440,00035757,00035837,00037033,00035046,00036220,00035714,00034209,00034581,00037108,00038839,00036937,00037103,00037247,00035551
