iteration,mean,best,worst,bsf,div,branch,mean_0,mean_1,mean_2,mean_3,mean_4,mean_5,mean_6,mean_7,mean_8,mean_9,mean_10,mean_11,mean_12,mean_13,mean_14,mean_15,mean_16,mean_17,mean_18,mean_19,mean_20,mean_21,mean_22,mean_23,mean_24,mean_25,mean_26,mean_27,mean_28,mean_29
00000001,00055396,00048635,00063932,00048634,0.97,0.83,00048832,00052937,00049608,00047837,00048351,00048967,00047750,00047952,00047990,00049906,00045608,00046438,00050406,00049955,00050605,00047571,00051249,00049619,00046795,00046987,00048492,00050501,00048239,00047695,00048145,00048209,00047866,00049778,00046583,00048163
00000002,00053448,00047027,00062356,00046866,0.95,0.65,00045959,00050227,00047940,00047413,00048351,00047481,00044914,00045114,00046166,00049906,00045608,00043143,00046794,00048201,00049545,00047571,00047853,00047840,00046786,00044584,00048492,00048568,00047029,00043234,00045780,00044988,00047032,00046026,00046583,00046858
00000003,00051047,00045901,00059064,00045808,0.85,0.56,00043577,00048541,00047519,00045543,00048351,00046163,00044914,00043312,00045348,00048625,00045608,00042541,00046794,00047594,00049123,00046007,00047340,00047840,00042849,00041557,00046031,00048568,00045103,00042696,00043616,00043828,00047032,00044798,00046583,00046858
00000004,00048186,00044868,00056789,00044868,0.61,0.56,00043557,00047535,00047024,00044804,00047531,00043768,00044345,00042866,00044479,00048625,00044342,00041771,00045848,00044882,00048676,00045553,00045165,00047299,00041182,00040834,00045823,00047113,00044118,00042360,00042204,00043379,00045767,00044308,00046057,00044838
00000005,00047309,00044483,00055028,00044483,0.56,0.55,00043444,00046730,00046693,00044258,00047076,00043768,00044345,00042828,00043641,00047955,00044342,00041362,00045484,00044882,00048522,00044760,00045165,00047053,00040622,00040546,00045024,00046739,00043664,00042285,00041391,00043379,00045767,00043663,00044983,00044125
00000006,00046773,00044009,00055551,00044009,0.53,0.56,00043444,00046730,00046223,00042871,00046874,00043768,00044345,00042828,00043641,00047445,00043308,00041362,00043469,00043908,00047481,00044134,00045165,00044671,00040546,00040404,00045024,00046650,00043071,00042285,00041340,00042996,00045507,00042315,00044983,00043490
00000007,00046207,00043779,00054635,00043778,0.47,0.56,00043288,00046297,00045673,00042871,00046579,00043768,00044345,00042353,00043641,00047445,00043308,00041362,00043105,00043474,00047481,00043478,00045165,00044478,00040229,00040404,00044545,00046184,00042517,00041226,00041340,00042996,00045110,00042315,00044895,00043490
00000008,00046239,00043664,00055023,00043649,0.51,0.56,00043288,00044903,00045484,00042871,00046579,00042919,00043932,00042178,00043641,00047445,00043308,00041362,00043105,00043474,00047481,00043107,00045165,00044412,00040229,00040404,00044545,00046184,00042517,00041144,00041340,00042996,00044854,00042244,00044895,00043490
00000009,00046126,00043574,00054385,00043573,0.51,0.57,00043288,00044248,00045238,00042871,00046579,00042919,00043932,00042178,00043637,00047445,00043308,00041362,00043056,00043474,00047481,00043107,00044703,00044185,00040229,00040404,00044422,00046184,00042517,00041144,00041071,00042996,00044642,00042244,00044895,00043454
00000010,00046071,00043491,00055380,00043491,0.50,0.57,00043162,00044248,00045193,00042871,00046087,00042390,00043932,00042178,00043608,00047445,00043308,00041362,00043056,00043474,00047481,00043093,00044703,00043990,00040229,00040404,00044073,00046178,00041855,00041144,00041071,00042996,00044642,00042244,00044862,00043454
00000011,00065273,00061871,00073045,00043491,0.49,0.57,00043162,00044248,00045193,00042871,00046087,00042390,00043932,00042178,00043608,00047445,00043308,00041362,00043056,00043474,00047481,00043093,00044703,00043990,00040229,00040404,00044073,00046178,00041855,00041144,00041071,00042996,00044642,00042244,00044862,00043454
00000012,00057999,00051722,00067219,00051721,0.90,0.68,00053930,00051582,00049577,00052537,00052489,00053190,00051191,00050833,00054630,00053019,00050185,00051774,00053489,00052414,00054893,00051183,00048648,00049346,00049772,00050090,00052472,00052450,00049932,00050396,00052948,00051225,00051631,00052124,00049834,00053868
00000013,00054987,00049782,00063600,00049768,0.83,0.61,00051336,00048353,00049559,00048971,00051918,00051515,00049433,00049107,00048797,00049809,00046190,00051252,00049448,00051796,00053114,00049770,00045839,00047193,00049772,00049575,00051018,00049920,00049050,00049498,00051725,00048490,00050926,00049988,00047499,00052180
00000014,00053610,00048516,00061948,00048516,0.78,0.56,00049759,00047294,00048794,00048860,00048336,00051515,00049022,00048330,00047887,00047193,00045743,00049840,00047814,00051417,00050509,00048633,00045206,00047193,00049576,00047886,00048474,00049162,00048883,00048339,00050141,00047428,00048082,00048835,00047159,00048171
00000015,00052411,00047816,00060547,00047810,0.76,0.56,00048981,00047294,00046993,00048232,00047159,00050899,00048646,00048105,00047887,00045677,00045252,00049840,00046225,00050749,00048555,00047536,00045206,00045967,00048917,00047121,00048474,00047756,00048671,00048303,00049117,00047183,00046476,00048458,00046634,00047996
00000016,00051702,00047118,00059964,00047114,0.74,0.57,00048309,00047294,00046929,00046980,00043432,00050533,00048027,00047604,00047116,00045677,00045003,00049648,00046225,00048241,00048276,00046821,00045206,00045796,00046367,00046837,00048474,00047286,00047940,00047429,00048683,00046805,00045752,00046798,00045999,00047955
00000017,00051182,00046784,00059264,00046760,0.72,0.57,00048309,00046894,00046590,00046460,00043160,00048851,00047576,00047561,00046504,00045677,00044795,00049648,00046225,00047299,00048126,00046483,00044453,00045424,00046063,00046837,00048147,00046968,00047594,00047429,00047990,00046688,00045752,00046300,00045999,00047003
00000018,00050814,00046321,00059534,00046320,0.70,0.57,00047778,00046833,00046149,00045501,00043075,00048455,00047576,00046828,00045848,00045470,00044795,00049083,00046225,00047221,00047883,00046383,00044453,00045096,00046043,00046267,00048147,00046561,00047594,00047170,00047106,00044590,00045752,00046300,00043754,00045684
00000019,00050396,00046075,00058676,00045998,0.68,0.57,00047778,00046233,00045287,00045115,00043075,00047561,00047576,00046828,00045702,00045470,00044795,00049083,00045947,00046149,00047883,00045655,00044453,00045096,00046043,00046267,00047115,00046561,00047435,00046204,00046814,00044590,00045206,00044856,00043513,00045653
00000020,00050075,00045669,00058918,00045654,0.68,0.56,00047479,00046047,00044737,00045091,00042233,00046631,00047576,00046828,00045702,00045470,00044475,00048615,00045947,00045861,00047883,00045655,00044453,00045096,00045866,00046267,00046236,00046561,00046447,00045442,00046714,00044087,00045206,00042882,00042504,00045653
00000021,00049869,00045516,00058260,00045503,0.68,0.57,00047479,00045947,00044570,00045091,00041623,00046102,00047576,00046828,00045702,00045317,00044324,00048188,00045706,00045861,00047883,00045447,00044453,00044755,00045502,00046267,00045954,00046131,00046398,00045442,00046415,00043997,00045206,00042872,00042405,00045653
00000022,00066547,00061326,00075479,00045503,0.67,0.57,00047479,00045947,00044570,00045091,00041623,00046102,00047576,00046828,00045702,00045317,00044324,00048188,00045706,00045861,00047883,00045447,00044453,00044755,00045502,00046267,00045954,00046131,00046398,00045442,00046415,00043997,00045206,00042872,00042405,00045653
00000023,00058238,00052103,00066730,00052103,0.91,0.68,00053524,00052362,00052034,00051462,00050990,00052919,00052825,00052862,00050185,00048803,00050316,00053338,00051830,00049786,00053059,00054521,00050957,00055159,00050263,00050606,00054837,00052980,00049446,00052755,00051914,00053762,00053042,00052138,00054111,00050311
00000024,00055061,00049704,00063240,00049701,0.81,0.60,00051831,00051145,00049912,00048378,00048489,00049235,00052192,00049953,00048756,00046620,00049660,00050104,00048804,00048905,00051730,00049764,00048924,00050918,00047812,00049057,00053191,00049471,00047113,00049592,00048926,00049812,00051386,00050096,00050850,00048418
00000025,00053429,00048924,00061718,00048906,0.77,0.55,00050310,00050789,00049100,00048378,00047660,00047726,00051234,00049831,00048571,00045488,00048654,00049516,00048804,00048305,00051730,00048574,00048876,00049552,00047137,00048430,00051860,00048571,00047113,00048953,00047859,00048175,00051386,00048639,00048374,00047612
00000026,00052463,00047981,00060001,00047981,0.75,0.58,00048559,00047965,00048283,00047652,00047660,00047177,00049193,00049266,00047274,00044893,00048262,00048733,00046601,00047367,00051452,00048383,00047430,00049239,00046992,00046430,00050092,00047613,00047113,00048953,00047014,00047570,00050675,00047510,00047915,00046173
00000027,00051637,00047446,00059585,00047400,0.70,0.56,00048559,00047273,00048098,00047576,00047386,00047085,00048624,00049266,00045777,00044197,00047231,00047271,00044240,00047057,00050666,00048227,00047430,00048556,00046992,00045715,00048757,00047354,00046945,00048174,00047014,00045878,00050675,00046740,00047451,00045807
00000028,00051034,00046864,00059383,00046836,0.69,0.57,00048559,00046618,00047214,00046610,00047069,00047085,00047792,00048323,00045275,00043762,00047147,00046527,00043682,00046593,00049583,00047723,00047430,00048252,00046992,00043962,00047899,00047100,00046945,00047367,00046106,00045259,00050675,00045826,00046550,00045160
00000029,00050436,00046313,00058958,00046265,0.67,0.57,00048559,00045891,00045294,00046231,00046414,00045782,00047095,00047386,00045088,00043318,00047147,00045881,00042847,00046448,00048658,00047723,00046131,00047604,00046307,00042741,00047417,00046442,00046278,00046584,00046106,00044774,00050675,00045629,00046358,00045160
00000030,00049757,00045969,00057865,00045962,0.65,0.56,00048559,00045505,00045201,00045895,00046286,00045431,00047077,00047386,00045088,00043318,00046798,00045812,00042480,00046233,00048658,00047723,00045398,00046627,00045632,00042146,00046580,00046359,00045907,00046100,00046106,00043826,00050440,00045138,00046358,00044798
00000031,00049457,00045775,00057456,00045775,0.65,0.57,00048521,00044735,00045201,00045477,00046258,00045279,00046928,00047290,00045072,00043318,00046373,00045273,00042480,00046128,00048082,00047484,00045398,00046627,00045632,00041862,00045983,00046359,00045907,00046100,00045904,00043826,00049474,00045138,00046358,00044798
00000032,00049198,00045575,00057917,00045574,0.63,0.57,00048521,00044735,00045201,00045477,00046258,00045279,00046928,00047290,00044486,00043014,00046309,00043740,00041793,00046128,00047949,00047484,00045398,00046293,00044809,00041862,00045733,00046359,00045319,00046100,00045486,00043826,00049474,00044953,00046358,00044683
00000033,00065748,00060953,00074617,00045574,0.63,0.57,00048521,00044735,00045201,00045477,00046258,00045279,00046928,00047290,00044486,00043014,00046309,00043740,00041793,00046128,00047949,00047484,00045398,00046293,00044809,00041862,00045733,00046359,00045319,00046100,00045486,00043826,00049474,00044953,00046358,00044683
00000034,00057713,00051317,00066004,00051317,0.88,0.69,00051062,00051807,00054761,00052674,00052344,00053573,00049176,00054917,00053009,00050542,00050477,00054032,00049117,00050586,00051853,00047698,00049577,00051830,00048791,00049044,00048762,00050245,00049325,00049097,00053506,00051032,00051525,00053298,00053327,00052527
00000035,00054390,00049282,00062010,00049282,0.81,0.61,00049267,00047015,00052496,00049560,00050724,00049995,00047108,00051779,00050745,00048944,00049254,00051198,00048909,00048329,00051166,00046716,00048327,00050620,00047695,00048233,00045840,00047430,00047310,00048690,00051103,00049167,00048345,00049801,00051533,00051161
00000036,00053014,00048397,00061461,00048359,0.74,0.56,00048855,00045055,00050759,00048341,00050625,00048339,00047108,00049742,00048776,00048331,00048151,00048275,00048631,00047382,00051166,00045969,00047679,00050620,00047695,00047001,00044860,00046532,00046217,00047989,00050514,00048950,00047614,00049141,00050417,00050053
00000037,00051996,00047534,00060349,00047507,0.70,0.57,00046906,00044373,00048808,00047550,00048673,00047952,00046649,00048823,00047976,00048309,00048119,00047325,00048553,00047347,00050426,00045287,00047327,00050620,00047342,00047001,00044357,00045696,00045893,00046938,00046177,00047894,00046469,00048345,00049645,00048448
00000038,00051051,00047018,00059399,00046995,0.67,0.57,00046696,00043224,00047613,00046083,00047940,00047952,00046216,00048152,00047976,00047125,00048119,00047325,00048283,00046313,00050426,00044267,00047115,00049849,00046600,00046452,00044181,00045506,00045773,00045477,00046177,00047894,00046394,00047463,00049220,00048066
00000039,00050518,00046660,00058714,00046647,0.66,0.57,00046565,00043140,00046613,00045970,00047660,00047817,00046216,00047382,00047513,00046466,00047988,00047325,00048283,00046042,00050426,00044267,00046753,00048398,00046107,00046452,00043595,00044678,00045773,00044811,00045677,00047894,00046230,00046819,00048803,00047751
00000040,00049960,00046149,00057756,00046148,0.65,0.57,00046565,00043140,00045230,00045970,00047023,00046334,00045853,00046650,00046113,00046044,00047594,00047325,00048020,00045755,00049976,00044267,00046592,00047934,00044457,00046452,00043595,00044093,00044798,00043065,00045677,00047654,00046037,00046819,00047948,00047486
00000041,00049855,00045864,00058542,00045837,0.63,0.56,00046565,00043140,00045126,00045958,00046595,00044403,00045555,00046192,00045929,00045571,00047594,00047035,00047846,00045755,00049976,00043975,00046592,00047934,00044435,00046452,00043595,00044093,00043901,00042807,00044553,00047133,00045751,00045979,00047612,00047087
00000042,00049390,00045580,00057942,00045574,0.62,0.57,00046303,00043140,00044454,00045958,00046439,00044079,00045434,00045800,00045204,00045305,00047594,00046782,00046942,00045530,00049976,00043652,00046542,00047155,00044105,00045912,00043595,00044093,00043725,00042807,00044139,00046675,00045751,00045951,00047109,00047087
00000043,00048922,00045328,00056523,00045327,0.61,0.57,00046276,00043140,00044179,00045958,00046439,00043040,00044676,00045526,00045204,00045255,00047515,00045771,00046942,00045530,00049976,00043330,00046202,00046787,00043895,00045583,00043595,00044093,00043725,00042807,00044139,00046675,00044357,00045951,00047109,00046164
00000044,00066532,00061570,00075166,00045327,0.60,0.56,00046276,00043140,00044179,00045958,00046439,00043040,00044676,00045526,00045204,00045255,00047515,00045771,00046942,00045530,00049976,00043330,00046202,00046787,00043895,00045583,00043595,00044093,00043725,00042807,00044139,00046675,00044357,00045951,00047109,00046164
00000045,00057755,00051542,00066140,00051541,0.86,0.68,00052439,00050842,00049799,00050873,00051716,00051289,00048959,00053218,00052728,00052123,00051398,00053345,00052621,00052705,00052438,00050412,00052456,00052318,00048011,00052253,00052160,00051871,00052024,00050314,00050919,00051532,00049840,00050355,00051840,00053450
00000046,00054626,00049751,00063568,00049727,0.79,0.61,00050662,00050842,00049519,00049708,00051138,00050014,00047536,00051008,00048089,00048435,00048996,00051948,00051276,00049889,00052331,00048789,00048811,00050871,00046229,00050198,00051676,00050655,00049871,00048659,00047841,00050166,00046121,00048697,00049225,00052619
