iteration,mean,best,worst,bsf,div,branch,mean_0,mean_1,mean_2,mean_3,mean_4,mean_5,mean_6,mean_7,mean_8,mean_9,mean_10,mean_11,mean_12,mean_13,mean_14,mean_15,mean_16,mean_17,mean_18,mean_19,mean_20,mean_21,mean_22,mean_23,mean_24,mean_25,mean_26,mean_27,mean_28,mean_29
00000001,00053001,00047432,00061396,00047418,0.98,0.75,00048225,00047683,00046505,00048324,00047509,00048545,00045185,00047350,00046735,00048576,00047216,00047338,00047986,00046273,00046824,00047499,00045704,00047244,00046523,00047372,00048120,00046236,00048098,00047827,00046082,00048251,00048516,00048099,00047463,00049260
00000002,00051849,00046334,00060564,00046184,0.97,0.78,00046589,00045186,00044952,00046545,00046962,00047477,00043753,00046833,00046735,00048576,00046880,00045546,00046109,00045354,00046824,00046975,00045704,00045442,00043826,00046337,00045758,00045304,00045130,00046986,00046082,00045733,00046863,00047718,00047084,00046278
00000003,00050276,00045104,00058321,00045059,0.95,0.67,00045519,00042943,00043563,00044528,00046610,00044412,00041846,00045344,00046469,00046759,00045240,00043564,00044895,00043085,00045932,00046372,00045116,00044617,00043826,00045826,00044282,00043235,00045130,00046079,00046063,00045692,00045286,00047562,00045873,00046124
00000004,00048308,00044045,00055808,00044024,0.87,0.59,00044348,00041991,00042702,00044223,00045245,00043836,00041224,00044361,00044956,00045892,00044727,00041449,00044110,00041894,00045153,00044469,00044682,00044041,00043112,00045454,00043351,00043235,00044799,00043305,00043700,00044935,00044302,00045960,00045143,00044145
00000005,00045961,00043503,00052971,00043500,0.60,0.56,00043414,00041991,00042278,00044132,00045078,00043836,00041174,00043640,00044803,00045554,00043917,00041449,00043760,00041824,00043857,00043680,00044409,00043060,00042806,00044619,00042741,00043076,00043582,00041820,00043420,00043959,00043686,00045557,00044487,00043415
00000006,00045238,00043110,00052186,00043109,0.52,0.58,00042633,00041991,00042231,00044123,00043193,00043629,00040993,00043504,00043586,00045554,00042915,00041119,00042636,00041635,00043829,00043676,00043918,00042787,00042806,00044017,00042741,00042759,00043039,00041572,00043230,00043830,00043428,00045077,00043516,00043322
00000007,00044811,00042827,00051137,00042827,0.49,0.61,00042622,00041704,00041762,00043697,00042989,00043577,00040993,00043449,00043300,00045554,00042840,00040965,00042636,00041635,00043522,00043512,00042612,00041665,00042794,00043646,00042153,00042718,00043039,00041552,00043054,00043325,00043230,00044748,00042807,00042718
00000008,00044513,00042631,00051155,00042630,0.49,0.60,00042310,00041424,00041115,00043697,00042496,00043577,00040993,00043151,00043300,00045268,00042152,00040965,00042372,00041635,00043139,00043512,00042612,00041293,00042794,00043520,00042153,00042718,00043039,00041007,00042909,00043325,00042975,00043964,00042807,00042695
00000009,00044262,00042478,00051252,00042478,0.47,0.60,00042195,00041309,00040929,00043573,00042496,00043577,00040993,00042756,00043219,00044773,00042152,00040794,00042018,00041635,00042635,00043512,00042612,00041293,00042794,00043338,00042153,00041580,00043039,00041007,00042497,00043182,00042917,00043956,00042742,00042674
00000010,00044229,00042306,00051821,00042306,0.48,0.59,00042195,00041309,00040929,00043354,00042293,00043577,00040993,00042580,00043219,00044773,00041884,00040794,00041885,00041635,00042564,00042945,00042531,00041293,00042794,00042426,00041490,00041580,00043039,00040640,00042497,00043182,00042009,00043406,00042742,00042628
00000011,00061069,00057961,00067872,00042306,0.54,0.59,00042195,00041309,00040929,00043354,00042293,00043577,00040993,00042580,00043219,00044773,00041884,00040794,00041885,00041635,00042564,00042945,00042531,00041293,00042794,00042426,00041490,00041580,00043039,00040640,00042497,00043182,00042009,00043406,00042742,00042628
00000012,00055487,00051074,00063428,00050203,0.92,0.88,00052535,00048962,00049025,00049719,00050226,00050519,00049426,00050760,00049518,00051679,00051902,00049893,00048591,00050552,00050111,00050933,00049443,00049308,00050772,00048861,00049035,00048915,00049739,00050390,00050484,00050353,00049965,00050577,00051633,00052264
00000013,00052166,00047377,00060071,00046418,0.95,1.22,00047465,00047329,00045202,00046427,00047181,00046178,00046172,00047072,00045783,00047995,00047064,00046352,00043485,00046372,00047458,00044642,00046863,00048242,00047776,00044184,00046800,00045367,00044965,00045968,00044094,00048531,00046259,00047335,00048117,00045868
00000014,00050443,00046212,00057722,00045510,0.95,1.40,00046023,00046282,00044598,00046427,00047181,00045439,00044803,00046885,00044036,00047728,00046515,00045310,00043485,00046372,00046626,00044095,00044944,00046123,00045261,00044184,00046187,00045367,00044649,00045195,00044094,00045628,00044518,00045707,00046918,00044735
00000015,00049531,00045433,00056924,00044656,0.93,1.52,00044653,00046282,00043253,00044880,00045489,00045439,00044803,00046115,00044036,00045556,00045938,00045084,00043485,00045038,00044771,00043640,00044294,00045606,00044485,00043785,00044344,00045367,00044161,00044993,00042767,00044388,00044518,00044177,00044525,00043813
00000016,00049259,00044904,00056601,00044044,0.93,1.56,00044653,00046255,00042202,00042638,00045489,00045400,00044528,00043432,00043602,00044484,00044577,00043897,00041984,00045038,00044771,00043640,00042770,00043936,00044188,00043785,00044261,00045367,00044161,00043249,00041838,00044388,00044518,00044176,00044302,00043813
00000017,00048951,00044653,00056612,00043580,0.92,1.55,00043926,00045465,00041585,00042638,00045464,00042805,00044528,00043432,00043602,00044484,00044107,00042850,00041506,00044961,00044219,00043553,00042770,00043936,00044188,00042154,00043222,00045367,00043545,00043249,00041838,00043947,00043683,00044176,00043175,00043025
00000018,00048667,00044664,00056704,00043463,0.92,1.53,00043926,00045465,00041585,00042638,00045464,00042805,00044249,00043432,00043602,00044484,00044107,00042850,00041506,00044961,00044219,00042408,00042770,00043498,00042865,00042154,00043222,00045367,00043446,00043249,00041838,00043835,00043683,00044176,00043068,00043025
00000019,00048282,00044173,00055552,00043127,0.91,1.51,00041693,00045465,00041585,00042638,00044772,00042805,00043864,00043432,00043602,00042408,00043537,00042850,00041506,00044352,00043739,00042408,00042198,00043498,00042865,00042154,00043079,00044868,00043436,00042094,00041838,00043733,00043683,00044176,00043068,00042481
00000020,00048322,00044059,00055894,00042986,0.91,1.49,00041693,00045465,00041585,00042638,00044620,00042805,00043591,00042400,00043602,00042408,00043537,00042850,00040361,00044352,00043739,00042408,00042198,00043347,00042865,00042154,00043079,00044868,00043436,00042094,00041838,00043418,00043031,00044176,00042559,00042481
00000021,00048287,00044098,00055782,00042893,0.90,1.47,00041693,00044883,00041585,00042638,00044572,00042805,00043445,00042400,00043528,00042408,00043537,00042513,00040361,00044352,00043739,00041471,00042198,00043347,00042658,00042154,00042708,00044868,00043436,00042094,00041758,00043418,00043031,00044176,00042559,00042481
00000022,00060829,00055714,00068556,00042893,0.90,1.45,00041693,00044883,00041585,00042638,00044572,00042805,00043445,00042400,00043528,00042408,00043537,00042513,00040361,00044352,00043739,00041471,00042198,00043347,00042658,00042154,00042708,00044868,00043436,00042094,00041758,00043418,00043031,00044176,00042559,00042481
00000023,00052322,00048015,00060126,00047338,0.93,1.43,00047193,00047095,00047124,00045185,00046630,00048802,00048049,00047124,00046900,00047437,00047440,00048790,00047981,00046022,00049244,00048296,00046186,00047069,00048525,00047662,00046404,00046462,00046039,00047530,00048284,00047632,00046573,00047819,00047640,00047018
